입력주소,경도,위도
서울시  남가좌동 325-4,126.924933,37.579028
서울시  남가좌동 336-23,126.923857,37.575873
서울시  남가좌동 344-13,126.922775,37.577954
서울시  남가좌동 337-28,126.923222,37.575958
서울시  남가좌동 227,126.92089,37.576738
서울시  남가좌동 364-1,126.917515,37.580771
서울시  남가좌동 226-12,126.9209,37.576837
서울시  남가좌동 5-204,126.922788,37.581756
서울시  남가좌동 5-221,126.921593,37.581403
서울시  남가좌동 325-10,126.924834,37.578838
서울시  노량진동 84-24,126.942364,37.512031
서울시  노량진동 54-21,126.940751,37.512485
서울시  노량진동 232-192,126.941592,37.510609
서울시  노량진동 221-28,126.944386,37.509805
서울시  노량진동 232-6,126.941921,37.510549
서울시  노량진동 280-6,126.937001,37.511352
서울시  노량진동 284-1,126.935958,37.511514
서울시  노량진동 309-48,126.941237,37.506885
서울시  노량진동 313-74,126.938699,37.507241
서울시  노량진동 232-248,126.941463,37.50932
서울시  상도동 244-29,126.934826,37.499637
서울시  상도동 335-4,126.928618,37.502689
서울시  상도동 299-161,126.932386,37.493866
서울시  상도동 159-268,126.946192,37.502856
서울시  상도동 126-10,126.955781,37.493192
서울시  상도동 256-216,126.933807,37.496519
서울시  상도동 134-206,126.953086,37.494304
서울시  상도동 154-7,126.945904,37.50398
서울시  상도동 214-32,126.946446,37.496813
서울시  상도동 214-251,126.945336,37.495352
서울시  상도동 201-21,126.938799,37.50097
서울시  상도동 360-68,126.93628,37.504741
서울시  상도동 7-46,126.953427,37.507102
서울시  상도동 210-266,126.942644,37.498572
서울시  상도동 324-23,126.930069,37.499315
서울시  상도동 7-3,126.953215,37.505271
서울시  상도동 256-191,126.933371,37.496921
서울시  상도동 255,126.933691,37.499086
서울시  상도동 17-60,126.947853,37.506169
서울시  상도동 301-215,126.933097,37.493143
서울시  상도동 299-164,126.93281,37.493465
서울시  상도동 301-19,126.932195,37.493774
서울시  상도동 487-4,126.954202,37.49699
서울시  상도동 301-180,126.933787,37.493951
서울시  상도동 210-103,126.941559,37.497733
서울시  상도동 244-131,126.936467,37.5003
서울시  상도동 299-196,126.929772,37.495564
서울시  상도동 279-217,126.938048,37.496467
서울시  상도동 183-28,126.938477,37.503724
서울시  상도동 299-141,126.931359,37.495308
서울시  상도동 299-20,126.932068,37.494719
서울시  상도동 279-384,126.93874,37.495536
서울시  상도동 299-21,126.93183,37.494762
서울시  상도동 244-334,126.936972,37.499007
서울시  상도동 299-32,126.932847,37.494033
서울시  상도동 292-39,126.932846,37.494889
서울시  상도동 283-7,126.934928,37.493988
서울시  상도동 356-6,126.93365,37.502789
서울시  상도동 279-251,126.937185,37.495919
서울시  상도동 214-221,126.944053,37.495674
서울시  상도동 485-11,126.954243,37.497269
서울시  상도동 202-180,126.940207,37.499775
서울시  상도동 506,126.958574,37.494875
서울시  상도동 236-8,126.938999,37.498827
서울시  상도동 29-2,126.945924,37.504206
서울시  상도동 361-129,126.935322,37.5053
서울시  상도동 361-130,126.93538,37.505183
서울시  상도동 256-230,126.932354,37.496902
서울시  상도동 238-12,126.937101,37.50109
서울시  상도동 22-90,126.946116,37.505838
서울시  상도동 154-23,126.946082,37.503396
서울시  상도동 359-33,126.936862,37.50435
서울시  상도동 335-86,126.930295,37.501731
서울시  상도동 301-76,126.932894,37.493096
서울시  상도동 303,126.930399,37.497588
서울시  상도동 491-17,126.95257,37.495579
서울시  상도동 335-80,126.930688,37.501924
서울시  상도동 279-23,126.938174,37.49636
서울시  상도동 26-27,126.942842,37.505367
서울시  상도동 201-80,126.940764,37.500348
서울시  상도동 214-156,126.945909,37.495582
서울시  상도동 210-146,126.941546,37.498616
서울시  상도동 210-2,126.942983,37.4978
서울시  상도동 335-101,126.930089,37.501054
서울시  상도동 33-6,126.946449,37.503877
서울시  상도동 299-162,126.93267,37.49377
서울시  상도동 497-13,126.954404,37.493811
서울시  상도동 274,126.934554,37.497247
서울시  상도동 279-46,126.937617,37.49577
서울시  상도동 279-88,126.935282,37.49619
서울시  상도동 279-481,126.938613,37.496517
서울시  상도동 361-15,126.935284,37.50402
서울시  상도동 54-33,126.953372,37.503731
서울시  상도동 256-53,126.933124,37.498414
서울시  상도동 256-37,126.933026,37.498963
서울시  상도동 274-32,126.935437,37.496372
서울시  상도동 201-95,126.940118,37.501261
서울시  상도동 335-83,126.93066,37.501491
서울시  상도동 299-224,126.930461,37.496381
서울시  상도동 301-67,126.932596,37.4934
서울시  상도동 299-178,126.931364,37.49574
서울시  상도동 283-202,126.935055,37.493827
서울시  상도동 264-200,126.937032,37.497954
서울시  상도동 279-406,126.938645,37.495058
서울시  상도동 264-157,126.935646,37.498437
서울시  상도동 54-12,126.953649,37.503328
서울시  상도동 201-213,126.94064,37.500311
서울시  상도동 285-2,126.934219,37.494595
서울시  상도동 184-225,126.93838,37.503399
서울시  상도1동 244-2,126.95044,37.499074
서울시  상도1동 450-3,126.950846,37.502402
서울시  상도1동 812-2,126.947449,37.501922
서울시  상도1동 364-2,126.950754,37.500933
서울시  상도1동 315-5,126.952469,37.501209
서울시  상도1동 266-1,126.951017,37.499881
서울시  흑석동 204-104,126.955687,37.507257
서울시  흑석동 294-4,126.968747,37.504236
서울시  흑석동 64-7,126.963825,37.504382
서울시  흑석동 198-12,126.956871,37.509159
서울시  흑석동 266-10,126.968232,37.505475
서울시  흑석동 64-1,126.963752,37.504769
서울시  흑석동 278-17,126.969889,37.505057
서울시  흑석동 186-10,126.959397,37.508866
서울시  흑석동 274-5,126.970974,37.505156
서울시  동작동 102-23,126.939496,37.512465
서울시  사당동 419-110,126.975653,37.477229
서울시  사당동 1038-37,126.978564,37.478497
서울시  사당동 1020-5,126.979597,37.480732
서울시  사당동 1007-9,126.981284,37.483891
서울시  사당동 442-20,126.974143,37.478567
서울시  사당동 437-17,126.975802,37.479618
서울시  사당동 419-174,126.97728,37.478153
서울시  사당동 419-147,126.977144,37.478142
서울시  사당동 1048-41,126.975115,37.476908
서울시  사당동 419-99,126.976821,37.478644
서울시  사당동 316-126,126.975218,37.480928
서울시  사당동 220-9,126.969745,37.485899
서울시  사당동 178-17,126.969831,37.492027
서울시  사당동 449-5,126.971828,37.477493
서울시  사당동 1035-19,126.977584,37.479074
서울시  사당동 141-182,126.978648,37.485616
서울시  사당동 175-20,126.970257,37.490625
서울시  사당동 303-21,126.971316,37.477758
서울시  사당동 316-233,126.973655,37.479464
서울시  사당동 419-178,126.976721,37.479328
서울시  사당동 285-34,126.968757,37.481313
서울시  사당동 321-22,126.976214,37.482523
서울시  사당동 175-18,126.970255,37.490787
서울시  사당동 140-16,126.980124,37.486881
서울시  사당동 419-26,126.975889,37.479033
서울시  사당동 1027-11,126.978511,37.479929
서울시  사당동 91-99,126.98043,37.489317
