입력주소,경도,위도
서울시  망원동 396-4,126.904064,37.553039
서울시  망원동 457-49,126.901607,37.553089
서울시  망원동 455-64,126.899763,37.554585
서울시  망원동 384-3,126.907878,37.55375
서울시  망원동 432-32,126.900516,37.558764
서울시  망원동 475-19,126.903853,37.559714
서울시  망원동 469-29,126.901816,37.562011
서울시  연남동 260-37,126.924998,37.561134
서울시  연남동 562-57,126.919707,37.56068
서울시  연남동 383-69,126.926162,37.561252
서울시  연남동 252-4,126.922567,37.563319
서울시  연남동 366-1,126.919183,37.564802
서울시  연남동 390-55,126.92509,37.561828
서울시  연남동 229-70,126.923845,37.56334
서울시  연남동 254-15,126.923314,37.56329
서울시  연남동 224-56,126.926347,37.563336
서울시  연남동 229-14,126.925011,37.563332
서울시  연남동 478-16,126.918356,37.564875
서울시  연남동 224-28,126.926833,37.563349
서울시  연남동 252-10,126.922364,37.563254
서울시  연남동 241-63,126.922327,37.565813
서울시  연남동 249-4,126.921421,37.564237
서울시  연남동 223-39,126.925667,37.564942
서울시  연남동 257-14,126.923205,37.56219
서울시  연남동 223-61,126.925485,37.565013
서울시  연남동 565-2,126.920162,37.559774
서울시  연남동 225-11,126.926073,37.564252
서울시  연남동 487-121,126.918593,37.561048
서울시  성산동 92-4,126.912607,37.563219
서울시  성산동 30-21,126.909932,37.560401
서울시  성산동 145-3,126.909185,37.568954
서울시  성산동 24-19,126.91436,37.565686
서울시  성산동 619-3,126.91715,37.56299
서울시  성산동 249-23,126.909919,37.559725
서울시  성산동 132-8,126.913014,37.567196
서울시  성산동 250-32,126.909859,37.559184
서울시  성산동 245-7,126.911161,37.559196
서울시  성산동 134-196,126.912046,37.567557
서울시  성산동 30-31,126.909989,37.561158
서울시  성산동 256-1,126.908466,37.56082
서울시  성산동 30-50,126.909027,37.561149
서울시  성산동 200-216,126.908795,37.565382
서울시  성산동 200-73,126.908304,37.567261
서울시  성산동 147-2,126.906406,37.569334
서울시  성산동 182-7,126.909282,37.566171
서울시  성산동 245-16,126.911502,37.559037
서울시  성산동 30-53,126.908665,37.561101
서울시  성산동 3-8,126.916055,37.565855
서울시  성산동 277-15,126.906528,37.563298
서울시  성산동 200-120,126.9075,37.567289
서울시  성산동 261-17,126.907173,37.560997
서울시  성산동 274-21,126.906337,37.562449
서울시  성산동 234-33,126.915858,37.559167
서울시  성산동 37-3,126.91471,37.564211
서울시  성산동 81-38,126.909677,37.563147
서울시  성산동 249-14,126.909398,37.559729
서울시  성산동 128-9,126.914107,37.568323
서울시  청운동 60,126.969394,37.586263
서울시  신교동 17-18,126.969366,37.583362
서울시  신교동 46-3,126.969795,37.583491
서울시  창성동 87-2,126.972018,37.581538
서울시  누상동 157-1,126.966224,37.579676
서울시  누상동 111,126.966523,37.580165
서울시  누상동 166-112,126.964968,37.581251
서울시  누상동 135,126.966087,37.579792
서울시  옥인동 178-15,126.965501,37.582057
서울시  옥인동 178,126.966201,37.581379
서울시  옥인동 178-28,126.965504,37.581796
서울시  필운동 88-3,126.968673,37.577805
서울시  사직동 311-15,126.966607,37.573318
서울시  사직동 294-1,126.96525,37.573982
서울시  사직동 176-1,126.967483,37.572974
서울시  내수동 110-18,126.97055,37.573028
서울시  원서동 103-1,126.988971,37.581251
서울시  원서동 77-69,126.988495,37.582058
서울시  원서동 103,126.988983,37.581179
서울시  원서동 135-87,126.988246,37.581227
서울시  원서동 4-40,126.988159,37.583461
서울시  원서동 4-24,126.988088,37.582875
서울시  연건동 110-1,127.000617,37.578954
서울시  연건동 81-1,127.001735,37.578351
서울시  연건동 44-8,127.001492,37.579583
서울시  동숭동 4-82,127.006053,37.584001
서울시  동숭동 25-8,127.004522,37.582456
서울시  동숭동 201-3,127.006084,37.579108
서울시  동숭동 4-112,127.005796,37.583746
서울시  동숭동 4-40,127.005304,37.584967
서울시  혜화동 5-10,126.999904,37.590787
서울시  명륜1가 2-19,126.997427,37.590595
서울시  명륜4가 70-13,127.000161,37.582617
서울시  창신동 629-51,127.009309,37.576639
서울시  창신동 625-18,127.008915,37.57815
서울시  창신동 640-187,127.009575,37.573677
서울시  창신동 131-90,127.011812,37.574822
서울시  창신동 23-8,127.013861,37.576542
서울시  창신동 302-1,127.014417,37.573015
서울시  숭인동 814,127.020504,37.57676
서울시  숭인동 518,127.020771,37.577951
서울시  숭인동 72-149,127.018341,37.575102
서울시  숭인동 672,127.021542,37.577859
서울시  숭인동 179-34,127.018968,37.576477
서울시  행촌동 2-2,126.964885,37.572573
서울시  행촌동 210-392,126.962572,37.575274
서울시  행촌동 171-55,126.962862,37.573168
서울시  구기동 138-1,126.958648,37.611515
서울시  구기동 67-1,126.959638,37.607162
서울시  구기동 238-1,126.955031,37.610176
서울시  평창동 293-10,126.963174,37.605319
서울시  평창동 234-30,126.968026,37.604993
서울시  평창동 193-1,126.970588,37.606439
서울시  평창동 108-9,126.976444,37.608868
서울시  부암동 131-1,126.963244,37.598652
서울시  부암동 126-3,126.96601,37.597605
서울시  부암동 123-13,126.966665,37.597781
서울시  홍지동 69-24,126.95752,37.602296
서울시  신영동 105-31,126.962913,37.601299
서울시  신영동 150-1,126.963273,37.600608
서울시  역삼동 796,127.038551,37.49385
서울시  역삼동 747-17,127.038126,37.496063
서울시  역삼동 656-21,127.038103,37.50674
서울시  역삼동 673-13,127.039621,37.504752
서울시  역삼동 694-4,127.045972,37.506966
서울시  역삼동 685-18,127.042839,37.507842
서울시  역삼동 792-76,127.037883,37.493871
서울시  역삼동 795-11,127.038457,37.4932
서울시  역삼동 781-27,127.042779,37.494848
서울시  역삼동 788-25,127.041712,37.493389
서울시  역삼동 664-17,127.039332,37.505282
서울시  역삼동 794-23,127.037404,37.492444
서울시  역삼동 795-9,127.038071,37.493323
서울시  역삼동 661-23,127.038936,37.50617
서울시  역삼동 758-2,127.048511,37.497598
서울시  역삼동 697-22,127.044908,37.50612
서울시  역삼동 639-9,127.034097,37.502464
서울시  역삼동 674-4,127.0402,37.504604
서울시  역삼동 778-30,127.044242,37.496266
서울시  역삼동 836-78,127.033858,37.4921
서울시  역삼동 664-11,127.038996,37.504981
서울시  역삼동 775-32,127.041006,37.495501
서울시  역삼동 828-13,127.032961,37.496733
서울시  역삼동 657-2,127.035648,37.505873
서울시  역삼동 796-11,127.03904,37.493611
서울시  역삼동 629-25,127.03324,37.503168
서울시  역삼동 794-27,127.037733,37.492356
서울시  역삼동 683-6,127.043691,37.508426
서울시  역삼동 798-27,127.039595,37.49266
서울시  역삼동 794-2,127.037109,37.493397
서울시  역삼동 693-5,127.043817,37.507426
서울시  역삼동 743-6,127.03578,37.497341
서울시  역삼동 699-17,127.043346,37.505296
서울시  역삼동 655-19,127.038187,37.5072
서울시  역삼동 697-2,127.044994,37.506454
서울시  역삼동 773,127.044252,37.497284
서울시  역삼동 770-17,127.041393,37.496225
서울시  역삼동 691-8,127.042618,37.505633
서울시  역삼동 836-29,127.033645,37.491918
서울시  역삼동 792-35,127.036739,37.49406
서울시  역삼동 674-43,127.040756,37.504455
서울시  역삼동 756-12,127.051373,37.498468
서울시  역삼동 696-32,127.047179,37.5063
서울시  역삼동 778-38,127.044654,37.495918
서울시  역삼동 774-9,127.042955,37.496084
서울시  역삼동 794-4,127.037435,37.493525
서울시  개포동 1235-4,127.046575,37.477327
서울시  개포동 1262-4,127.049707,37.479956
서울시  개포동 1165-3,127.053995,37.474377
서울시  개포동 1198,127.04905,37.475625
서울시  개포동 1235-8,127.046953,37.476969
서울시  개포동 1181-7,127.053976,37.47498
서울시  개포동 1239-14,127.044595,37.47923
서울시  개포동 1253,127.047437,37.48064
서울시  개포동 1221-6,127.048793,37.476245
서울시  개포동 1165-2,127.053872,37.474304
서울시  개포동 1231-15,127.048042,37.477537
서울시  개포동 1236-12,127.046482,37.476614
서울시  개포동 660-22,127.0585,37.477548
서울시  개포동 1216-3,127.049006,37.478157
서울시  개포동 1218-6,127.048775,37.477705
서울시  개포동 1184,127.05052,37.474691
서울시  개포동 1172-10,127.051259,37.473499
서울시  개포동 1173-14,127.051619,37.473619
서울시  개포동 1199,127.049546,37.475738
서울시  개포동 1226-7,127.047905,37.475841
서울시  개포동 1189-2,127.05069,37.4738
서울시  개포동 1179-1,127.053458,37.474841
서울시  청담동 16-13,127.044496,37.52074
서울시  청담동 18-33,127.044302,37.521721
서울시  청담동 82-7,127.042968,37.526107
서울시  청담동 69-12,127.053822,37.522131
서울시  청담동 26-16,127.044122,37.519899
서울시  청담동 17-19,127.044947,37.522591
서울시  청담동 12-7,127.045895,37.522815
서울시  청담동 70-16,127.055154,37.520574
서울시  청담동 57-13,127.051704,37.523204
서울시  청담동 13-39,127.045791,37.522039
서울시  청담동 11-40,127.046381,37.521035
서울시  청담동 69-19,127.054094,37.522106
서울시  삼성동 98-22,127.063425,37.517738
서울시  삼성동 26-26,127.048995,37.514731
서울시  삼성동 26-20,127.048616,37.515178
서울시  삼성동 36-21,127.04434,37.51254
서울시  삼성동 40-11,127.046145,37.51205
서울시  삼성동 29-18,127.045906,37.513895
서울시  삼성동 30-14,127.044244,37.513872
서울시  삼성동 30-17,127.044663,37.513795
서울시  삼성동 95,127.061453,37.518074
서울시  삼성동 31-19,127.045457,37.513639
서울시  삼성동 30-8,127.045078,37.514113
서울시  삼성동 124-29,127.052923,37.509167
서울시  삼성동 121-27,127.053226,37.511151
서울시  삼성동 91-15,127.061351,37.51628
서울시  삼성동 10-12,127.0435,37.514569
서울시  삼성동 116-32,127.051762,37.511482
서울시  삼성동 29-16,127.0461,37.51377
서울시  삼성동 25-17,127.049647,37.515087
서울시  삼성동 123-6,127.051502,37.510561
서울시  삼성동 145-29,127.055012,37.512094
서울시  대치동 910-11,127.054269,37.501104
서울시  대치동 933-6,127.057865,37.499313
서울시  대치동 916-59,127.05602,37.500325
서울시  대치동 916-43,127.056646,37.500907
서울시  대치동 896-46,127.053555,37.503892
서울시  대치동 930-11,127.058668,37.500247
서울시  대치동 930-6,127.058675,37.500563
서울시  대치동 904-4,127.055808,37.502819
서울시  대치동 926-25,127.056303,37.499426
서울시  대치동 904-19,127.056247,37.502985
