가게,주소,도로명주소,경도,위도
스타벅스 신설동역점,신설동 76-10,서울 동대문구 왕산로 19,127.0255159,37.57670917
스타벅스 영등포역점,영등포동1가 143-3,서울 영등포구 경인로 870,126.9093141,37.51701151
스타벅스 회기역사거리점,회기동 346-18,서울 동대문구 이문로 37 회기 한일 베라체캠퍼스 1층,127.0561224,37.59081252
스타벅스 서울대입구역점,봉천동 869-1,서울 관악구 남부순환로 1812,126.9513314,37.48111542
스타벅스 송파개롱역점,가락동 174-14,서울 송파구 오금로 420,127.1362835,37.49698652
스타벅스 강동구청DT점,성내동 550,서울 강동구 성내로 32,127.123801,37.52919495
스타벅스 선릉세화빌딩점,대치동 889-70,서울 강남구 테헤란로64길 18 세화빌딩 1층,127.0512054,37.50376853
스타벅스 금호역점,금호동4가 1483,서울 성동구 동호로 99,127.0153424,37.54803736
스타벅스 동대문공원점,광희동1가 185-1,서울 중구 장충단로 229,127.007243,37.5652212
스타벅스 몬테소리점,서초동 1318-8,서울 서초구 강남대로 399 한국몬테소리 빌딩,127.0268359,37.49825971
스타벅스 사당R점,남현동 1060-10,"서울 관악구 남부순환로 2082-25 1,2층",126.9810374,37.47606021
스타벅스 은평구청입구점,응암동 96-1,서울 은평구 은평로 170 상현빌딩 1층,126.9266483,37.60108362
스타벅스 성신여대점,동선동1가 92-1,서울 성북구 동소문로24길 12,127.0184184,37.59314601
스타벅스 서울역동자동점,동자동 45,서울 용산구 한강대로 372 센트레빌 아스테리움 서울 KDB생명타워 1층,126.9729229,37.55168289
스타벅스 동교점,동교동 205-6,서울 마포구 월드컵북로 22 영준빌딩 1층,126.919988,37.55690906
스타벅스 양재역점,양재동 14-4,서울 서초구 강남대로 202 모산빌딩,127.0368608,37.48232691
스타벅스 수서역R점,수서동 715,서울 강남구 광평로 281,127.103052,37.48811428
스타벅스 화곡동점,화곡동 1073-10,서울 강서구 화곡로 142,126.8375641,37.54057432
스타벅스 선유동이레빌딩점,양평동4가 2,서울 영등포구 선유동2로 57 이레빌딩,126.8968845,37.5338279
스타벅스 천호로데오점,천호동 453-14,서울 강동구 천호대로 1037,127.1273264,37.5378376
스타벅스 스타필드코엑스몰 R점,삼성동 159,서울 강남구 봉은사로 524,127.0571238,37.512942
스타벅스 방배카페거리점,방배동 777-11,서울 서초구 방배중앙로 162,126.9865623,37.49353906
스타벅스 사당역점,사당동 1031-27,서울 동작구 동작대로 21 양지빌딩 1-3층,126.9813824,37.47849623
스타벅스 성신여대정문,동선동2가 134,서울 성북구 보문로34길 62,127.018861,37.59084236
스타벅스 강남구청역점,논현동 241-7,서울 강남구 선릉로 669 웰빙센터 1층,127.0412794,37.51662
