건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균,건물형태,보증금평가,월세평가,경도,위도
(448-51),구로동 448-51,4층,2020 7 6,"    15,000/         0",53.17,16.1,2002,9316.770186335403,0.0,연립/다세대,적정보증금,적정월세,126.852061,37.49022100000001
(252-7),구로동 252-7,3층,2020 7 8,"    13,000/         0",57.07,17.3,1985,7514.450867052023,0.0,연립/다세대,적정보증금,적정월세,126.85135,37.494557
청우아트빌라(740-14),구로동 740-14,3층,2020 7 11,"    11,000/         0",44.91,13.6,1994,4534.313725490196,22.058823529411764,연립/다세대,적정보증금,적정월세,126.852096,37.551428
(738-5),구로동 738-5,3층,2020 7 13,"    17,000/         0",56.73,17.2,1994,9883.72093023256,0.0,연립/다세대,적정보증금,적정월세,126.843166,37.502406
(792-95),구로동 792-95,3층,2020 7 13,"     7,500/         0",28.86,8.7,1994,8620.689655172413,0.0,연립/다세대,적정보증금,적정월세,126.841414,37.500902
(791-49),구로동 791-49,2층,2020 7 14,"    10,000/         0",59.96,18.1,1996,5524.861878453038,0.0,연립/다세대,적정보증금,적정월세,126.855238,37.493207
(742-16),구로동 742-16,2층,2020 7 16,"    13,000/         0",50.34,15.2,2000,8552.631578947368,0.0,연립/다세대,적정보증금,적정월세,126.854079,37.500269
칠성빌라(685-468),구로동 685-468,2층,2020 7 18,"    10,000/         0",35.7,10.8,1987,9259.25925925926,0.0,연립/다세대,적정보증금,적정월세,126.85554,37.489768
동심아트빌(571-69),구로동 571-69,1층,2020 7 20,"     5,000/        40",54.95,16.6,2003,3012.0481927710853,24.09638554216867,연립/다세대,적정보증금,적정월세,126.852279,37.492998
성덕빌라,구로동 171-2,2층,2020 7 21,"     6,500/         0",45.03,13.6,1998,4779.411764705882,0.0,연립/다세대,적정보증금,적정월세,126.845059,37.503614
대흥연립,구로동 142-2,3층,2020 7 24,"    20,000/         0",74.21,22.4,1983,6794.70541274784,4.464285714285714,연립/다세대,적정보증금,적정월세,126.834877,37.539447
