건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균
(1565-13), 봉천동 1565-13,5층,2020 5 2,"5,000/65",25.19,7.6,2019,13938.310482087572,41.16352646321686
(867-15), 봉천동 867-15,5층,2020 5 4,"5,000/50",20.46,6.2,2019,8064.516129032258,80.64516129032258
	(881-3)	, 봉천동 881-3,4층,2020 5 5,300/40,14.4,4.4,2003,681.8181818181818,90.9090909090909
	(29-22)	, 봉천동 29-22,6층,2020 5 6,"8,000/5",19.25,5.8,2003,13793.103448275862,8.620689655172415
케이타워 오피스텔, 봉천동 882-4,6층,2020 5 7,"3,000/40",18.24,5.5,2010,3181.818181818182,81.81818181818181
	(1718-4)	, 봉천동 1718-4,5층,2020 5 8,"11,000/10",29.98,9.1,2011,15766.178266178267,12.43894993894994
해담채 봉천, 봉천동 41-193,3층,2020 5 9,"3,000/61",21.3,6.4,2016,5580.357142857143,91.74107142857142
금탑오피스텔, 봉천동 878-7,7층,2020 5 11,500/35,11.54,3.5,2005,4317.460317460318,75.83333333333334
힐스타워오피스텔, 봉천동 1718-7,4층,2020 5 13,"1,000/60",33.41,10.1,2010,990.0990099009902,59.405940594059416
남성오피스텔, 사당동 212-1,5층,2020 5 11,"2,000/35",15.98,4.8,2002,3386.0323089046497,77.70636327817178
원노블레스, 대방동 394-25,6층,2020 5 15,"12,000/10",19.84,6.0,2015,12666.666666666664,43.33333333333334
디앤제이하우징, 불광동 281-23,5층,2020 5 4,"1,500/0",53.51,16.2,2019,925.925925925926,0.0
거장노블레스, 불광동 274-1,4층,2020 5 11,"26,000/0",58.94,17.8,2017,14606.741573033707,0.0
백운오피스텔, 불광동 272-22,5층,2020 5 30,"5,000/12",22.57,6.8,2002,7352.941176470589,17.647058823529413
두진아이브, 구산동 3-50,4층,2020 5 16,"19,300/0",47.33,14.3,2015,13496.503496503497,0.0
	(120-14)	, 응암동 120-14,1층,2020 5 1,"6,000/0",19.7,6.0,2003,10000.0,0.0
아름빌, 응암동 111-12,4층,2020 5 1,"2,000/75",50.28,15.2,2012,1315.7894736842106,49.34210526315789
한성벨라트리, 응암동 85-14,2층,2020 5 4,"19,500/0",26.88,8.1,2020,24074.074074074073,0.0
이안 용산1차(11-14), 문배동 11-14,10층,2020 5 16,"37,000/0",61.06,18.5,2005,19695.794449157678,0.0
한울에이치밸리움2차아파트, 등촌동 648-11,7층,2020 5 18,"25,000/0",44.62,13.5,2020,18487.061378871287,4.782608695652174
거산파크빌, 등촌동 506-25,7층,2020 5 18,"22,000/0",31.88,9.6,2016,25321.115802203098,0.0
동양하우징, 등촌동 721,3층,2020 5 23,"27,700/0",34.88,10.6,2019,25715.28710789181,0.0
CCRU오피스텔, 개포동 1229-6,2층,2020 5 28,"17,000/0",22.12,6.7,2019,21442.224039087505,0.0
삼성동지웰, 삼성동 114-11,8층,2020 5 21,"3,000/250",85.78,25.9,2005,1158.3011583011582,96.52509652509653
뜨레피움2차, 잠실동 250,8층,2020 5 26,"25,000/0",24.94,7.5,2019,24377.993981018557,47.70906472229723
	(349-26)	, 상계동 349-26,3층,2020 5 6,"1,000/45",32.54,9.8,2003,1020.408163265306,45.91836734693877
	(506)	, 중계동 506,4층,2020 5 16,"32,000/0",72.45,21.9,2005,11551.807890866574,11.165845648604268
에스엠피렌체, 대현동 37-48,6층,2020 5 26,"15,000/15",18.54,5.6,2018,7261.904761904763,94.24603174603176
신영스카이텔, 창천동 20-51,6층,2020 5 14,"15,000/0",28.5,8.6,2006,17441.860465116282,0.0
신촌 르메이에르타운5, 창천동 29-81,12층,2020 5 20,"1,000/70",24.92,7.5,2005,10704.453441295547,44.04858299595141
홍익사랑, 창천동 490,7층,2020 5 21,"1,000/55",22.11,6.7,2004,1492.5373134328358,82.08955223880596
The H 2차, 창동 635-31,2층,2020 6 26,"30,000/0",59.86,18.1,2020,17758.81054101467,0.0
목동 트라움시티, 목동 621-5,5층,2020 6 21,"27,000/0",27.96,8.5,2020,30705.882352941182,0.0
현대41타워, 목동 917-9,24층,2020 6 25,"10,000/150",94.57,28.6,2001,1858.2920838559935,45.06020295493979
에이앤캐슬, 목동 713-9,2층,2020 6 29,"31,900/0",52.49,15.9,2019,20062.893081761005,0.0
로얄파크뷰, 연지동 238-5,2층,2020 6 8,"16,000/0",18.66,5.6,2019,24547.9407979408,0.0
