건물명,주소,위도,경도
벨로하우스 공덕, 공덕동 111-201,37.54791123,126.958978
공덕 시티하우스, 공덕동 115-45,37.54791493,126.958409
공덕오피스타, 공덕동 12-98,37.54944467,126.960454
"	(15-3)	", 공덕동 15-3,37.54506596,126.9549074
헤이븐 오피스텔, 공덕동 17-67,37.54913911,126.95968
대성힐스오피스텔, 공덕동 26-4,37.54388173,126.9532754
백상프로포즈오피스텔, 공덕동 26-7,37.5496743,126.9601142
DK빌딩, 공덕동 27-4,37.54980855,126.9607131
솔리스타, 공덕동 30-10,37.55029132,126.9604997
YD레지던스, 공덕동 31-1,37.55089623,126.9612281
마포 신영 지웰, 공덕동 461,37.54387311,126.9500645
마포공덕파크팰리스Ⅱ, 공덕동 462,37.5474419,126.9530441
마포현대하이엘, 공덕동 463,37.54980564,126.9543952
공덕푸르지오시티, 공덕동 475,37.54782694,126.9543099
건양오피스텔, 공릉동 383-12,37.62535489,127.0716255
스테이션빌 빌딩, 공릉동 383-7,37.62604194,127.0724007
두보팰리스, 공릉동 568-7,37.62264789,127.073326
엘네스트빌 오피스텔, 공릉동 653-5,37.61916242,127.0788973
북부포커스빌, 공릉동 661-3,37.61875817,127.0773829
로우폴리스, 공릉동 670-11,37.61868084,127.0769159
진주오피스텔, 공릉동 683-20,37.6177014,127.0746111
도균빌딩, 공릉동 684-16,37.61715567,127.0729803
종로1번가, 관철동 155,37.56889733,126.9850884
현대골든텔(102-0), 광장동 102,37.55163381,127.1108903
효성리버카운티, 광장동 108,37.55141439,127.1100352
이성 리베바움, 광장동 117,37.55136065,127.1095659
주성아우라 오피스텔, 광장동 120,37.55077243,127.1092777
성진오피스텔, 광희동2가 194-1,37.56419082,127.0088792
경희궁자이, 교북동 126,37.57157953,126.9613931
한솔로이젠트, 구로동 103-11,37.49612917,126.8896823
네오팰리스, 구로동 103-8,37.49662294,126.8903221
그린플러스 구로 해담채3, 구로동 104-3,37.49697853,126.8910054
그린플러스 구로 해담채2, 구로동 104-6,37.4971739,126.8913809
비즈트위트 레드, 구로동 104-8,37.49708683,126.8917044
동도아르떼빌, 구로동 106,37.49844566,126.8912866
순영웰라이빌1차, 구로동 106-10,37.49800712,126.8916461
대림역포스큐, 구로동 106-2,37.49817403,126.8919836
구로선경오피스텔, 구로동 106-4,37.49773904,126.8923401
비즈트위트 블루, 구로동 107-4,37.49865224,126.8911167
태형팰리스, 구로동 109-1,37.49967958,126.8883906
종인아네스트, 구로동 110,37.5019093,126.8884899
도림두산베어스타워, 구로동 110-4,37.50100477,126.8896405
구로하우비, 구로동 110-5,37.50077634,126.889396
하나세인스톤1차, 구로동 110-8,37.50125411,126.8889838
티타운빌딩, 구로동 1127-22,37.48215162,126.8988813
몽삐에뜨3차, 구로동 1127-25,37.4824537,126.8994353
하나가드리움(1127-38), 구로동 1127-38,37.48236184,126.8994821
"	(1129-9)	", 구로동 1129-9,37.4813882,126.8974897
세종오피스텔, 구로동 1130-21,37.48128305,126.898297
"	골드마인(Ⅲ)오피스텔	", 구로동 1130-23,37.48100087,126.8986576
태천대, 구로동 1131-8,37.48043295,126.8989633
중앙오피스텔, 구로동 1132-26,37.4796686,126.8978047
다온쉐르빌, 구로동 1132-29,37.47965795,126.8975389
"	(1132-46)	", 구로동 1132-46,37.48006356,126.8970698
한나래16차, 구로동 1132-57,37.47881097,126.8962194
"	(1132-59)	", 구로동 1132-59,37.47941177,126.8970501
한라빌리언스 오피스텔, 구로동 182-6,37.48643358,126.8974984
하나가드리움(186-17), 구로동 186-17,37.48643261,126.8981578
예성유토피아(186-7), 구로동 186-7,37.48606307,126.8985999
예성유토피아(187-3), 구로동 187-3,37.48561938,126.899109
예성유토피아(187-4), 구로동 187-4,37.48542342,126.8994928
신도림포스빌, 구로동 26,37.50566326,126.8915402
한영선샤인빌리지, 구로동 3-81,37.50491374,126.8867048
조일뉴타워, 구로동 414-10,37.49356701,126.8830321
신도림 로제리움, 구로동 43-1,37.5034136,126.8914701
비즈트위트 레인보우, 구로동 44-5,37.50215015,126.8917076
비즈트위트 오렌지, 구로동 44-8,37.50211575,126.8913911
신도림 쌍용플래티넘 노블, 구로동 46,37.50113057,126.8914354
하나세인스톤3차, 구로동 46-4,37.50055879,126.8919804
신동아미래지움오피스텔, 구로동 474-1,37.50007512,126.8805797
스위트팰리스오피스텔, 구로동 474-20,37.49899164,126.8813181
"	(494-10)	", 구로동 494-10,37.49910144,126.8826455
대림오피스텔, 구로동 494-54,37.49868067,126.8827653
신성스카이뷰, 구로동 508-7,37.49781532,126.8841932
하이빌골드타워, 구로동 512-2,37.49809916,126.885761
구로에스케이뷰, 구로동 567-4,37.50255749,126.8829218
스타팰리스(603-9), 구로동 603-9,37.5033263,126.8810599
구로동복합건물OPUS1, 구로동 611-26,37.50458707,126.8771218
해오름, 구로동 642-88,37.49878675,126.8767966
SK 허브수, 구로동 650-4,37.49598095,126.8728847
퀸즈파크 구일, 구로동 651-2,37.49662188,126.8721768
근상프리즘팰리스, 구로동 685-204,37.49385301,126.8724284
오피스텔 미래지오, 구로동 810,37.48515024,126.8995161
로제리움2차, 구로동 97,37.49600448,126.8910319
우진체리쉬, 구로동 97-10,37.49612726,126.891965
하나세인스톤2차, 구로동 97-4,37.49647581,126.8919211
코원, 구로동 97-8,37.49624414,126.8921901
국제빌딩, 구로동 97-9,37.4961857,126.8920778
비즈트위트 그린, 구로동 98-10,37.49533733,126.8904447
파인마루오피스텔, 구로동 98-12,37.49522053,126.8902204
마인드에코프라움, 구로동 98-14,37.49511582,126.8900194
대림역 와이즈플레이스, 구로동 98-4,37.49557562,126.8903154
플러스빌(2-16), 구산동 2-16,37.61112135,126.9155218
보성리엔빌, 구산동 2-5,37.61135429,126.9158261
구산아이빌, 구산동 2-8,37.61116213,126.9157206
힐튼렉스빌, 구산동 3-24,37.61149902,126.9149374
뉴아름빌, 구산동 3-3,37.61175415,126.9154589
두진아이브, 구산동 3-50,37.61188984,126.9155284
워너빌, 구산동 3-8,37.61169527,126.9152713
"	(199-14)	", 구의동 199-14,37.54016867,127.0953215
현대13차폴라트리움, 구의동 199-23,37.53943299,127.0946257
(199-8), 구의동 199-8,37.54045555,127.0952363
다성리버텔, 구의동 218-12,37.53896484,127.092726
와이엔 오피스텔, 구의동 218-15,37.5385596,127.0919712
"	(219-17)	", 구의동 219-17,37.5389601,127.0916877
솔렌시아2, 구의동 236-25,37.54294684,127.0846682
리버 비스타 구의, 구의동 243-13,37.5381096,127.0889486
베스트 트레드빌, 구의동 243-2,37.53851673,127.0888012
아스하임, 구의동 243-3,37.5384742,127.0882634
(243-48), 구의동 243-48,37.53845637,127.0886094
구의동 벨라로사 오피스텔, 구의동 243-71,37.53778644,127.0876138
크레신타워3차, 구의동 246-14,37.53704383,127.0843829
아델리아 구의타워, 구의동 251-157,37.54144356,127.0840485
롯데홈타워빌, 구의동 251-16,37.5413125,127.0845461
아하바 하우스, 구의동 251-170,37.54114285,127.0845107
명진센트라임3, 구의동 251-176,37.54078743,127.0841837
솔렌시아, 구의동 251-177,37.54124374,127.083953
광진팰리스, 구의동 251-26,37.54056068,127.0836579
신도브래뉴오피스텔, 구의동 251-34,37.540014,127.0834879
아스하임, 구의동 252-100,37.53872506,127.0839645
웰츠타워, 구의동 252-16,37.53818751,127.08377
센트럴빌, 구의동 253-19,37.54472965,127.0832248
광진해모로리버뷰, 구의동 547-7,37.53334468,127.0921524
평강오피스텔, 구의동 598-2,37.53335086,127.0913271
썬-타워빌딩, 구의동 75-1,37.55107941,127.089552
그랜드파크 오피스텔, 구의동 76-1,37.55137445,127.0893636
구의동 홀가하우스, 구의동 80-29,37.54631386,127.0863374
동원데쟈뷰, 군자동 355-1,37.36083183,126.788235
"	에피소드 1(Episode 1)	", 군자동 355-5,37.54874648,127.0681348
(473-1), 군자동 473-1,37.36438492,126.7862587
