건물명,주소,입력주소,경도,위도
건양,개봉동 304-16,서울시  개봉동 304-16,126.85455,37.49311
신세기,개봉동 306-3,서울시  개봉동 306-3,126.853318,37.493837
길훈,개봉동 312-38,서울시  개봉동 312-38,126.850832,37.484118
비젼,개봉동 333-6,서울시  개봉동 333-6,126.852153,37.491573
동인,개봉동 335-1,서울시  개봉동 335-1,126.848731,37.493531
왕궁,개봉동 366-1,서울시  개봉동 366-1,126.854913,37.485644
우성,개봉동 469,서울시  개봉동 469,126.843756,37.504493
삼환,개봉동 470,서울시  개봉동 470,126.854674,37.494589
삼호,개봉동 471,서울시  개봉동 471,126.857178,37.49428
건영,개봉동 47-1,서울시  개봉동 47-1,126.840677,37.50103
두산,개봉동 472,서울시  개봉동 472,126.85243,37.494946
상우,개봉동 473,서울시  개봉동 473,126.860977,37.493587
영화,개봉동 475,서울시  개봉동 475,126.859774,37.496089
한마을,개봉동 476,서울시  개봉동 476,126.862535,37.495269
대상,개봉동 477,서울시  개봉동 477,126.849699,37.482052
한진,개봉동 478,서울시  개봉동 478,126.851966,37.484588
진로,개봉동 479,서울시  개봉동 479,126.850814,37.490452
현대홈타운,개봉동 480,서울시  개봉동 480,126.861595,37.491592
현대,개봉동 481,서울시  개봉동 481,126.85856,37.491887
율포그레이스빌,개봉동 483,서울시  개봉동 483,126.855622,37.494733
고운아파트,개봉동 484,서울시  개봉동 484,126.850549,37.498847
개봉동상우,개봉동 487,서울시  개봉동 487,126.860592,37.493628
영화아이닉스,개봉동 488,서울시  개봉동 488,126.849202,37.482705
개봉동현대아이파크,개봉동 489,서울시  개봉동 489,126.859858,37.489819
LIP e-푸른아파트,개봉동 491,서울시  개봉동 491,126.850051,37.493003
개봉푸르지오,개봉동 492,서울시  개봉동 492,126.848027,37.500354
한양아이클래스 구로,개봉동 493,서울시  개봉동 493,126.856868,37.495331
센트레빌레우스1단지,개봉동 497,서울시  개봉동 497,126.846439,37.496266
거성푸르뫼,개봉동 60-101,서울시  개봉동 60-101,126.843428,37.500841
거성푸르뫼2,개봉동 60-82,서울시  개봉동 60-82,126.843204,37.499965
수영힐(나동),개봉동 63-15,서울시  개봉동 63-15,126.844666,37.50124
동도센트리움(70-12),개봉동 70-12,서울시  개봉동 70-12,126.846612,37.498205
새롬(1164-12),개포동 1164-12,서울시  개포동 1164-12,127.05297,37.473188
새롬(1164-13),개포동 1164-13,서울시  개포동 1164-13,127.053116,37.473288
새롬(1164-14),개포동 1164-14,서울시  개포동 1164-14,127.053261,37.47338
리더스,개포동 1164-25,서울시  개포동 1164-25,127.054809,37.474383
포이벨리,개포동 1164-28,서울시  개포동 1164-28,127.055213,37.474612
뉴현대파크빌,개포동 1164-30,서울시  개포동 1164-30,127.054759,37.474752
아람손프라자/비바빌,개포동 1164-7,서울시  개포동 1164-7,127.052387,37.472814
그린빌리지,개포동 1167,서울시  개포동 1167,127.05236,37.473156
성원대치2단지아파트,개포동 12,서울시  개포동 12,127.074997,37.49397
개포자이(12-2),개포동 12-2,서울시  개포동 12-2,127.076439,37.496234
현대탑빌라,개포동 1242-2,서울시  개포동 1242-2,127.046023,37.479809
우찬현대(1260-11),개포동 1260-11,서울시  개포동 1260-11,127.048901,37.479364
우찬현대(1260-2),개포동 1260-2,서울시  개포동 1260-2,127.048774,37.479516
우찬현대(1260-4),개포동 1260-4,서울시  개포동 1260-4,127.049113,37.479555
래미안블레스티지,개포동 1280,서울시  개포동 1280,127.064231,37.48127
에버그린,개포동 166-4,서울시  개포동 166-4,127.061305,37.482923
현대3,개포동 177,서울시  개포동 177,127.060927,37.487822
우성8,개포동 179,서울시  개포동 179,127.062302,37.488175
개포주공 6단지,개포동 185,서울시  개포동 185,127.071509,37.488878
개포주공 5단지,개포동 187,서울시  개포동 187,127.068653,37.487549
경남1,개포동 649,서울시  개포동 649,127.054276,37.48439
개포우성3차,개포동 652,서울시  개포동 652,127.056192,37.483954
현대1차101동~106동,개포동 653,서울시  개포동 653,127.054469,37.482535
현대2,개포동 654,서울시  개포동 654,127.051283,37.482329
개포현대200동,개포동 655-1,서울시  개포동 655-1,127.052626,37.481646
개포2차현대아파트(220),개포동 655-2,서울시  개포동 655-2,127.053058,37.481397
쌍용,개포동 655-3,서울시  개포동 655-3,127.053176,37.481065
개포래미안포레스트,개포동 656,서울시  개포동 656,127.054475,37.478489
개포6차우성아파트1동~8동,개포동 658-1,서울시  개포동 658-1,127.05681,37.476183
거여리본타운,거여동 12-1,서울시  거여동 12-1,127.142423,37.495587
성동레인보우,거여동 129,서울시  거여동 129,127.145108,37.498201
삼호,거여동 136,서울시  거여동 136,127.143612,37.496496
보화2차,거여동 258-7,서울시  거여동 258-7,127.148805,37.490272
쌍용스윗닷홈2차,거여동 27-5,서울시  거여동 27-5,127.145499,37.492635
쌍용스윗닷홈 거여역1차,거여동 28,서울시  거여동 28,127.146275,37.492028
거여1단지,거여동 290,서울시  거여동 290,127.144431,37.491078
거여2단지동아,거여동 291,서울시  거여동 291,127.146193,37.490262
거여3단지,거여동 292,서울시  거여동 292,127.147544,37.489776
거여4단지,거여동 293,서울시  거여동 293,127.14382,37.489154
거여5단지,거여동 294,서울시  거여동 294,127.145327,37.488832
거여6단지,거여동 295,서울시  거여동 295,127.146551,37.488615
우방1,거여동 356,서울시  거여동 356,127.142187,37.492521
현대1차,거여동 362,서울시  거여동 362,127.141052,37.492883
현대2차,거여동 44,서울시  거여동 44,127.146723,37.494347
블레스,거여동 45-1,서울시  거여동 45-1,127.147467,37.493623
현대3차,거여동 46,서울시  거여동 46,127.145145,37.496931
금호어울림,거여동 593,서울시  거여동 593,127.143493,37.492017
삼성빌딩,경운동 22,서울시  경운동 22,126.988348,37.574515
고덕 센트럴 푸르지오,고덕동 210-1,서울시  고덕동 210-1,127.170076,37.557696
상록,고덕동 307,서울시  고덕동 307,127.155,37.556661
배재현대,고덕동 312,서울시  고덕동 312,127.152308,37.556497
대우,고덕동 470,서울시  고덕동 470,127.144925,37.558769
아남1,고덕동 486,서울시  고덕동 486,127.145977,37.557875
고덕 아이파크,고덕동 499,서울시  고덕동 499,127.15519,37.558888
고덕래미안 힐스테이트아파트,고덕동 688,서울시  고덕동 688,127.149197,37.559367
고덕그라시움,고덕동 693,서울시  고덕동 693,127.162637,37.557913
서울가든,고척동 141-1,서울시  고척동 141-1,126.860515,37.502421
고척리본타운,고척동 156,서울시  고척동 156,126.857363,37.505175
해피그린(171-31),고척동 171-31,서울시  고척동 171-31,126.859488,37.505232
진성,고척동 215-5,서울시  고척동 215-5,126.855095,37.507027
한성,고척동 227-1,서울시  고척동 227-1,126.853744,37.508096
개봉청구,고척동 269-1,서울시  고척동 269-1,126.851168,37.501998
대우,고척동 296,서울시  고척동 296,126.855883,37.502845
경남2,고척동 306,서울시  고척동 306,126.856598,37.504132
센츄리,고척동 320,서울시  고척동 320,126.862216,37.50433
우성꿈동산,고척동 321,서울시  고척동 321,126.866226,37.50317
성원,고척동 322,서울시  고척동 322,126.865736,37.50194
그랜드,고척동 323,서울시  고척동 323,126.847632,37.507658
신원프라자,고척동 324,서울시  고척동 324,126.863629,37.499181
경남1,고척동 325,서울시  고척동 325,126.862631,37.505343
청구,고척동 326,서울시  고척동 326,126.863673,37.50147
동아한신,고척동 327,서울시  고척동 327,126.865086,37.500817
양우,고척동 328,서울시  고척동 328,126.856656,37.504772
청솔우성,고척동 329,서울시  고척동 329,126.859745,37.506216
삼익(1단지),고척동 330,서울시  고척동 330,126.852911,37.508574
삼익(2단지),고척동 331,서울시  고척동 331,126.852657,37.507472
벽산,고척동 334,서울시  고척동 334,126.864364,37.495475
예주유니츠,고척동 335,서울시  고척동 335,126.86104,37.506544
삼환로즈빌,고척동 336,서울시  고척동 336,126.858152,37.497884
한일유앤아이,고척동 337,서울시  고척동 337,126.851136,37.507809
마젤란,고척동 338,서울시  고척동 338,126.863939,37.504112
고척파크푸르지오,고척동 339,서울시  고척동 339,126.858129,37.507606
고척LIG리가1차,고척동 340,서울시  고척동 340,126.861392,37.505719
고척LIG리가2차,고척동 340-1,서울시  고척동 340-1,126.86204,37.506248
벽산베스트블루밍,고척동 342,서울시  고척동 342,126.859012,37.504596
고척월드메르디앙,고척동 343,서울시  고척동 343,126.863132,37.502888
라이프플러스,고척동 346,서울시  고척동 346,126.860561,37.505368
한효,고척동 52-332,서울시  고척동 52-332,126.861821,37.501344
산업인,고척동 57-9,서울시  고척동 57-9,126.866673,37.504319
"우성,현대아파트",고척동 76-55,서울시  고척동 76-55,126.862877,37.498795
삼명,고척동 97-3,서울시  고척동 97-3,126.855936,37.499341
공덕헤리지움,공덕동 108-57,서울시  공덕동 108-57,126.95985,37.548786
로즈빌B,공덕동 111-416,서울시  공덕동 111-416,126.959762,37.546975
로즈빌A,공덕동 111-7,서울시  공덕동 111-7,126.959759,37.547164
현대빌라,공덕동 11-174,서울시  공덕동 11-174,126.961882,37.548291
마포현대,공덕동 188-108,서울시  공덕동 188-108,126.949941,37.550032
솔리스타,공덕동 30-10,서울시  공덕동 30-10,126.96062,37.550325
공덕현대,공덕동 370-9,서울시  공덕동 370-9,126.950043,37.548438
공덕1삼성래미안,공덕동 371,서울시  공덕동 371,126.95101,37.546456
공덕삼성아파트,공덕동 371-1,서울시  공덕동 371-1,126.950887,37.547977
공덕2삼성래미안,공덕동 43,서울시  공덕동 43,126.959478,37.55109
삼성래미안공덕2차,공덕동 44,서울시  공덕동 44,126.960891,37.551237
공덕3삼성래미안,공덕동 457,서울시  공덕동 457,126.951912,37.54832
한화꿈에그린,공덕동 460,서울시  공덕동 460,126.955359,37.547017
마포공덕파크팰리스Ⅱ,공덕동 462,서울시  공덕동 462,126.953146,37.547457
래미안공덕4차,공덕동 464,서울시  공덕동 464,126.951194,37.55026
롯데캐슬프레지던트,공덕동 467,서울시  공덕동 467,126.950791,37.545093
두영이지안,공덕동 468,서울시  공덕동 468,126.961894,37.549895
래미안공덕5차,공덕동 469,서울시  공덕동 469,126.952642,37.550309
공덕파크자이,공덕동 476,서울시  공덕동 476,126.947407,37.545153
공덕더샵,공덕동 478,서울시  공덕동 478,126.947954,37.544897
공릉 해링턴플레이스,공릉동 106,서울시  공릉동 106,127.086667,37.627541
우방아파트,공릉동 108,서울시  공릉동 108,127.086972,37.626634
비선아파트,공릉동 109,서울시  공릉동 109,127.087335,37.625663
공릉아파트,공릉동 110,서울시  공릉동 110,127.087597,37.624692
