건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균
보미리즌빌(102동), 방이동 134-17,3층,2020 9 12,"    50,000/         0",84.94,25.7,2005,19455.252918287937,0.0
이스턴잠실, 방이동 46-1,9층,2020 9 26,"     2,000/       110",29.57,8.9,2020,31978.3969362621,15.7345547794986
현대홈타운스위트101, 방이동 197-4,6층,2020 9 29,"    40,000/       230",159.41,48.2,2004,8298.755186721992,47.71784232365145
엘리시움아파트, 오금동 26-2,1층,2020 9 21,"    22,000/         0",64.7,19.6,2017,12361.213915618062,0.0
성동레인보우, 거여동 129,7층,2020 9 3,"    35,000/         0",76.1,23.0,2000,15895.98846985347,0.0
쌍용스윗닷홈 거여역1차, 거여동 28,5층,2020 9 25,"    55,000/         0",84.95,25.7,2006,17850.078990230228,4.542278127183787
대성스카이뷰아파트, 마천동 5,3층,2020 9 2,"    14,000/        75",42.52,12.9,2020,15206.027970096848,42.280608320018935
천마그랑밸리, 마천동 68-5,4층,2020 9 2,"    30,000/         0",84.8,25.7,2004,11402.787672859466,0.0
현대그린빌, 마천동 181,9층,2020 9 10,"     5,000/         0",59.67,18.1,1998,9929.431867203415,7.918968692449355
삼익1, 마천동 573,14층,2020 9 28,"    30,000/         0",59.4,18.0,1996,15223.932410300315,0.0
(683-30), 공릉동 683-30,8층,2020 9 7,"     2,000/        60",20.0,6.1,2019,5901.639344262296,86.88524590163935
하나플러스, 공릉동 587-8,8층,2020 9 9,"    32,000/         0",84.87,25.7,2004,11807.485640170464,0.0
청솔브레싱B동, 공릉동 380-10,2층,2020 9 17,"    35,000/         0",73.3,22.2,2003,13438.43843843844,0.0
대아아파트1차, 공릉동 740,2층,2020 9 19,"    25,000/         0",59.75,18.1,1997,14630.81608929474,0.0
길성그랑프리텔아파트, 공릉동 753,7층,2020 9 25,"    15,000/        95",80.9407,24.5,2003,8009.216589861751,14.667544437129688
녹주아파트, 공릉동 750,9층,2020 9 26,"    42,000/         0",84.7156,25.6,2002,13085.9375,5.859375
상록수2단지, 상계동 1297,2층,2020 9 1,"    30,000/         0",77.257,23.4,2002,12820.512820512822,0.0
건영, 상계동 1321,15층,2020 9 7,"    24,000/         0",59.76,18.1,2003,10668.347967640093,5.580357142857143
희락, 상계동 1280,6층,2020 9 8,"    35,000/         0",84.9,25.7,1997,13162.929681621772,0.0
청솔, 상계동 1049-43,3층,2020 9 10,"    25,000/         0",70.98,21.5,2003,11583.184257602861,0.0
동아불암(1286-0), 상계동 1286,21층,2020 9 14,       861/        13,27.0,8.2,1999,1370.9930313588852,14.02439024390244
극동의푸른별1차, 중계동 600,15층,2020 9 10,"    47,000/         0",84.97,25.7,2005,17315.175097276264,0.0
