건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균
원산, 쌍문동 138-33,2층,2020 1 31,"     3,000/        70",66.23,20.0,2002,1500.0,35.0
효성하이타운아파트, 방학동 739,4층,2020 1 4,"    29,000/         0",84.87,25.7,2002,11284.046692607006,0.0
목동무지개, 신정동 881-8,6층,2020 1 13,"    13,000/         0",81.42,24.6,2002,5284.552845528455,0.0
예지보금자리(102동), 신정동 927-4,4층,2020 1 14,"    28,000/         0",84.94,25.7,2004,10894.941634241244,0.0
삼도(101), 신월동 558-3,6층,2020 1 22,"    25,000/         0",82.88,25.1,2001,9960.1593625498,0.0
리슈리안, 신월동 500-21,6층,2020 1 29,"    28,000/         0",52.74,16.0,2015,17500.0,0.0
크래스빌, 평창동 46-1,1층,2020 1 9,"    55,000/         0",187.9,56.8,2003,9683.098591549297,0.0
명경, 신당동 432-657,3층,2020 1 20,"    26,000/         0",59.71,18.1,2002,14364.6408839779,0.0
희훈리치파크1, 길동 472,3층,2020 1 7,"    32,000/         0",84.05,25.4,2002,12598.425196850394,0.0
광남캐스빌(389-9), 길동 389-9,10층,2020 1 7,"    33,000/         0",68.46,20.7,2005,15942.028985507248,0.0
그랜드1, 둔촌동 518-1,3층,2020 1 11,"    43,000/         0",107.96,32.7,2003,13149.847094801224,0.0
대의아름누리, 암사동 671,5층,2020 1 2,"    25,000/         0",80.64,24.4,2010,10245.901639344263,0.0
라움(492-45), 암사동 492-45,2층,2020 1 7,"    31,000/         0",67.64,20.5,2006,15121.951219512195,0.0
한건브리앙, 암사동 497-6,5층,2020 1 8,"    35,000/         0",84.9,25.7,2004,13618.677042801557,0.0
대은팰리스뷰(101), 암사동 503-31,6층,2020 1 21,"    39,000/         0",84.9,25.7,2007,15175.09727626459,0.0
다성이즈빌, 암사동 488-10,5층,2020 1 23,"    35,000/         0",84.91,25.7,2011,13618.677042801557,0.0
미랜드프레임빌, 성내동 420-20,10층,2020 1 11,"    47,000/         0",92.43,28.0,2006,16785.714285714286,0.0
그랜드밸리아파트, 천호동 34-1,3층,2020 1 1,"    10,000/         0",80.07,24.2,2003,4132.231404958678,0.0
천호엘크루, 천호동 427-3,9층,2020 1 22,"    68,000/         0",144.5,43.7,2008,8352.402745995421,22.88329519450801
주성AURA, 중곡동 130-5,5층,2020 1 8,"    30,000/         0",67.76,20.5,2009,14634.146341463416,0.0
구의청정, 구의동 226-12,5층,2020 1 4,"    40,000/         0",84.75,25.6,2004,15625.0,0.0
금성, 자양동 582-15,1층,2020 1 31,"    30,000/         0",61.69,18.7,2003,13314.626549920667,6.410256410256411
마장동 해맑은아파트, 마장동 797-3,2층,2020 1 17,"    25,000/        50",84.64,25.6,2004,9765.625,19.53125
양지쉐르빌아파트, 송정동 97,8층,2020 1 17,"    28,000/         0",59.02,17.9,2016,15642.45810055866,0.0
성북좋은, 성북동 179-96,5층,2020 1 13,"    45,000/         0",92.57,28.0,2002,16071.42857142857,0.0
광남캐스빌C, 망원동 465-33,7층,2020 1 20,"    10,000/        60",65.23,19.7,2002,4093.6266215454034,34.117315284827974
동보프리미아, 망원동 463-2,10층,2020 1 20,"    32,000/         0",63.02,19.1,2004,16753.92670157068,0.0
골든빌6차, 성산동 65-2,5층,2020 1 20,"     6,000/        72",100.92,30.5,2004,1967.2131147540983,23.606557377049178
리츠뷰, 양평동6가 95-4,11층,2020 1 11,"    49,500/         0",60.97,18.4,2014,26902.17391304348,0.0
신구, 방배동 980-48,3층,2020 1 3,"    68,000/         0",132.19,40.0,1992,17000.0,0.0
동광빌라트, 방배동 791-10,1층,2020 1 8,"    90,000/         0",159.27,48.2,1994,18672.19917012448,0.0
폴라씨엘로, 방배동 840-4,4층,2020 1 9,"   120,000/         0",124.84,37.8,2015,31746.03174603175,0.0
방배동갤러리하우스3, 방배동 1-7,5층,2020 1 23,"    10,000/       360",133.38,40.3,2003,10988.401211100234,44.665012406947895
노블씨티, 방배동 802-8,5층,2020 1 23,"    70,000/       200",214.32,64.8,2008,10802.469135802468,30.864197530864196
비젼(101), 양재동 17-35,4층,2020 1 2,"    60,000/         0",102.46,31.0,2003,19354.83870967742,0.0
리치타운, 양재동 203-2,2층,2020 1 21,"    45,000/         0",84.92,25.7,2002,17509.727626459142,0.0
반포 이안애 1차, 반포동 99-2,5층,2020 1 17,"   120,000/         0",152.86,46.2,2003,25974.02597402597,0.0
새티스, 반포동 612-138,4층,2020 1 23,"    38,000/         0",66.06,20.0,2003,19000.0,0.0
일신반포빌라트, 반포동 48-7,4층,2020 1 29,"   130,000/         0",201.42,60.9,1995,21346.469622331693,0.0
장미아파트, 서초동 1364-51,7층,2020 1 2,"    60,000/         0",84.96,25.7,2001,23346.303501945527,0.0
동아빌라트2, 서초동 1678-2,9층,2020 1 14,"    70,000/        80",211.67,64.0,1996,10937.5,12.5
서초리젠, 서초동 1444-19,4층,2020 1 17,"    83,100/         0",154.9646,46.9,2008,17718.550106609808,0.0
삼성, 봉천동 941-2,3층,2020 1 16,"    11,000/         0",64.12,19.4,1974,5670.103092783505,0.0
부미아띠랑스힐, 봉천동 1715,2층,2020 1 18,"    40,000/         0",82.65,25.0,2002,16000.0,0.0
낙성대늘푸른2차, 봉천동 1690-159,5층,2020 1 18,"    40,000/         0",74.89,22.7,2006,17621.14537444934,0.0
경원시티, 봉천동 63-45,3층,2020 1 20,"    50,000/         0",93.76,28.4,2006,17605.633802816905,0.0
늘푸른, 신림동 610-265,3층,2020 1 6,"    24,000/         0",83.87,25.4,2007,9448.818897637795,0.0
(740-41), 구로동 740-41,2층,2020 1 9,       945/         8,53.62,16.2,1997,583.3333333333334,4.938271604938272
(780-62), 구로동 780-62,5층,2020 1 13,"    10,000/         0",39.36,11.9,1996,8403.361344537814,0.0
(781-6), 구로동 781-6,5층,2020 1 14,"    14,000/         0",49.26,14.9,1995,9395.973154362417,0.0
(797-22), 구로동 797-22,2층,2020 1 18,"    14,000/         0",42.48,12.9,1995,10852.713178294573,0.0
(771-2), 구로동 771-2,4층,2020 1 21,"    18,000/         0",58.11,17.6,1996,10227.272727272726,0.0
동산빌라1동, 구로동 792-33,2층,2020 1 28,"    17,000/         0",58.17,17.6,1996,9659.090909090908,0.0
(752-37), 구로동 752-37,3층,2020 1 29,"     1,000/        20",56.15,17.0,2000,588.2352941176471,11.764705882352942
건양, 개봉동 304-16,1층,2020 1 20,       500/        40,29.34,8.9,2002,561.7977528089888,44.9438202247191
미진주택C동, 오류동 12-18,5층,2020 1 18,"     3,000/        55",42.53,12.9,2003,2325.581395348837,42.63565891472868
강남그린, 궁동 178-13,3층,2020 1 20,"    23,500/         0",73.27,22.2,2006,10585.585585585586,0.0
아이에스빌리브, 온수동 141,3층,2020 1 8,       100/        20,74.48,22.5,2010,44.44444444444444,8.88888888888889
다운페라, 대방동 393-26,4층,2020 1 14,"    42,000/         0",81.07,24.5,2006,17142.85714285714,0.0
송학파크팰리스, 녹번동 83-47,9층,2020 1 21,"    26,000/         0",56.12,17.0,2008,15294.117647058825,0.0
무지개아파트(308-86), 구산동 308-86,6층,2020 1 11,"    21,000/         0",84.57,25.6,2013,8203.125,0.0
신세계드림빌2, 대조동 195-20,1층,2020 1 20,"    30,000/         0",79.92,24.2,2003,12396.694214876034,0.0
프라임팰리스, 응암동 111-48,8층,2020 1 2,"    28,000/         0",71.16,21.5,2003,13023.255813953489,0.0
삼성맨션, 응암동 120-50,4층,2020 1 17,"    37,000/         0",82.38,24.9,2008,14859.437751004016,0.0
역산아이지아, 응암동 89-12,5층,2020 1 23,"    25,000/         0",70.11,21.2,2004,11792.452830188678,0.0
DMC자이2단지, 증산동 223-28,6층,2020 1 11,"    58,000/         0",113.66,34.4,2009,16860.46511627907,0.0
두성, 증산동 185-19,7층,2020 1 12,"    18,500/         0",45.07,13.6,2003,13602.941176470587,0.0
문영마운틴(167-1), 증산동 167-1,4층,2020 1 13,"    36,000/         0",84.99,25.7,2004,14007.782101167315,0.0
로얄카운티-2, 원효로1가 17-5,1층,2020 1 21,"    20,000/       140",133.35,40.3,2006,4962.779156327544,34.73945409429281
현대플래티앙1(1-67), 동빙고동 1-67,1층,2020 1 17,"    65,000/         0",130.3,39.4,2004,16497.46192893401,0.0
삼성, 등촌동 660-5,4층,2020 1 16,"    35,500/         0",83.8,25.3,2003,13905.574056207402,0.0
그라비스, 화곡동 840-6,4층,2020 1 4,"    25,000/         0",79.26,24.0,2007,10416.666666666668,0.0
한경빌(938-26), 화곡동 938-26,5층,2020 1 7,"    12,000/         0",22.42,6.8,2014,17647.058823529413,0.0
효성A(923-17), 화곡동 923-17,3층,2020 1 13,"    15,000/         0",50.22,15.2,2002,9868.42105263158,0.0
우공팰리스102동, 화곡동 1026-13,6층,2020 1 18,"    35,000/         0",84.7,25.6,2005,13671.875,0.0
한솔스위트벨리, 화곡동 404-2,2층,2020 1 20,"    30,000/         0",79.63,24.1,2007,12448.132780082988,0.0
성재 센트리움아파트, 화곡동 143-11,8층,2020 1 29,"    21,000/         0",26.84,8.1,2017,14629.629629629631,36.111111111111114
황제팰리체, 화곡동 915-33,8층,2020 1 30,"     8,500/         0",12.074000000000002,3.7,2013,22972.97297297297,0.0
천우에이스빌, 내발산동 682-10,4층,2020 1 2,"    29,000/         0",85.0,25.7,2001,11284.046692607006,0.0
우장산태승훼미리, 내발산동 671-28,4층,2020 1 6,"    37,500/         0",76.87,23.3,2002,16094.420600858368,0.0
한림리첸빌101동, 방화동 168-38,10층,2020 1 14,"    34,000/         0",84.42,25.5,2005,13333.333333333332,0.0
강남웅진베어스빌, 역삼동 838-10,16층,2020 1 29,"     2,000/       130",18.61,5.6,2019,3571.4285714285716,232.14285714285717
포이벨리, 개포동 1164-28,3층,2020 1 14,"    48,000/         0",84.69,25.6,2001,18750.0,0.0
연세리버테라스, 청담동 102,2층,2020 1 8,"   230,000/         0",243.49,73.7,2003,31207.598371777476,0.0
더 갤러리파크, 청담동 54-5,2층,2020 1 9,"   240,000/         0",223.1,67.5,2017,35555.555555555555,0.0
청담CJ빌리지, 청담동 111-11,5층,2020 1 9,"   120,000/         0",159.55,48.3,2004,24844.72049689441,0.0
이니그마빌, 청담동 94,4층,2020 1 13,"   180,000/         0",244.77,74.0,2001,24324.324324324327,0.0
청담삼익아파트, 청담동 134-15,5층,2020 1 18,"    35,000/         0",105.58,31.9,1980,10971.7868338558,0.0
"청담힐A동, 진도B동", 청담동 113,3층,2020 1 23,"   120,000/         0",192.48,58.2,1997,20618.556701030924,0.0
엘에이치삼성도시형생활주택, 삼성동 109-21,2층,2020 1 23,"    12,906/        18",27.75,8.4,2013,15364.285714285714,21.428571428571427
삼성동대유리채, 삼성동 120-9,1층,2020 1 31,"     2,629/        27",29.49,8.9,2012,2953.9325842696626,30.337078651685392
월드빌, 대치동 950-3,6층,2020 1 29,"    35,000/         0",51.54,15.6,2004,22435.897435897437,0.0
대치주성, 대치동 962-20,4층,2020 1 30,"    95,000/         0",123.73,37.4,2004,25401.069518716577,0.0
하야트빌, 신사동 551-5,2층,2020 1 31,"    40,000/         0",67.22,20.3,2005,19704.433497536946,0.0
케럿스테이트, 논현동 267-18,6층,2020 1 11,"     3,000/       320",99.99,30.2,2004,993.3774834437087,105.96026490066225
논현동프라임, 논현동 192-3,4층,2020 1 14,"    65,000/         0",135.3,40.9,2004,15892.42053789731,0.0
한영해시안아파트, 잠실동 239-6,2층,2020 1 21,"    41,700/         0",43.38,13.1,2017,31832.061068702293,0.0
원남, 석촌동 282-12,6층,2020 1 4,"    10,000/        75",60.57,18.3,2003,5464.48087431694,40.983606557377044
동성아파트(101동), 가락동 15,2층,2020 1 23,"    30,000/         0",94.53,28.6,2006,10489.510489510489,0.0
우남(저층), 월계동 492-1,4층,2020 1 4,"    18,000/         0",82.13,24.8,1984,7258.064516129032,0.0
하늘공원아파트(102동), 공릉동 222-4,2층,2020 1 9,"    28,000/         0",84.86,25.7,2007,10894.941634241244,0.0
현대캐슬, 미아동 133-12,3층,2020 1 20,"     8,000/        60",68.45,20.7,2008,3864.7342995169083,28.985507246376812
로얄팰리스, 신설동 45-2,5층,2020 1 11,"    26,000/         0",25.33,7.7,2018,33766.23376623377,0.0
천우네오젠(39-610), 용두동 39-610,3층,2020 1 10,"    22,000/         0",26.07,7.9,2018,27848.101265822785,0.0
답십리대우(임대), 답십리동 111-1,17층,2020 1 29,"     3,709/         0",29.85,9.0,2002,4121.111111111111,0.0
가우디트윈캐슬1, 장안동 374-9,12층,2020 1 11,"    26,000/         0",48.31,14.6,2016,17808.219178082192,0.0
광남캐스빌, 장안동 342-13,4층,2020 1 14,"    43,000/         0",113.74,34.4,2004,12500.0,0.0
청솔아파트 A동, 장안동 372-9,10층,2020 1 28,"    30,000/         0",59.92,18.1,2015,16574.585635359115,0.0
현대캐슬, 휘경동 281-24,3층,2020 1 3,"    20,500/         0",26.3,8.0,2018,25625.0,0.0
투니온, 이문동 256-2,12층,2020 1 30,       500/        45,15.38,4.7,2013,1063.8297872340424,95.74468085106382
상봉 듀오트리스, 상봉동 501,9층,2020 1 6,"    48,000/         0",117.07,35.4,2016,13559.322033898306,0.0
강오(B동), 중화동 307-6,7층,2020 1 4,"    28,000/         0",71.86,21.7,2004,12903.225806451612,0.0
해오름101동, 망우동 508-14,11층,2020 1 12,"     5,000/       100",84.97200000000001,25.7,2005,4863.813229571985,25.291828793774318
산솔트윈, 망우동 461-12,2층,2020 1 14,"    30,000/         0",84.89,25.7,2009,11673.151750972764,0.0
글로리, 충정로3가 32-10,6층,2020 1 8,"    30,000/         0",94.33,28.5,2001,10526.315789473683,0.0
우민B, 북아현동 1-49,4층,2020 1 18,"    40,000/         0",84.42,25.5,2001,14288.449754901962,0.0
문영센스빌, 북아현동 1-46,1층,2020 1 23,"    25,000/         0",83.6,25.3,2002,9881.422924901184,0.0
송도그린빌C동, 홍제동 322-95,4층,2020 1 31,"     2,000/        40",44.04,13.3,2003,1503.7593984962405,30.075187969924812
제이아델리아, 연희동 81-6,6층,2020 1 13,"    50,000/         0",185.01,56.0,2003,8928.57142857143,0.0
충우, 연희동 105-16,1층,2020 1 18,"    21,000/         0",92.56,28.0,2003,7500.0,0.0
일진아이윌, 연희동 218-16,2층,2020 1 28,"    39,000/         0",84.794,25.7,2005,15175.09727626459,0.0
하우스205, 홍은동 205-1,5층,2020 1 9,"    34,000/         0",58.18,17.6,2019,19318.181818181816,0.0
신원지벤스타7, 홍은동 394-1,4층,2020 1 20,"    47,000/         0",129.96,39.3,2005,11959.287531806618,0.0
신일라이프, 쌍문동 726,2층,2020 2 4,"    26,000/         0",59.47,18.0,2002,14444.444444444443,0.0
하이브빌2, 창동 655-7,4층,2020 2 1,       500/        50,13.52,4.1,2013,1219.5121951219514,121.95121951219512
한신APT, 창동 451,6층,2020 2 15,"     3,000/        60",59.96,18.1,1999,1657.4585635359113,33.14917127071823
원산아파트33차, 창동 661-13,7층,2020 2 29,"    10,000/        40",46.74,14.1,2003,7092.198581560284,28.368794326241137
창동그린아파트, 창동 254-30,4층,2020 2 29,"    25,000/         0",74.1,22.4,2004,11160.714285714286,0.0
재훈, 신정동 884-6,6층,2020 2 16,"     7,000/         0",80.05,24.2,2002,3678.4238488783944,0.0
동보프리미아, 신정동 993-1,8층,2020 2 27,"    14,000/        70",99.54,30.1,2004,4651.162790697674,23.25581395348837
보람쉬움, 신정동 921-11,3층,2020 2 28,"    34,200/         0",79.5708,24.1,2003,14749.659225085881,0.0
동양부로미(926-4), 신정동 926-4,8층,2020 2 28,"    30,000/         0",66.75,20.2,2009,13583.378042237724,0.0
목동태진드림피아, 목동 755-2,4층,2020 2 10,"    42,000/         0",84.39,25.5,2004,16470.58823529412,0.0
진도1 103동, 목동 408-20,5층,2020 2 12,"    64,000/         0",102.39,31.0,1998,20645.16129032258,0.0
목동미소래, 목동 958,7층,2020 2 17,"    40,000/         0",84.95,25.7,2005,16536.964980544748,0.0
목동성삼하이츠, 목동 406-38,3층,2020 2 19,"    90,000/         0",158.03,47.8,2000,18828.45188284519,0.0
보람, 신월동 457-15,3층,2020 2 11,"    10,000/        35",82.99,25.1,1996,3984.06374501992,13.94422310756972
로즈그린타운, 신월동 535-7,6층,2020 2 28,"    25,000/         0",95.96,29.0,2000,8620.689655172413,0.0
신현(101동), 신교동 6-13,3층,2020 2 17,"    20,000/       100",84.82,25.7,2002,7782.101167315176,38.91050583657587
효자, 통인동 5-1,3층,2020 2 12,"    17,000/         0",61.49,18.6,1999,9139.784946236558,0.0
어젤리아 명륜2, 명륜2가 8,4층,2020 2 11,"     1,000/        73",33.2389,10.1,2019,990.0990099009902,72.27722772277228
롯데캐슬 로잔, 평창동 108,9층,2020 2 3,"    40,000/       200",215.146,65.1,2009,11246.583541564643,15.360983102918588
중앙, 명일동 326-9,1층,2020 2 19,"    35,000/         0",82.54,25.0,2001,14000.0,0.0
현대수린나아파트, 둔촌동 632,2층,2020 2 18,"    10,000/       110",84.8282,25.7,2019,15097.276264591439,11.67315175097276
광남캐스빌105동, 둔촌동 435-4,3층,2020 2 27,"    43,000/         0",84.84,25.7,2006,16731.51750972763,0.0
우성(104동), 성내동 386-74,5층,2020 2 28,"    26,500/         0",55.5,16.8,2005,15773.809523809523,0.0
한솔애리즈(405-5), 성내동 405-5,4층,2020 2 29,"    42,500/         0",84.53,25.6,2009,16601.5625,0.0
다성씨티아파트(340-6), 천호동 340-6,4층,2020 2 19,"    32,000/         0",74.04,22.4,2002,14285.714285714286,0.0
스위트빌(71-1), 구의동 71-1,5층,2020 2 8,"     3,000/        40",16.25,4.9,2013,8380.37342596613,72.73122014763352
솔렌시아2, 구의동 236-25,5층,2020 2 21,"     4,000/        85",32.77,9.9,2015,19431.90772978007,28.619528619528616
청정(B), 자양동 24-31,6층,2020 2 24,"    44,000/         0",83.46,25.2,2004,17460.31746031746,0.0
드림, 하왕십리동 890-115,5층,2020 2 12,"    40,000/         0",72.9,22.1,2006,18099.547511312216,0.0
한신플러스A, 동소문동4가 280,5층,2020 2 7,"    20,000/       150",156.33,47.3,2004,4228.329809725159,31.71247357293869
양지, 동소문동4가 241,3층,2020 2 25,"    35,000/         0",75.21,22.8,2004,15350.877192982454,0.0
성종그린, 삼선동3가 18-2,3층,2020 2 21,"    50,000/         0",84.99,25.7,2002,19455.252918287937,0.0
한양수자인, 동선동4가 295-1,10층,2020 2 7,"    35,000/         0",68.03,20.6,2008,16990.29126213592,0.0
한아102(994-73), 독산동 994-73,2층,2020 2 1,       500/        40,109.65,33.2,2004,150.6024096385542,12.048192771084336
아셈그린힐, 독산동 184-3,1층,2020 2 7,"    25,000/         0",74.86,22.6,2002,11061.946902654865,0.0
거상센스빌(956-6), 시흥동 956-6,5층,2020 2 22,"    17,000/         0",63.795,19.3,2002,8808.290155440414,0.0
한빛로얄, 시흥동 796-7,1층,2020 2 27,"    20,000/         0",81.95,24.8,2003,8064.516129032258,0.0
정원쉐르빌, 합정동 371-3,4층,2020 2 2,"    44,000/         0",82.62,25.0,2001,17600.0,0.0
길명1차아파트, 망원동 456-9,7층,2020 2 12,"    37,000/         0",90.83,27.5,2004,13454.545454545456,0.0
삼화아크빌(470-39), 망원동 470-39,5층,2020 2 20,"    41,000/         0",103.9,31.4,2005,13057.324840764331,0.0
대성1, 망원동 429-4,5층,2020 2 21,"    30,000/         0",59.77,18.1,1994,16574.585635359115,0.0
리치, 영등포동7가 94-83,6층,2020 2 21,"    32,000/         0",67.99,20.6,2003,15533.980582524271,0.0
양평, 양평동2가 30-5,4층,2020 2 8,"    28,000/         0",55.53,16.8,2003,16666.666666666664,0.0
태승훼밀리, 양평동3가 103,8층,2020 2 14,"    31,575/         0",81.84,24.8,2008,12731.854838709678,0.0
현대쉴러하우스, 방배동 853-19,2층,2020 2 1,"    95,000/         0",137.27,41.5,2008,22891.566265060243,0.0
판테옹빌라, 방배동 841-2,1층,2020 2 10,"    55,000/        50",234.86,71.0,2002,7746.478873239437,7.04225352112676
나인빌, 방배동 800-3,3층,2020 2 12,"   120,000/         0",178.67,54.0,2009,22222.222222222223,0.0
Venessere, 방배동 843-6,1층,2020 2 15,"   130,000/         0",163.16,49.4,2007,26315.789473684214,0.0
방배삼성홈타운(101), 방배동 877-4,1층,2020 2 21,"    57,000/         0",105.83,32.0,2004,17812.5,0.0
방배힐1차, 방배동 806-1,4층,2020 2 26,"   120,000/         0",228.39,69.1,2000,17366.136034732273,0.0
방배대우멤버스카운티(809-17), 방배동 809-17,2층,2020 2 27,"    70,000/         0",109.73,33.2,2003,21084.33734939759,0.0
양재테크노3, 양재동 6-36,5층,2020 2 15,"    49,500/         0",69.05,20.9,2002,23684.210526315794,0.0
현대, 반포동 814,5층,2020 2 3,"    55,000/         0",121.82,36.9,1984,14905.149051490516,0.0
반포서래 월드메르디앙스칼라아파트 B동, 반포동 550-27,6층,2020 2 5,"    30,000/       200",123.08,37.2,2005,8064.516129032258,53.76344086021505
화천빌리지, 반포동 83-10,2층,2020 2 14,"     2,000/       100",57.5,17.4,2002,1149.4252873563219,57.4712643678161
삼광, 반포동 577-47,2층,2020 2 19,"    50,000/         0",88.08,26.6,2003,18796.992481203008,0.0
다솔, 서초동 1471-3,2층,2020 2 3,"    50,000/         9",83.4,25.2,2004,19841.26984126984,3.5714285714285716
진성그린, 서초동 1469-4,1층,2020 2 3,"    55,000/         0",100.86,30.5,2002,18032.7868852459,0.0
오로라빌, 서초동 1523-9,3층,2020 2 10,"    70,000/         0",154.8,46.8,2004,14957.264957264959,0.0
서초노빌리에, 서초동 1566-19,9층,2020 2 15,"    47,850/        50",74.88,22.7,2006,22397.355086973934,15.953927321481432
로얄파크에이, 서초동 1527-13,4층,2020 2 18,"    83,000/         0",146.56,44.3,2005,17607.223476297968,0.0
마샹스(2차), 서초동 1487-144,6층,2020 2 22,"    53,000/         0",79.63,24.1,2003,21991.701244813274,0.0
캐릭터그린빌, 봉천동 729-24,19층,2020 2 5,"    35,000/        45",142.47,43.1,2000,8120.649651972158,10.440835266821345
에메랄드105동, 봉천동 41-261,2층,2020 2 11,"    45,000/         0",96.59,29.2,2012,15410.95890410959,0.0
미래, 봉천동 1654-14,4층,2020 2 13,"    32,000/         0",66.595,20.1,2005,15920.398009950248,0.0
낙성대늘푸른, 봉천동 1690-164,3층,2020 2 15,"    20,000/        60",96.92,29.3,2004,6825.938566552901,20.477815699658702
그린, 봉천동 1702,6층,2020 2 19,"    25,000/         0",56.12,17.0,1999,14705.882352941175,0.0
에메랄드102동, 봉천동 41-259,3층,2020 2 28,"    38,000/         0",82.95,25.1,2007,15139.442231075696,0.0
서초그린, 신림동 1732,4층,2020 2 23,"    28,000/         0",59.81,18.1,2005,7272.072575617516,26.264591439688715
신림동이모르젠, 신림동 518-19,2층,2020 2 28,"     7,000/       130",84.79,25.6,2003,2734.375,50.78125
예성그린캐슬III, 남현동 1133,5층,2020 2 8,"    47,500/         0",95.29,28.8,2003,16493.055555555555,0.0
현대빌라트, 남현동 602-199,5층,2020 2 15,"    45,000/         0",118.23,35.8,2000,13242.845003706316,0.0
(743-8), 구로동 743-8,4층,2020 2 4,"     2,000/        45",41.4,12.5,1988,1600.0,36.0
(779-13), 구로동 779-13,4층,2020 2 9,"     1,000/        42",27.69,8.4,1997,1190.4761904761904,50.0
(780-46), 구로동 780-46,2층,2020 2 10,"    10,000/        30",53.36,16.1,1996,6211.1801242236015,18.633540372670804
(717-23)함양주택, 구로동 717-23,3층,2020 2 12,"     2,000/        60",44.04,13.3,2000,1503.7593984962405,45.11278195488722
(752-6), 구로동 752-6,5층,2020 2 14,"    10,500/         0",28.56,8.6,1996,12209.302325581395,0.0
(746-3), 구로동 746-3,1층,2020 2 14,"    17,000/         0",53.1,16.1,2000,10559.006211180124,0.0
(794-46), 구로동 794-46,4층,2020 2 15,"    11,000/         0",40.7,12.3,2001,8943.089430894308,0.0
801-9, 구로동 801-9,3층,2020 2 20,"    16,000/         0",42.78,12.9,1997,12403.100775193798,0.0
(717-10), 구로동 717-10,3층,2020 2 21,"    15,000/         0",45.89,13.9,1999,10791.366906474821,0.0
부일빌라, 구로동 742-63,3층,2020 2 27,"     3,000/        60",53.67,16.2,1997,1851.851851851852,37.03703703703704
대명하이빌101동, 궁동 184-20,5층,2020 2 6,"    27,000/         0",70.09,21.2,2009,12735.849056603774,0.0
다청림(103동), 궁동 182-11,6층,2020 2 7,"    36,000/         0",84.66,25.6,2006,14062.5,0.0
세레노, 상도동 126-17,4층,2020 2 7,"    30,000/         0",83.35,25.2,2003,11904.761904761906,0.0
상도타워A, 상도동 283-75,7층,2020 2 7,"    21,000/         0",61.19,18.5,2005,10981.798124655268,0.0
푸른솔, 상도동 126-18,1층,2020 2 8,"     6,000/       106",84.75,25.6,2003,2343.75,41.40625
대동아파트, 상도동 7-71,7층,2020 2 28,"    30,000/         0",58.43,17.7,2017,18004.96301151793,0.0
현재맨션, 녹번동 35-122,5층,2020 2 8,"    39,000/         0",146.88,44.4,1993,8783.783783783785,0.0
청나아파트, 불광동 330-14,5층,2020 2 15,"    25,000/         0",76.07,23.0,2003,10869.565217391304,0.0
플라잉캐슬, 갈현동 468-4,14층,2020 2 14,"    32,000/         0",55.7,16.8,2019,19047.619047619046,0.0
웰빙, 갈현동 522-16,6층,2020 2 27,"    26,000/         0",84.79,25.6,2004,10156.25,0.0
그린, 구산동 24-77,2층,2020 2 21,"    20,000/         0",51.76,15.7,2005,12738.853503184713,0.0
모아아파트(B동), 대조동 9-18,10층,2020 2 26,"    30,000/         0",52.22,15.8,2015,20332.83172523679,0.0
명진, 응암동 360-15,1층,2020 2 1,"     8,000/         0",90.52,27.4,2004,2919.7080291970806,0.0
삼영N-CITY, 응암동 96-19,9층,2020 2 4,"    26,000/         0",45.91,13.9,2015,18705.03597122302,0.0
서안에이스, 응암동 97-3,3층,2020 2 29,"    34,000/         0",84.53,25.6,2004,13281.25,0.0
만민라이프(A동), 역촌동 59-15,7층,2020 2 14,"     6,000/        90",84.87,25.7,2004,2334.6303501945526,35.01945525291829
두성, 역촌동 21-21,7층,2020 2 16,"    23,500/         0",74.83,22.6,2004,10398.230088495575,0.0
하늘애, 역촌동 43-4,14층,2020 2 22,"    40,000/         0",84.84,25.7,2007,12645.914396887161,5.836575875486382
테마빌2, 신사동 338-2,6층,2020 2 1,"    26,000/         0",71.69,21.7,2004,11981.566820276497,0.0
승윤노블리안, 신사동 19-147,12층,2020 2 2,"     5,000/        70",57.997,17.5,2019,2857.1428571428573,40.0
구암, 신사동 366,3층,2020 2 16,"    30,000/         0",88.81,26.9,2004,11363.2452154757,0.0
우공101동, 신사동 278-1,5층,2020 2 17,"    27,000/         0",78.75,23.8,2004,11431.431211227946,0.0
월드메르시안(179-9), 증산동 179-9,5층,2020 2 2,"    28,000/         0",79.94,24.2,2004,11570.247933884297,0.0
후암, 후암동 244-106,1층,2020 2 8,"     5,000/       120",84.11,25.4,2002,1968.5039370078741,47.24409448818898
효창맨션, 효창동 5-495,3층,2020 2 21,"    27,000/         0",59.5,18.0,1969,15000.0,0.0
아스테리움 용산, 한강로2가 419,10층,2020 2 8,"   100,000/       160",141.08,42.7,2012,23419.2037470726,37.47072599531616
한남동UNVILLAGE루하우스, 한남동 1-51,2층,2020 2 12,"    70,000/         0",132.65,40.1,2015,17456.35910224439,0.0
성아1, 한남동 263-10,4층,2020 2 21,"     4,000/       100",97.98,29.6,1970,1001.408574698477,35.62153358570296
효성빌리지, 한남동 799,4층,2020 2 26,"    85,000/         0",169.46,51.3,2000,24886.16288986355,0.0
지오빌, 염창동 57,2층,2020 2 8,"    37,000/         0",84.95,25.7,2006,14396.887159533073,0.0
등촌동리본타워, 등촌동 661-6,7층,2020 2 21,"    15,181/         0",49.79,15.1,2015,10053.64238410596,0.0
