건물명,주소,경도,위도
벨로하우스 공덕, 공덕동 111-201,126.958978,37.54791123
공덕 시티하우스, 공덕동 115-45,126.958409,37.54791493
공덕오피스타, 공덕동 12-98,126.960454,37.54944467
"	(15-3)	", 공덕동 15-3,126.9549074,37.54506596
헤이븐 오피스텔, 공덕동 17-67,126.95968,37.54913911
대성힐스오피스텔, 공덕동 26-4,126.9532754,37.54388173
백상프로포즈오피스텔, 공덕동 26-7,126.9601142,37.5496743
DK빌딩, 공덕동 27-4,126.9607131,37.54980855
솔리스타, 공덕동 30-10,126.9604997,37.55029132
YD레지던스, 공덕동 31-1,126.9612281,37.55089623
마포 신영 지웰, 공덕동 461,126.9500645,37.54387311
마포공덕파크팰리스Ⅱ, 공덕동 462,126.9530441,37.5474419
마포현대하이엘, 공덕동 463,126.9543952,37.54980564
공덕푸르지오시티, 공덕동 475,126.9543099,37.54782694
건양오피스텔, 공릉동 383-12,127.0716255,37.62535489
스테이션빌 빌딩, 공릉동 383-7,127.0724007,37.62604194
두보팰리스, 공릉동 568-7,127.073326,37.62264789
엘네스트빌 오피스텔, 공릉동 653-5,127.0788973,37.61916242
북부포커스빌, 공릉동 661-3,127.0773829,37.61875817
로우폴리스, 공릉동 670-11,127.0769159,37.61868084
진주오피스텔, 공릉동 683-20,127.0746111,37.6177014
도균빌딩, 공릉동 684-16,127.0729803,37.61715567
종로1번가, 관철동 155,126.9850884,37.56889733
현대골든텔(102-0), 광장동 102,127.1108903,37.55163381
효성리버카운티, 광장동 108,127.1100352,37.55141439
이성 리베바움, 광장동 117,127.1095659,37.55136065
주성아우라 오피스텔, 광장동 120,127.1092777,37.55077243
성진오피스텔, 광희동2가 194-1,127.0088792,37.56419082
경희궁자이, 교북동 126,126.9613931,37.57157953
한솔로이젠트, 구로동 103-11,126.8896823,37.49612917
네오팰리스, 구로동 103-8,126.8903221,37.49662294
그린플러스 구로 해담채3, 구로동 104-3,126.8910054,37.49697853
그린플러스 구로 해담채2, 구로동 104-6,126.8913809,37.4971739
비즈트위트 레드, 구로동 104-8,126.8917044,37.49708683
동도아르떼빌, 구로동 106,126.8912866,37.49844566
순영웰라이빌1차, 구로동 106-10,126.8916461,37.49800712
대림역포스큐, 구로동 106-2,126.8919836,37.49817403
구로선경오피스텔, 구로동 106-4,126.8923401,37.49773904
비즈트위트 블루, 구로동 107-4,126.8911167,37.49865224
태형팰리스, 구로동 109-1,126.8883906,37.49967958
종인아네스트, 구로동 110,126.8884899,37.5019093
도림두산베어스타워, 구로동 110-4,126.8896405,37.50100477
구로하우비, 구로동 110-5,126.889396,37.50077634
하나세인스톤1차, 구로동 110-8,126.8889838,37.50125411
티타운빌딩, 구로동 1127-22,126.8988813,37.48215162
몽삐에뜨3차, 구로동 1127-25,126.8994353,37.4824537
하나가드리움(1127-38), 구로동 1127-38,126.8994821,37.48236184
"	(1129-9)	", 구로동 1129-9,126.8974897,37.4813882
세종오피스텔, 구로동 1130-21,126.898297,37.48128305
"	골드마인(Ⅲ)오피스텔	", 구로동 1130-23,126.8986576,37.48100087
태천대, 구로동 1131-8,126.8989633,37.48043295
중앙오피스텔, 구로동 1132-26,126.8978047,37.4796686
다온쉐르빌, 구로동 1132-29,126.8975389,37.47965795
"	(1132-46)	", 구로동 1132-46,126.8970698,37.48006356
한나래16차, 구로동 1132-57,126.8962194,37.47881097
"	(1132-59)	", 구로동 1132-59,126.8970501,37.47941177
한라빌리언스 오피스텔, 구로동 182-6,126.8974984,37.48643358
하나가드리움(186-17), 구로동 186-17,126.8981578,37.48643261
예성유토피아(186-7), 구로동 186-7,126.8985999,37.48606307
예성유토피아(187-3), 구로동 187-3,126.899109,37.48561938
예성유토피아(187-4), 구로동 187-4,126.8994928,37.48542342
신도림포스빌, 구로동 26,126.8915402,37.50566326
한영선샤인빌리지, 구로동 3-81,126.8867048,37.50491374
조일뉴타워, 구로동 414-10,126.8830321,37.49356701
신도림 로제리움, 구로동 43-1,126.8914701,37.5034136
비즈트위트 레인보우, 구로동 44-5,126.8917076,37.50215015
비즈트위트 오렌지, 구로동 44-8,126.8913911,37.50211575
신도림 쌍용플래티넘 노블, 구로동 46,126.8914354,37.50113057
하나세인스톤3차, 구로동 46-4,126.8919804,37.50055879
신동아미래지움오피스텔, 구로동 474-1,126.8805797,37.50007512
스위트팰리스오피스텔, 구로동 474-20,126.8813181,37.49899164
"	(494-10)	", 구로동 494-10,126.8826455,37.49910144
대림오피스텔, 구로동 494-54,126.8827653,37.49868067
신성스카이뷰, 구로동 508-7,126.8841932,37.49781532
하이빌골드타워, 구로동 512-2,126.885761,37.49809916
구로에스케이뷰, 구로동 567-4,126.8829218,37.50255749
스타팰리스(603-9), 구로동 603-9,126.8810599,37.5033263
구로동복합건물OPUS1, 구로동 611-26,126.8771218,37.50458707
해오름, 구로동 642-88,126.8767966,37.49878675
SK 허브수, 구로동 650-4,126.8728847,37.49598095
퀸즈파크 구일, 구로동 651-2,126.8721768,37.49662188
근상프리즘팰리스, 구로동 685-204,126.8724284,37.49385301
오피스텔 미래지오, 구로동 810,126.8995161,37.48515024
로제리움2차, 구로동 97,126.8910319,37.49600448
우진체리쉬, 구로동 97-10,126.891965,37.49612726
하나세인스톤2차, 구로동 97-4,126.8919211,37.49647581
코원, 구로동 97-8,126.8921901,37.49624414
국제빌딩, 구로동 97-9,126.8920778,37.4961857
비즈트위트 그린, 구로동 98-10,126.8904447,37.49533733
파인마루오피스텔, 구로동 98-12,126.8902204,37.49522053
마인드에코프라움, 구로동 98-14,126.8900194,37.49511582
대림역 와이즈플레이스, 구로동 98-4,126.8903154,37.49557562
플러스빌(2-16), 구산동 2-16,126.9155218,37.61112135
보성리엔빌, 구산동 2-5,126.9158261,37.61135429
구산아이빌, 구산동 2-8,126.9157206,37.61116213
힐튼렉스빌, 구산동 3-24,126.9149374,37.61149902
뉴아름빌, 구산동 3-3,126.9154589,37.61175415
두진아이브, 구산동 3-50,126.9155284,37.61188984
워너빌, 구산동 3-8,126.9152713,37.61169527
"	(199-14)	", 구의동 199-14,127.0953215,37.54016867
현대13차폴라트리움, 구의동 199-23,127.0946257,37.53943299
(199-8), 구의동 199-8,127.0952363,37.54045555
다성리버텔, 구의동 218-12,127.092726,37.53896484
와이엔 오피스텔, 구의동 218-15,127.0919712,37.5385596
"	(219-17)	", 구의동 219-17,127.0916877,37.5389601
솔렌시아2, 구의동 236-25,127.0846682,37.54294684
리버 비스타 구의, 구의동 243-13,127.0889486,37.5381096
베스트 트레드빌, 구의동 243-2,127.0888012,37.53851673
아스하임, 구의동 243-3,127.0882634,37.5384742
(243-48), 구의동 243-48,127.0886094,37.53845637
구의동 벨라로사 오피스텔, 구의동 243-71,127.0876138,37.53778644
크레신타워3차, 구의동 246-14,127.0843829,37.53704383
아델리아 구의타워, 구의동 251-157,127.0840485,37.54144356
롯데홈타워빌, 구의동 251-16,127.0845461,37.5413125
아하바 하우스, 구의동 251-170,127.0845107,37.54114285
명진센트라임3, 구의동 251-176,127.0841837,37.54078743
솔렌시아, 구의동 251-177,127.083953,37.54124374
광진팰리스, 구의동 251-26,127.0836579,37.54056068
신도브래뉴오피스텔, 구의동 251-34,127.0834879,37.540014
아스하임, 구의동 252-100,127.0839645,37.53872506
웰츠타워, 구의동 252-16,127.08377,37.53818751
센트럴빌, 구의동 253-19,127.0832248,37.54472965
광진해모로리버뷰, 구의동 547-7,127.0921524,37.53334468
평강오피스텔, 구의동 598-2,127.0913271,37.53335086
썬-타워빌딩, 구의동 75-1,127.089552,37.55107941
그랜드파크 오피스텔, 구의동 76-1,127.0893636,37.55137445
구의동 홀가하우스, 구의동 80-29,127.0863374,37.54631386
동원데쟈뷰, 군자동 355-1,127.0683281,37.54924536
"	에피소드 1(Episode 1)	", 군자동 355-5,127.0681348,37.54874648
(473-1), 군자동 473-1,127.0769901,37.55773237
스테이 더 디자이너스 군자, 군자동 473-21,127.0778495,37.55734298
금호힐오피스텔, 금호동1가 1755,127.0257204,37.55166963
재호예향빌, 금호동4가 1028,127.0188558,37.54686872
지앤지타워, 길동 150-1,127.1438622,37.53509491
강동 디앤써밋, 길동 320-2,127.1428996,37.54472747
라온오피스텔, 길동 347-30,127.1424135,37.54114022
더힐스빌, 길동 350-3,127.1432349,37.54070445
노블레스, 길동 383-8,127.1366577,37.53902209
광남벨라스, 길동 385-3,127.1367145,37.53820487
"	(386-8)	", 길동 386-8,127.1373395,37.53770883
다성 이즈빌, 길동 387-2,127.138057,37.53809936
다성 이즈빌, 길동 387-4,127.1384019,37.53816133
길동청광플러스원큐브1차, 길동 387-5,127.138345,37.53800929
다성이즈빌, 길동 388-4,127.1390335,37.53783482
메트로 아파텔, 길동 388-5,127.1388979,37.53747279
다성 이즈빌, 길동 388-7,127.1387398,37.53798067
광남캐스빌, 길동 389-9,127.1393502,37.53765314
경지 Arium, 길동 413-11,127.1380849,37.53643575
"	(413-23)	", 길동 413-23,127.1382799,37.53633303
(413-24), 길동 413-24,127.1383279,37.53623728
아스테르 오피스텔, 길동 413-37,127.1384339,37.53657103
도고하임, 길동 413-54,127.1383842,37.53558396
강동 와이시티, 길동 414-4,127.1374464,37.53649038
강동 큐브 2차, 길동 415-13,127.1361604,37.53662199
청광플러스원큐브3차, 길동 415-16,127.1364838,37.53635905
드림하이츠, 길동 416-13,127.1357329,37.53681485
강동투웨니퍼스트, 길동 416-15,127.135697,37.53669052
솔목오피스텔, 길동 416-4,127.135573,37.53728431
강동역에스케이허브, 길동 445-1,127.1349727,37.535553
일성하이츠오피스텔, 길동 454-1,127.1363347,37.53517167
강동 큐브, 길동 456-3,127.1371006,37.53543713
다성이즈빌, 길동 456-4,127.1370466,37.53529289
청광플러스원큐브2차, 길동 457,127.1369444,37.53512955
강동렘브란트, 길동 457-1,127.1372673,37.53505288
거산 유팰리스, 길동 457-4,127.1372375,37.53479005
비바체하임, 길동 97-5,127.146352,37.5404408
경희궁의 아침 2단지, 내수동 71,126.9712814,37.57395496
경희궁의 아침 3단지, 내수동 72,126.9720837,37.57364515
경희궁의 아침 4단지, 내수동 73,126.9722729,37.5726095
광화문시대, 내수동 74,126.9731567,37.57379438
용비어천가, 내수동 75,126.9732568,37.57341849
노량진 드림스퀘어 복합빌딩, 노량진동 16-1,126.9393907,37.5143262
백명트렌디타워, 노량진동 194-3,126.9485887,37.51274895
