소재지번,위도,경도
서울특별시 강서구 등촌동719,37.5457992368953,126.862059678212
서울특별시 강동구 길동386-8,37.5377088274035,127.137339528789
서울특별시 은평구 갈현동468-4,37.612430593363,126.916129687327
서울특별시 영등포구 신길동22-5,37.5174637381135,126.917729582162
서울특별시 강남구 삼성동78-3,37.5193100746842,127.058029524942
서울특별시 관악구 남현동602-18,37.4748095902531,126.980664019831
서울특별시 마포구 아현동331-29,37.5568452289871,126.953651042949
서울특별시 성동구 홍익동125-1,37.5657272706747,127.035893902084
서울특별시 서대문구 연희동122-3,37.5696418151601,126.930947862993
서울특별시 성북구 정릉동141-4,37.6029129089831,127.012431798702
서울특별시 동대문구 장안동364-9,37.5682586668027,127.069890613563
서울특별시 강남구 삼성동157-18,37.5081641125804,127.057468903794
서울특별시 동대문구 이문동327-7,37.5949967838825,127.05908922562
서울특별시 성동구 도선동268,37.5632286102502,127.032985042907
서울특별시 서초구 서초동1328-7,37.4953221157033,127.028340982108
서울특별시 용산구 문배동40-31,37.5378933328723,126.967924805754
서울특별시 영등포구 당산동1가186-105,37.5225658328899,126.899737386713
서울특별시 금천구 가산동238-25,37.4722456831639,126.888675885205
서울특별시 동대문구 장안동374-1,37.5685323643587,127.068770958325
서울특별시 용산구 문배동11-34,37.5377939028052,126.96943610721
서울특별시 성동구 하왕십리동1070,37.5663379455023,127.028445899926
서울특별시 강서구 화곡동982-13,37.5491556291624,126.847812235516
서울특별시 광진구 구의동236-25,37.5429468445095,127.084668190516
서울특별시 서초구 양재동275-3,37.4765915526732,127.044277809522
서울특별시 성동구 성수동2가299-175,37.5487096820561,127.053760788834
서울특별시 서초구 서초동1582-3,37.4869756444659,127.011549158301
서울특별시 은평구 대조동179-47,37.6071199714028,126.922621409529
서울특별시 서초구 양재동3-14,37.4824852730788,127.036738397653
서울특별시 구로구 오류동55-16,37.4958704185078,126.845058209544
서울특별시 서초구 서초동1328-11,37.4947837999952,127.028598057648
서울특별시 동대문구 전농동601-2,37.5859463956531,127.052020900511
서울특별시 강동구 길동388-5,37.5374727879039,127.138897929831
서울특별시 강동구 둔촌동425-15,37.533237441865,127.139909653773
서울특별시 은평구 응암동85-14,37.6017721142623,126.924991148244
서울특별시 강동구 길동457-4,37.5347900500616,127.137237466196
서울특별시 영등포구 도림동820,37.5094399484556,126.8942354733
서울특별시 강남구 역삼동826-37,37.4954049665282,127.030403298367
서울특별시 서초구 서초동1337-21,37.4917906929221,127.029655496658
서울특별시 마포구 성산동592-5,37.5643056393753,126.903715405171
서울특별시 송파구 오금동45-4,37.5037371227992,127.126928646002
서울특별시 영등포구 신길동96-13,37.5141598358472,126.919890189292
서울특별시 은평구 대조동186-3,37.6174707774056,126.922208036053
서울특별시 구로구 구로동98-10,37.4953373270861,126.890444744966
서울특별시 영등포구 영등포동618-22,37.5142973601298,126.908411074804
서울특별시 은평구 대조동197-3,37.6176376038872,126.921015611898
서울특별시 강동구 길동387-4,37.538161330035,127.138401905899
서울특별시 마포구 성산동592-6,37.5642251154622,126.903200638828
서울특별시 강서구 화곡동1161,37.5546761666319,126.852894370042
서울특별시 송파구 가락동99-3,37.4933330855811,127.118749536899
서울특별시 서초구 서초동1327-29,37.4949428649795,127.027421420831
서울특별시 강서구 화곡동402-4,37.5400346340793,126.840917627322
서울특별시 송파구 가락동180-5,37.4930797447786,127.13622920832
서울특별시 도봉구 창동621-4,37.6460586978709,127.036796021551
서울특별시 성동구 금호동4가1028,37.5468687169486,127.018855798972
서울특별시 마포구 공덕동26-4,37.5438817321472,126.953275371849
서울특별시 관악구 신림동1474-15,37.4813239152161,126.913558146837
서울특별시 성동구 도선동22-1,37.5623658155744,127.03561565902
서울특별시 도봉구 창동338,37.651473996214,127.045927663025
서울특별시 영등포구 여의도동15-24,37.5275517214614,126.91959392541
서울특별시 강서구 화곡동46-208,37.5453356701511,126.84790832846
서울특별시 강동구 천호동164-70,37.5372131327462,127.133259580603
서울특별시 송파구 가락동98-7,37.4942712514689,127.119416379376
서울특별시 강서구 화곡동917-14,37.5293894755905,126.843829460695
서울특별시 마포구 성산동50-10,37.5652334796074,126.913042527306
서울특별시 은평구 응암동116-21,37.5980798650856,126.91985193307
서울특별시 금천구 독산동333-2,37.4700281689382,126.890921381327
서울특별시 도봉구 창동424-3,37.64587008648,127.049281531521
서울특별시 영등포구 신길동4300-10,37.4985320306589,126.9182814355
서울특별시 강동구 강일동677-5,37.5653152547171,127.173074386971
서울특별시 강서구 화곡동916-32,37.5293611486047,126.84329148891
서울특별시 동대문구 용두동104-34,37.5773101865294,127.033128574231
서울특별시 동대문구 신설동72-8,37.5774115377908,127.025486949518
서울특별시 강남구 역삼동702-23,37.504170338953,127.046414502318
서울특별시 중랑구 면목동90-64,37.5935944314727,127.091410188998
서울특별시 은평구 응암동85-19,37.6017779696399,126.925547855912
서울특별시 금천구 독산동1044,37.4627673283973,126.903457377621
서울특별시 동대문구 답십리동488-338,37.5664722848518,127.056565311692
서울특별시 영등포구 당산동4가27-5,37.5286858194299,126.901928278346
서울특별시 구로구 오류동46-1,37.4986485320515,126.836346521433
서울특별시 노원구 상계동330-29,37.6564579625502,127.066115009983
서울특별시 강서구 등촌동641-9,37.5565662639346,126.856473012923
서울특별시 용산구 문배동17-1,37.5374170481106,126.967438056847
서울특별시 용산구 한강로2가422,37.5347850168573,126.970969070574
서울특별시 강동구 천호동447-3,37.536132786097,127.134396468594
서울특별시 은평구 응암동111-13,37.5993768111443,126.918212872636
서울특별시 구로구 오류동6-63,37.4952254912885,126.840548226845
