건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균,건물형태,보증금평가,월세평가,경도,위도
(10-9),송파동 10-9,2층,2020 10 19,"     2,000/        50",21.99,6.7,2011,2217.1749945922556,77.16850529958901,연립/다세대,적정보증금,고월세,127.112573,37.513306
해오름빌.,송파동 94-20,4층,2020 10 19,"     3,000/        81",29.57,8.9,2016,3370.7865168539324,91.01123595505621,연립/다세대,적정보증금,고월세,127.095782,37.500546
(9-8),송파동 9-8,2층,2020 10 20,"     2,000/        40",21.08,6.4,2002,5185.688405797101,45.01811594202898,연립/다세대,적정보증금,고월세,127.004561,37.610947
하늘채,송파동 94-30,4층,2020 10 21,"     6,000/       100",46.91,14.2,2015,4225.352112676056,70.4225352112676,연립/다세대,적정보증금,고월세,127.09563,37.503798
(91-21),송파동 91-21,2층,2020 10 21,"     1,000/        44",20.64,6.2,2008,1612.9032258064515,70.96774193548387,연립/다세대,적정보증금,고월세,127.090205,37.502522
운정빌,송파동 14-13,5층,2020 10 22,"     1,000/        50",41.57,12.6,2004,793.6507936507937,39.68253968253968,연립/다세대,적정보증금,고월세,127.093097,37.503715
57-16,송파동 57-16,3층,2020 10 24,"     1,000/        44",13.01,3.9,1992,2633.402633402633,117.22106722106724,연립/다세대,적정보증금,고월세,127.108576,37.502202
진광빌라,송파동 111-22,5층,2020 10 30,"     5,000/        52",37.26,11.3,2012,5298.846572550332,47.952059012852146,연립/다세대,적정보증금,고월세,127.098485,37.500576
부렴마을,송파동 87-1,4층,2020 10 30,"     4,000/        70",46.28,14.0,2004,2857.142857142857,50.0,연립/다세대,적정보증금,고월세,127.091787,37.50448
(14-12),송파동 14-12,3층,2020 10 31,"    26,200/         0",52.11,15.8,2004,7177.5165762507495,48.749246534056674,연립/다세대,적정보증금,고월세,127.123246,37.501195
케이엠빌,송파동 39-16,2층,2020 10 31,"     5,000/        45",23.02,7.0,2015,4456.384323640961,52.0543615676359,연립/다세대,적정보증금,고월세,127.105373,37.505251
