건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균,건물형태,보증금평가,월세평가,경도,위도
반도 보라 아이비 타워,효제동 45,6층,2020 1 19,"1,000/65",26.58,8.0,2003,1250.0,81.25,오피스텔,적정보증금,고월세,127.0013426,37.57479953
오르세오피스텔,용답동 238-2,5층,2020 1 21,"12,000/20",43.55,13.2,2011,5545.454545454545,37.57575757575758,오피스텔,적정보증금,고월세,127.0681075,37.5596191
	(149-50)	,독산동 149-50,2층,2020 1 29,"2,000/30",16.17,4.9,2012,4081.6326530612237,61.224489795918366,오피스텔,적정보증금,고월세,126.89729240000001,37.47313573
블라썸시티,독산동 1003-19,8층,2020 1 31,"4,000/30",22.16,6.7,2017,3337.187302922009,61.12045406768974,오피스텔,적정보증금,고월세,126.89009209999999,37.46589854
상원빌딩,신내동 492-4,3층,2020 1 7,"2,000/35",22.76,6.9,2012,2898.5507246376815,50.72463768115942,오피스텔,적정보증금,고월세,127.1002148,37.60140468
	(317-35)	,숭인동 317-35,6층,2020 2 10,"1,000/20",9.12,2.8,2003,3571.4285714285716,71.42857142857143,오피스텔,적정보증금,고월세,127.0164955,37.57186519
	(413-23)	,길동 413-23,5층,2020 2 22,300/45,21.42,6.5,2003,461.5384615384616,69.23076923076923,오피스텔,적정보증금,고월세,127.13827990000001,37.53633303
(286-24),행당동 286-24,5층,2020 2 11,"5,000/75",27.92,8.4,2020,6547.619047619048,86.3095238095238,오피스텔,적정보증금,고월세,127.03434080000001,37.56114564
그린피아 오피스텔,봉천동 876-1,9층,2020 2 1,"1,000/45",21.08,6.4,2002,1562.5,70.3125,오피스텔,적정보증금,고월세,126.95027350000001,37.48072446
거장스카이 오피스텔,봉천동 883-5,8층,2020 2 6,"3,000/100",70.56,21.3,2003,1408.450704225352,46.94835680751174,오피스텔,적정보증금,고월세,126.9486598,37.4811571
옥주오피스텔,봉천동 877-16,4층,2020 2 6,"2,000/50",22.23,6.7,2004,2985.074626865672,74.6268656716418,오피스텔,적정보증금,고월세,126.9499105,37.48032438
첼라 오피스텔(117-39),응암동 117-39,7층,2020 2 3,500/50,25.2,7.6,2004,657.8947368421052,65.78947368421053,오피스텔,적정보증금,고월세,126.91862069999999,37.59646499
아노블리81,청담동 91-2,10층,2020 2 24,"3,000/350",59.95,18.1,2018,1657.4585635359113,193.37016574585635,오피스텔,적정보증금,고월세,127.04161880000001,37.52387933
블로섬하우스,대현동 90-36,5층,2020 2 1,"1,000/60",14.21,4.3,2019,2325.581395348837,139.53488372093022,오피스텔,적정보증금,고월세,126.94431000000002,37.55751662
대보마로니에텔,연건동 206,7층,2020 3 7,"1,000/65",26.52,8.0,2001,1282.8947368421052,82.64802631578947,오피스텔,적정보증금,고월세,127.0004312,37.57618652
	(199-14)	,구의동 199-14,2층,2020 3 3,"1,000/50",32.25,9.8,2001,1020.4081632653059,51.020408163265294,오피스텔,적정보증금,고월세,127.09532150000001,37.54016867
한강빌딩,독산동 332-37,3층,2020 3 1,"3,000/32",14.79,4.5,2017,6666.666666666666,71.1111111111111,오피스텔,적정보증금,고월세,126.8915463,37.46768426
	(331-22)	,아현동 331-22,5층,2020 3 20,500/40,20.4,6.2,2003,2016.1290322580649,62.09677419354839,오피스텔,적정보증금,고월세,126.9542477,37.55688324
드림타워,서초동 1589-1,9층,2020 3 25,"1,000/80",27.95,8.5,2019,1176.4705882352941,94.11764705882356,오피스텔,적정보증금,고월세,127.0125034,37.48539341
드림빌리지 오피스텔,신설동 117-14,7층,2020 3 9,"2,000/55",31.35,9.5,2004,2105.2631578947367,57.89473684210528,오피스텔,적정보증금,고월세,127.023597,37.57348383
	(90-1)	,대신동 90-1,4층,2020 3 14,"2,000/68",25.69,7.8,2006,6095.366621682413,58.11965811965812,오피스텔,적정보증금,고월세,126.945254,37.56483292
아이파크뷰,천호동 167-104,3층,2020 4 6,"1,000/45",20.1,6.1,2016,8973.08122205663,36.88524590163935,오피스텔,적정보증금,고월세,127.13234479999998,37.53923743
아르페온1,강일동 677-2,7층,2020 4 8,500/35,14.96,4.5,2015,1111.111111111111,77.77777777777777,오피스텔,적정보증금,고월세,127.17319779999998,37.56515843
강일리슈빌에스,강일동 679-3,8층,2020 4 13,"2,000/40",18.53,5.6,2016,6696.428571428573,54.46428571428571,오피스텔,적정보증금,고월세,127.17374040000001,37.56439984
강일 포디움,강일동 677,10층,2020 4 14,500/50,22.27,6.7,2016,7835.820895522388,37.3134328358209,오피스텔,적정보증금,고월세,127.17356940000002,37.56533902
주성아우라 오피스텔,광장동 120,6층,2020 4 28,"4,000/40",29.34,8.9,2011,4494.38202247191,44.943820224719104,오피스텔,적정보증금,고월세,127.1092777,37.55077243
리더스 오피스텔,봉천동 969-51,4층,2020 4 2,500/40,17.6,5.3,2003,943.3962264150942,75.47169811320755,오피스텔,적정보증금,고월세,126.93103559999999,37.48845484
동남오피스텔,봉천동 1659-10,6층,2020 4 11,"2,500/30",15.27,4.6,2001,5434.782608695652,65.21739130434784,오피스텔,적정보증금,고월세,126.9626564,37.47689348
	(867-7)	,봉천동 867-7,5층,2020 4 11,500/45,18.6,5.6,2003,8200.673015140781,49.82639174918035,오피스텔,적정보증금,고월세,126.950773,37.47990793
(56-83),대현동 56-83,5층,2020 4 6,"3,000/58",12.87,3.9,2019,8380.86096168909,149.38807962063774,오피스텔,적정보증금,고월세,126.9453264,37.5586706
신영오피스텔,홍은동 427,9층,2020 4 28,500/53,20.79,6.3,2012,1370.8513708513713,80.66378066378066,오피스텔,적정보증금,고월세,126.93668559999999,37.58201754
명진오피스텔,신정동 1192-16,2층,2020 5 13,500/40,23.76,7.2,2002,694.4444444444445,55.555555555555536,오피스텔,적정보증금,고월세,126.84997140000002,37.52190521
광화문 플래티넘,적선동 156,6층,2020 5 17,"1,000/60",47.63,14.4,2003,694.4444444444445,41.66666666666667,오피스텔,적정보증금,고월세,126.97355859999999,37.57443854
종로1번가,관철동 155,8층,2020 5 22,"1,000/65",18.68,5.7,2005,3684.256573724712,80.49562790009799,오피스텔,적정보증금,고월세,126.98508840000001,37.56889733
신당역올리브2,황학동 2484,6층,2020 5 16,"11,000/0",23.82,7.2,2004,5972.222222222221,48.61111111111111,오피스텔,적정보증금,고월세,127.02262590000001,37.56562088
MAVL PLACE,황학동 1596,13층,2020 5 21,"1,000/80",26.75,8.1,2019,1331.5696649029985,104.38271604938272,오피스텔,적정보증금,고월세,127.02326799999999,37.56911608
OR Plus Loft 오피스텔,황학동 1694,5층,2020 5 28,"5,000/73",27.09,8.2,2019,8640.408105523233,79.12819036691252,오피스텔,적정보증금,고월세,127.02317099999999,37.5701883
바비엥-2,의주로1가 25-10,13층,2020 5 23,"1,000/100",41.55,12.6,2005,793.6507936507937,79.36507936507937,오피스텔,적정보증금,고월세,126.9704135,37.55934419
좋은사람 좋은집,중곡동 190-3,5층,2020 5 18,500/42,20.35,6.2,2003,4653.733363410783,54.759756372659595,오피스텔,적정보증금,고월세,127.07865120000001,37.56747545
아델리아 구의타워,구의동 251-157,6층,2020 5 25,"1,000/47",18.74,5.7,2010,1754.3859649122805,82.45614035087719,오피스텔,적정보증금,고월세,127.08404850000001,37.54144356
	(224-12)	,자양동 224-12,2층,2020 5 25,"15,000/0",45.48,13.8,2002,5580.044079342816,36.86635944700461,오피스텔,적정보증금,고월세,127.07829209999998,37.53809021
(867-15),봉천동 867-15,5층,2020 5 4,"5,000/50",20.46,6.2,2019,8064.5161290322585,80.64516129032258,오피스텔,적정보증금,고월세,126.95053270000001,37.48022998
	(881-3)	,봉천동 881-3,4층,2020 5 5,300/40,14.4,4.4,2003,681.8181818181818,90.9090909090909,오피스텔,적정보증금,고월세,126.9478152,37.48033818
케이타워 오피스텔,봉천동 882-4,6층,2020 5 7,"3,000/40",18.24,5.5,2010,3181.818181818182,81.81818181818181,오피스텔,적정보증금,고월세,126.948605,37.48089332
해담채 봉천,봉천동 41-193,3층,2020 5 9,"3,000/61",21.3,6.4,2016,5580.357142857143,91.74107142857142,오피스텔,적정보증금,고월세,126.95450349999999,37.48612002
금탑오피스텔,봉천동 878-7,7층,2020 5 11,500/35,11.54,3.5,2005,4317.460317460318,75.83333333333334,오피스텔,적정보증금,고월세,126.94871429999999,37.47949754
힐스타워오피스텔,봉천동 1718-7,4층,2020 5 13,"1,000/60",33.41,10.1,2010,990.0990099009905,59.40594059405942,오피스텔,적정보증금,고월세,126.94556940000001,37.49264781
남성오피스텔,사당동 212-1,5층,2020 5 11,"2,000/35",15.98,4.8,2002,3386.0323089046497,77.70636327817178,오피스텔,적정보증금,고월세,126.9671973,37.48694234
	(349-26)	,상계동 349-26,3층,2020 5 6,"1,000/45",32.54,9.8,2003,1020.4081632653059,45.91836734693877,오피스텔,적정보증금,고월세,127.0656846,37.65647238
에스엠피렌체,대현동 37-48,6층,2020 5 26,"15,000/15",18.54,5.6,2018,7261.904761904763,94.24603174603176,오피스텔,적정보증금,고월세,126.94443700000001,37.55841632
홍익사랑,창천동 490,7층,2020 5 21,"1,000/55",22.11,6.7,2004,1492.5373134328354,82.08955223880595,오피스텔,적정보증금,고월세,126.9272731,37.5612256
현대41타워,목동 917-9,24층,2020 6 25,"10,000/150",94.57,28.6,2001,1858.2920838559933,45.06020295493978,오피스텔,적정보증금,고월세,126.8757991,37.5281901
정석그라시아,오장동 90-8,2층,2020 6 25,100/31,20.81,6.3,2019,158.30498866213168,49.34240362811792,오피스텔,적정보증금,고월세,126.99961359999999,37.56426231
광진팰리스,구의동 251-26,3층,2020 6 11,60/31,16.9,5.1,2019,117.64705882352942,60.78431372549021,오피스텔,적정보증금,고월세,127.08365790000002,37.54056068
금호힐오피스텔,금호동1가 1755,3층,2020 6 30,500/55,29.97,9.1,2002,5426.9826558983195,47.17330861909174,오피스텔,적정보증금,고월세,127.02572040000001,37.55166963
아트빌딩,성수동1가 685-308,6층,2020 6 27,"2,000/60",26.78,8.1,2003,2469.1358024691363,74.07407407407408,오피스텔,적정보증금,고월세,127.04268219999999,37.54814897
성수아카데미타워,성수동2가 277-17,12층,2020 6 22,"3,000/55",33.45,10.1,1998,1663.4996833016635,58.55585558555857,오피스텔,적정보증금,고월세,127.05782109999998,37.54518683
(233-8),용답동 233-8,9층,2020 6 15,"1,000/60",21.9,6.6,1985,1515.1515151515152,90.90909090909092,오피스텔,적정보증금,고월세,127.06560459999999,37.56069724
가산글로벌퍼스트,독산동 1005-4,7층,2020 6 3,"22,000/0",28.5,8.6,2018,8139.534883720928,56.74418604651163,오피스텔,적정보증금,고월세,126.8929862,37.46437091
메종에떼르넬,독산동 336-29,12층,2020 6 13,"2,000/80",28.98,8.8,2020,3800.940438871473,79.85022640195055,오피스텔,적정보증금,고월세,126.88788429999998,37.47104031
보배오피스텔,봉천동 876-14,2층,2020 6 2,"1,000/48",21.12,6.4,2004,1562.5,75.0,오피스텔,적정보증금,고월세,126.9497832,37.48077047
	(881-8)	,봉천동 881-8,6층,2020 6 4,"3,000/25",17.09,5.2,2004,5769.23076923077,48.07692307692307,오피스텔,적정보증금,고월세,126.94789890000001,37.48006901
샤인텔,봉천동 892-23,5층,2020 6 4,"1,000/35",16.12,4.9,2003,2040.8163265306118,71.42857142857143,오피스텔,적정보증금,고월세,126.9470307,37.48303014
이즈빌,봉천동 1595-3,4층,2020 6 6,"2,000/36",17.16,5.2,2004,3846.1538461538453,69.23076923076923,오피스텔,적정보증금,고월세,126.9531047,37.47539623
봉대오피스텔,봉천동 881-31,2층,2020 6 7,"1,000/38",16.5,5.0,2002,1986.9281045751638,77.28104575163398,오피스텔,적정보증금,고월세,126.9477697,37.48010878
태천대,구로동 1131-8,3층,2020 6 2,"1,000/50",30.51,9.2,2003,1207.729468599034,53.1400966183575,오피스텔,적정보증금,고월세,126.89896329999999,37.48043295
	(224-11)	,대조동 224-11,3층,2020 6 13,300/40,19.32,5.8,2002,517.2413793103449,68.96551724137932,오피스텔,적정보증금,고월세,126.9178969,37.61151877
용문 하이오피스텔,용문동 10-4,4층,2020 6 11,"3,000/50",28.95,8.8,2004,2045.454545454545,59.09090909090908,오피스텔,적정보증금,고월세,126.96115630000001,37.53671837
나루빌,송파동 85-5,4층,2020 6 24,500/50,20.13,6.1,2002,819.672131147541,81.96721311475413,오피스텔,적정보증금,고월세,127.1082423,37.50493308
	(17-6)	,송파동 17-6,4층,2020 6 26,"2,000/45",28.81,8.7,2004,1724.1379310344828,54.59770114942529,오피스텔,적정보증금,고월세,127.10747620000001,37.50650927
노빌리안골드,상계동 734-3,7층,2020 6 8,500/55,24.68,7.5,2004,633.7448559670783,69.71193415637859,오피스텔,적정보증금,고월세,127.05842890000001,37.65348458
	(413-126)	,연희동 413-126,3층,2020 6 19,"2,000/35",20.58,6.2,2003,2258.064516129032,61.29032258064516,오피스텔,적정보증금,고월세,126.92480049999999,37.56664596
대현프리몰,신당동 421-1,5층,2020 7 27,"1,000/64",18.18,5.5,2018,1486.7863060634147,104.6705423090965,오피스텔,적정보증금,고월세,127.00945929999999,37.55698283
골든빌,황학동 1752,4층,2020 7 1,500/58,34.11,10.3,2001,485.43689320388336,56.31067961165048,오피스텔,적정보증금,고월세,127.02085509999999,37.56945761
구로선경오피스텔,구로동 106-4,19층,2020 7 18,500/45,33.81,10.2,1993,668.8268527750082,41.126620139581256,오피스텔,적정보증금,고월세,126.89234009999998,37.49773904
하나가드리움(186-17),구로동 186-17,7층,2020 7 21,"3,000/45",25.92,7.8,2002,6196.581196581197,48.07692307692307,오피스텔,적정보증금,고월세,126.89815779999999,37.48643261
다숲,오류동 68-6,2층,2020 7 31,"2,000/95",65.5,19.8,2017,1010.1010101010104,47.979797979797965,오피스텔,적정보증금,고월세,126.841893,37.49287841
더메종277,천왕동 277-6,4층,2020 7 18,"1,000/66",27.33,8.3,2020,1731.0165182216767,90.43386946123243,오피스텔,적정보증금,고월세,126.83881729999999,37.48140446
대방오피스텔,대방동 337-1,7층,2020 7 3,"11,000/0",20.52,6.2,2003,9032.258064516129,38.70967741935483,오피스텔,적정보증금,고월세,126.9290034,37.49918448
동남빌리지,염창동 263-20,2층,2020 7 10,"3,000/50",28.4,8.6,2019,7031.927680321532,46.519360107502,오피스텔,적정보증금,고월세,126.8748112,37.54869826
	(1063-17)	,화곡동 1063-17,5층,2020 7 11,500/43,25.35,7.7,2002,649.3506493506493,55.84415584415584,오피스텔,적정보증금,고월세,126.8416014,37.54266079999999
경동엠파이어시티 101동,화곡동 1051-1,6층,2020 7 11,500/45,16.1,4.9,2013,1858.7795183539872,88.81225157820899,오피스텔,적정보증금,고월세,126.8387996,37.54289199
골든빌오피스텔(1246-3),개포동 1246-3,2층,2020 7 10,"1,000/80",23.76,7.2,2003,1388.888888888889,111.11111111111113,오피스텔,적정보증금,고월세,127.0461104,37.47874477
잠실동 렉스빌2차,잠실동 176-2,16층,2020 7 30,"20,000/0",44.31,13.4,2013,4780.215431334836,87.37096237096237,오피스텔,적정보증금,고월세,127.07930320000001,37.51091326
이대오늘아침 오피스텔,대현동 56-63,5층,2020 7 31,"1,000/65",17.5,5.3,2018,5169.5133505361155,109.9693150406728,오피스텔,적정보증금,고월세,126.9447894,37.55895866
	(903-27)	,신정동 903-27,7층,2020 8 28,"1,000/55",19.19,5.8,2012,765.1888341543512,98.2758620689655,오피스텔,적정보증금,고월세,126.86048490000002,37.52586013
오진오피스텔,신월동 506-8,2층,2020 8 26,"1,000/40",23.18,7.0,2004,952.3809523809523,63.33333333333333,오피스텔,적정보증금,고월세,126.8483631,37.52330383
BIZ-WELL 종로 오피스텔,익선동 34,9층,2020 8 26,"1,000/60",23.14,7.0,2004,1942.096365173288,84.5097210481826,오피스텔,적정보증금,고월세,126.9886527,37.57440679
드래곤팰리스,돈의동 41-1,3층,2020 8 11,"1,000/70",20.25,6.1,2019,8462.871949364677,88.6873151477169,오피스텔,적정보증금,고월세,126.99010600000001,37.57232156
	(500-10)	,암사동 500-10,4층,2020 8 29,"1,000/50",28.27,8.6,2005,1162.7906976744189,58.139534883720934,오피스텔,적정보증금,고월세,127.12875290000001,37.55202138
장원오피스텔,성내동 81-12,4층,2020 8 4,"3,000/52",27.39,8.3,2017,7280.647063779594,47.316538882803954,오피스텔,적정보증금,고월세,127.1234855,37.53674353
	(431-5)	,천호동 431-5,9층,2020 8 18,"1,000/50",27.45,8.3,2004,2464.590148597791,51.34418073866832,오피스텔,적정보증금,고월세,127.1234604,37.53997631
와이엔 오피스텔,구의동 218-15,6층,2020 8 18,"12,000/0",26.83,8.1,2003,6051.506051506052,36.536536536536545,오피스텔,적정보증금,고월세,127.0919712,37.5385596
썬-타워빌딩,구의동 75-1,6층,2020 8 29,"1,000/50",25.68,7.8,2007,1282.051282051282,64.1025641025641,오피스텔,적정보증금,고월세,127.089552,37.55107941
리오파크 오피스텔,하왕십리동 898-2,9층,2020 8 18,"7,000/30",24.07,7.3,2011,5982.361445778705,61.407475033211746,오피스텔,적정보증금,고월세,127.02748190000001,37.56466068
한스포레,성수동1가 72-114,4층,2020 8 1,"3,000/70",19.75,6.0,2019,3065.470448260339,122.46342208502155,오피스텔,적정보증금,고월세,127.04877140000002,37.54077009
서울숲오피스텔,성수동1가 656-392,5층,2020 8 4,"26,500/0",49.16,14.9,2013,8415.973822164346,42.288557213930346,오피스텔,적정보증금,고월세,127.04726770000002,37.54158275
부라다리빙텔,동소문동4가 75-2,8층,2020 8 24,"1,000/50",22.8,6.9,2003,1928.9954072562768,69.3452649974389,오피스텔,적정보증금,고월세,127.01066999999999,37.59086623
웰유,하월곡동 90-219,5층,2020 8 13,"2,000/55",18.02,5.5,2020,9457.036588184126,63.28183049494526,오피스텔,적정보증금,고월세,127.0324419,37.60409492
트윈타워(275-4),양재동 275-4,3층,2020 8 27,"16,000/0",24.07,7.3,1991,7739.336080012644,43.75162673833645,오피스텔,적정보증금,고월세,127.0439557,37.47688959
아멜리아,서초동 1303-7,12층,2020 8 4,"1,000/78",19.84,6.0,2019,1302.8375733855185,134.84018264840182,오피스텔,적정보증금,고월세,127.02325619999999,37.50350688
서초에스알타워,서초동 1542-13,8층,2020 8 12,"3,000/70",28.69,8.7,2003,1503.094606542882,90.18567639257296,오피스텔,적정보증금,고월세,127.00871570000001,37.49048519
	(1515-3)	,서초동 1515-3,6층,2020 8 25,"1,000/70",25.75,7.8,2003,1875.109017966161,87.03994418280134,오피스텔,적정보증금,고월세,127.00454350000001,37.48641396
서초오피스텔,서초동 1302-1,5층,2020 8 31,500/40,22.11,6.7,1988,746.2686567164177,59.70149253731344,오피스텔,적정보증금,고월세,127.0217703,37.50319155
(877-29),봉천동 877-29,1층,2020 8 1,"2,000/20",12.13,3.7,2005,3922.214897824653,61.173368490441646,오피스텔,적정보증금,고월세,126.9495378,37.47982113
메카오피스텔,봉천동 863-6,12층,2020 8 1,"5,000/30",19.0,5.7,2003,8771.929824561403,52.631578947368425,오피스텔,적정보증금,고월세,126.95175290000002,37.47966092
도림두산베어스타워,구로동 110-4,7층,2020 8 3,"1,000/50",43.22,13.1,1997,763.3587786259543,38.16793893129771,오피스텔,적정보증금,고월세,126.8896405,37.50100477
스위트팰리스오피스텔,구로동 474-20,2층,2020 8 4,"1,000/45",24.36,7.4,2002,1351.3513513513512,60.81081081081082,오피스텔,적정보증금,고월세,126.88131809999999,37.49899164
동은컴페니언오피스텔,신설동 89-53,10층,2020 8 8,"1,000/50",31.8,9.6,2003,888.4803921568628,55.453431372549026,오피스텔,적정보증금,고월세,127.02644309999998,37.576870899999996
(81-79),신설동 81-79,4층,2020 8 8,"3,000/40",19.51,5.9,2018,4636.091724825525,71.61847789963444,오피스텔,적정보증금,고월세,127.02345919999999,37.576482299999995
브라운 힐,연희동 100-15,2층,2020 8 6,"1,000/34",20.72,6.3,2002,1360.544217687075,64.8526077097506,오피스텔,적정보증금,고월세,126.9295571,37.5720352
쌍문하이빌,창동 659-21,7층,2020 9 17,"2,500/40",31.98,9.7,2004,2577.3195876288664,41.23711340206186,오피스텔,적정보증금,고월세,127.0356747,37.64883505
종로대우디오빌,숭인동 310,6층,2020 9 12,"1,000/60",30.17,9.1,2004,4802.604802604803,49.81684981684983,오피스텔,적정보증금,고월세,127.0161039,37.57283567
엘리시앙오피스텔,숭인동 200-33,9층,2020 9 25,"6,000/30",30.36,9.2,2005,4432.401399442073,49.04597506280537,오피스텔,적정보증금,고월세,127.019894,37.57396405
아지(AZ)0213,중곡동 648-14,7층,2020 9 2,"3,500/45",20.85,6.3,2015,4526.100196728381,81.0467027784515,오피스텔,적정보증금,고월세,127.0795712,37.55818186
(199-8),구의동 199-8,6층,2020 9 19,"21,000/0",26.93,8.1,2017,5852.444862317105,76.25469338593612,오피스텔,적정보증금,고월세,127.0952363,37.54045555
효성리버카운티,광장동 108,3층,2020 9 19,500/53,27.8,8.4,2003,3459.121747662515,50.90715933271078,오피스텔,적정보증금,고월세,127.1100352,37.55141439
글로벌시티,화양동 49-12,4층,2020 9 3,"2,000/50",20.61,6.2,2003,3225.806451612903,80.64516129032258,오피스텔,적정보증금,고월세,127.06638670000001,37.54167446
(473-1),군자동 473-1,10층,2020 9 24,"2,000/65",18.1,5.5,2019,9581.818181818184,101.45454545454544,오피스텔,적정보증금,고월세,127.07699009999999,37.55773237
성원상떼뷰,옥수동 475,9층,2020 9 29,"1,000/70",27.01,8.2,2004,6654.748487211899,55.309496066890624,오피스텔,적정보증금,고월세,127.01174440000001,37.540612700000004
EPISODE Seong Su 121,성수동1가 26-3,4층,2020 9 3,"3,000/85",17.4,5.3,2019,3329.1001451378816,172.86828737300442,오피스텔,적정보증금,고월세,127.04942609999999,37.54224641
수산리빙텔,안암동2가 154-1,6층,2020 9 3,"1,000/50",25.2,7.6,2002,1315.7894736842104,65.78947368421053,오피스텔,적정보증금,고월세,127.02265619999999,37.58617256
멤버스 뷰,방배동 477-1,8층,2020 9 28,"15,000/0",26.8,8.1,2005,9876.543209876545,37.03703703703704,오피스텔,적정보증금,고월세,126.98741070000001,37.477385399999996
신사샤르망에스,잠원동 15-4,12층,2020 9 7,"15,000/0",20.46,6.2,2008,8118.279569892476,78.49462365591398,오피스텔,적정보증금,고월세,127.0173866,37.51574278
크레신타워-Ⅰ,잠원동 8-24,7층,2020 9 7,"1,000/85",31.4,9.5,2004,1052.6315789473686,88.94736842105263,오피스텔,적정보증금,고월세,127.01850890000001,37.51809169
송현 나이스빌,서초동 1492-8,4층,2020 9 18,"5,000/190",74.62,22.6,2003,2212.389380530973,68.141592920354,오피스텔,적정보증금,고월세,127.0035624,37.48416842
녹번동오피스텔,녹번동 35-75,6층,2020 9 12,"1,000/55",35.42,10.7,2001,934.5794392523364,51.401869158878526,오피스텔,적정보증금,고월세,126.93463429999998,37.60319127
	(599-4)	,응암동 599-4,7층,2020 9 4,"1,000/47",17.39,5.3,2011,1415.0943396226417,82.0754716981132,오피스텔,적정보증금,고월세,126.916316,37.58906387
	(36-30)	,역촌동 36-30,7층,2020 9 22,500/45,21.56,6.5,2010,769.2307692307692,69.23076923076923,오피스텔,적정보증금,고월세,126.91629569999999,37.60190049
정원 TOP 오피스텔,신사동 21-12,3층,2020 9 21,"2,000/45",19.8,6.0,2003,3333.333333333333,75.0,오피스텔,적정보증금,고월세,126.9133685,37.59831104
신일유토빌,역삼동 735-11,5층,2020 9 8,"1,000/65",32.99,10.0,2003,5510.75691579124,46.57894736842106,오피스텔,적정보증금,고월세,127.03348079999999,37.49883406
메이플라워멤버스빌오피스텔,역삼동 736-22,12층,2020 9 24,"10,000/25",20.1,6.1,2006,3119.798234552333,77.30138713745272,오피스텔,적정보증금,고월세,127.0347453,37.49874586
효성 인텔리안 오피스텔,수유동 230-7,14층,2020 9 25,"1,000/50",30.49,9.2,2005,2833.5326715262963,44.75961800818791,오피스텔,적정보증금,고월세,127.0234355,37.63644592
	(174-32)	,묵동 174-32,2층,2020 9 29,"1,000/37",21.42,6.5,2003,3072.9041073868652,44.96704444980307,오피스텔,적정보증금,고월세,127.0782851,37.61269526
나래오피스텔,망우동 508-32,1층,2020 9 14,500/30,20.4,6.2,2003,806.4516129032257,48.38709677419354,오피스텔,적정보증금,고월세,127.0943299,37.59623208
이화인비따레오피스텔,대현동 45-5,3층,2020 9 7,"4,000/50",28.4,8.6,2004,7238.015250121017,61.14322122605018,오피스텔,적정보증금,고월세,126.9470949,37.55725087
	(188-3)	,연희동 188-3,7층,2020 9 7,500/65,18.55,5.6,2004,892.8571428571429,116.07142857142858,오피스텔,적정보증금,고월세,126.93039350000001,37.56661944
타임프라자,창동 296-1,6층,2020 10 5,500/50,26.18,7.9,2004,4104.453240323444,40.45908392226533,오피스텔,적정보증금,고월세,127.0414452,37.65565298
JINI vill,창동 715-9,4층,2020 10 14,"3,000/60",46.29,14.0,2012,2142.8571428571427,42.857142857142854,오피스텔,적정보증금,고월세,127.0394239,37.65562127
목동팰리스오피스텔,목동 607-1,8층,2020 10 10,"1,000/45",18.39,5.6,2010,1785.7142857142858,80.35714285714286,오피스텔,적정보증금,고월세,126.8647818,37.55030192
목동오피스텔,목동 791-21,5층,2020 10 30,"2,000/50",22.72,6.9,2004,2898.5507246376815,72.46376811594202,오피스텔,적정보증금,고월세,126.8647277,37.53331017
신목동샤르망오피스텔,신월동 235-7,5층,2020 10 5,"5,000/0",23.06,7.0,2004,2921.075837742505,38.888888888888886,오피스텔,적정보증금,고월세,126.83887879999999,37.52853016
상떼 오피스텔,천호동 554-2,2층,2020 10 12,"3,000/26",19.18,5.8,2005,4827.586206896554,47.931034482758605,오피스텔,적정보증금,고월세,127.1296578,37.54026994
리아리움더언타워,중곡동 157-17,7층,2020 10 28,"3,000/50",15.56,4.7,2017,5840.243390248993,114.79056557700136,오피스텔,적정보증금,고월세,127.0807752,37.55740354
드림타운,자양동 794,4층,2020 10 17,"3,000/50",26.68,8.1,1983,3056.6711289602863,58.57504090435817,오피스텔,적정보증금,고월세,127.0773429,37.53773978
BLUE SKY,화양동 111-73,9층,2020 10 19,"3,000/50",19.36,5.9,2018,5084.745762711866,84.7457627118644,오피스텔,적정보증금,고월세,127.072355,37.54704059
케이타워 오피스텔 A,화양동 21-23,4층,2020 10 22,"11,500/0",19.93,6.0,2013,9166.666666666666,54.444444444444464,오피스텔,적정보증금,고월세,127.0687088,37.5478072
서울 디지털 드림타운,가산동 494-4,14층,2020 10 12,"2,000/37",32.2,9.7,2006,2028.1652179772248,42.4230173168924,오피스텔,적정보증금,고월세,126.87614209999998,37.48202948
대명 U타운,가산동 153-7,6층,2020 10 24,"8,000/0",17.29,5.2,2017,5577.169452955615,51.81287964306832,오피스텔,적정보증금,고월세,126.89425829999999,37.47389394
	(237-16)	,가산동 237-16,7층,2020 10 28,100/39,17.02,5.1,2003,3071.1849957374247,56.37254901960785,오피스텔,적정보증금,고월세,126.88921200000001,37.47336151
부띠크 모나코,서초동 1316-5,5층,2020 10 16,"10,000/430",124.26,37.6,2008,2160.3520180957094,123.62603378808228,오피스텔,적정보증금,고월세,127.0244847,37.4975296
에스타워,봉천동 1658-16,4층,2020 10 6,"5,000/65",18.75,5.7,2020,9984.051036682617,106.75172780435938,오피스텔,적정보증금,고월세,126.96418829999999,37.47635253
참오피스텔,봉천동 1680-24,2층,2020 10 11,"3,000/30",15.82,4.8,2005,6250.0,62.5,오피스텔,적정보증금,고월세,126.9613408,37.4786104
네오팰리스,구로동 103-8,12층,2020 10 26,"1,000/50",30.55,9.2,2003,3502.0421607378125,39.58695652173913,오피스텔,적정보증금,고월세,126.89032209999999,37.49662294
국일오피스텔,개봉동 403-15,3층,2020 10 31,500/35,22.72,6.9,2002,1108.2125603864733,50.43478260869564,오피스텔,적정보증금,고월세,126.85593759999999,37.49463059
