소재지번,위도,경도
서울특별시 강서구 마곡동736,37.5606927830417,126.824084659081
서울특별시 구로구 구로동797-22,37.4847266131509,126.88906806487
서울특별시 강서구 화곡동56-28,37.5415384555159,126.850880275986
서울특별시 강동구 둔촌동518-13,37.5289361051558,127.137968048026
서울특별시 강남구 삼성동64-4,37.5174195695127,127.052254577883
서울특별시 강남구 논현동103,37.5196365137921,127.038137643633
서울특별시 강서구 방화동796,37.5701151498658,126.8159228339
서울특별시 광진구 구의동205-6,37.5425478333872,127.09312324471
서울특별시 강남구 일원동615,37.4923071026914,127.078225863604
서울특별시 도봉구 방학동444-31,37.6628778078535,127.028184640024
서울특별시 관악구 남현동1072-47,37.4727434567758,126.97314079431
서울특별시 강서구 방화동876,37.5717960721731,126.821348051162
서울특별시 관악구 봉천동30-8,37.4839778990358,126.955977331763
서울특별시 광진구 광장동118,37.5511562684036,127.109456007121
서울특별시 광진구 자양동784-1,37.5364168018,127.06832530785
서울특별시 금천구 시흥동948,37.4412210794595,126.906320268224
서울특별시 강서구 가양동448-10,37.5604817701053,126.858322378316
서울특별시 강서구 가양동235-4,37.572413896556,126.839582695074
서울특별시 금천구 시흥동960-6,37.4391588256862,126.905395565096
서울특별시 강동구 성내동565,37.527201506649,127.126617156488
서울특별시 강남구 대치동910-4,37.5016114828185,127.054813216187
서울특별시 강남구 청담동43,37.5255883088386,127.050111103142
서울특별시 관악구 봉천동1723,37.4686554786666,126.965787703377
서울특별시 강동구 길동472,37.5393516196494,127.13942750985
서울특별시 금천구 시흥동1016,37.4603459974141,126.907864817786
서울특별시 강서구 방화동168-38,37.5730841398662,126.818153380167
서울특별시 노원구 상계동1255,37.6815401240047,127.054582216442
서울특별시 도봉구 창동809,37.6378701560761,127.035686450508
서울특별시 광진구 중곡동130-5,37.5556422914254,127.085999741511
서울특별시 광진구 광장동582,37.5431603027243,127.099680538267
서울특별시 광진구 구의동547,37.5341546120557,127.092216325613
서울특별시 강남구 삼성동99-3,37.5178546691564,127.06466447688
서울특별시 강서구 내발산동711-6,37.5503103292286,126.832487349458
서울특별시 구로구 구로동791-11,37.4863453030379,126.889157959517
서울특별시 강동구 암사동459-1,37.5545114139398,127.132340357065
서울특별시 강남구 압구정동447,37.5305351679137,127.026187287091
서울특별시 관악구 봉천동1522-33,37.4817992652307,126.940134826299
서울특별시 강서구 화곡동931-9,37.5273602966301,126.842245718054
서울특별시 관악구 신림동1484-9,37.4809402417193,126.911477264764
서울특별시 강서구 화곡동377-21,37.5372147748088,126.835554855029
서울특별시 관악구 봉천동1616-11,37.4751737480747,126.954620962953
서울특별시 강동구 천호동22-17,37.5497847953286,127.141027307963
서울특별시 광진구 구의동236-25,37.5429468445095,127.084668190516
서울특별시 강서구 화곡동899-13,37.5299709882447,126.846621556649
서울특별시 강서구 화곡동353-20,37.5336646380251,126.842802239571
서울특별시 강서구 등촌동714,37.554371423141,126.860704474469
서울특별시 구로구 구로동107-1,37.499435902297,126.890948821976
서울특별시 강서구 공항동1371,37.5637216152026,126.815786035333
서울특별시 도봉구 쌍문동726,37.6505197223425,127.029425672716
서울특별시 강남구 삼성동114-11,37.5114525155601,127.04883948534
서울특별시 구로구 개봉동335-1,37.4936005915155,126.848719419319
서울특별시 노원구 중계동90-30,37.6501122885063,127.084681067636
서울특별시 도봉구 창동552-12,37.637155097791,127.03705921928
서울특별시 관악구 신림동518-19,37.4860413357557,126.91228017244
서울특별시 구로구 구로동440,37.4950923488897,126.885461245852
서울특별시 강동구 천호동291-50,37.5473729254618,127.132593041593
서울특별시 관악구 봉천동1594-4,37.4743630498498,126.95344658877
서울특별시 강서구 내발산동738,37.5519451790471,126.839864644435
서울특별시 관악구 봉천동1591-2,37.476160277912,126.95207196214
서울특별시 광진구 광장동576,37.5425073372521,127.097750657016
서울특별시 노원구 월계동939,37.6316347082843,127.043908314053
서울특별시 구로구 구로동749-39,37.4877122284341,126.887611895275
서울특별시 강남구 도곡동963,37.4905405587539,127.039955446518
서울특별시 강남구 일원동615-1,37.491297203517,127.07927860331
서울특별시 도봉구 쌍문동139-52,37.6497480328578,127.031072294398
서울특별시 노원구 중계동360-2,37.6499131366608,127.074385247419
서울특별시 금천구 독산동1159,37.4714715139505,126.892428647809
서울특별시 강동구 길동388-5,37.5374727879039,127.138897929831
서울특별시 구로구 구로동1273,37.4905174483164,126.895250349673
서울특별시 노원구 공릉동690-23,37.6171727530843,127.072400878379
서울특별시 노원구 중계동161-1,37.6598693395737,127.076272744637
서울특별시 구로구 고척동171-31,37.5052143933979,126.859559729533
서울특별시 도봉구 도봉동595,37.6793222488606,127.044348424225
서울특별시 구로구 구로동751-3,37.4881764834541,126.887921706218
서울특별시 관악구 신림동497-5,37.4887665492943,126.916727414144
서울특별시 구로구 구로동807-17,37.4862987260586,126.885754012455
서울특별시 동대문구 답십리동1000,37.5758151734853,127.065410791354
서울특별시 관악구 신림동1712,37.4734617092012,126.914159044681
서울특별시 강서구 화곡동401-25,37.5395883784023,126.841385698397
서울특별시 금천구 시흥동961-4,37.4388786440719,126.905034428659
서울특별시 강남구 역삼동826-37,37.4954049665282,127.030403298367
서울특별시 강서구 방화동168-114,37.5730452427926,126.81849729986
서울특별시 강서구 화곡동1019-19,37.5440050438029,126.83521296937
서울특별시 강서구 화곡동1138,37.5293616058383,126.855799003819
서울특별시 강북구 우이동84-8,37.6526538682306,127.010176050373
서울특별시 광진구 화양동9-91,37.5415089430239,127.068686827074
서울특별시 노원구 상계동1055,37.6728198930317,127.05272254758
