가게,주소,도로명주소,경도,위도
킴스클럽 천호2점,천호동 563,서울 강동구 구천면로 189 2001아울렛,127.125537,37.54159255
세이브존 노원점,하계동 284,서울 노원구 한글비석로 57,127.0688345,37.63660314
킴스클럽 중계점,중계동 509,서울 노원구 동일로204가길 46 2001아울렛,127.0679044,37.6412881
롯데빅마켓 영등포점,영등포동8가 62-1,서울 영등포구 영중로 125,126.9046634,37.52783559
롯데빅마켓 금천점,독산동 295-10,서울 금천구 두산로 71,126.8956299,37.47061423
수협바다마트 노량진점,노량진동 330,서울 동작구 만양로 84,126.9451375,37.51135905
월드마트,상도동 535,서울 동작구 상도로30길 40,126.9424323,37.5043217
더드림식자재마트,장안동 462,서울 동대문구 장한로2길 33 1층,127.0672347,37.56229875
시티마트,남가좌동 349-1,서울 서대문구 증가로 141,126.9219143,37.57737963
메가마트 본사,시흥동 984-33,서울 금천구 시흥대로27길 32 B동,126.9015369,37.44083834
하모니마트 마천점,마천동 601,서울 송파구 성내천로47길 31,127.1576671,37.49562615
한국유통,방화동 573-5,서울 강서구 양천로18길 5,126.8130247,37.5731583
수인식자재마트 강서점,외발산동 427,서울 강서구 발산로 40,126.8212123,37.55531429
현대그린마트,신정동 1279,서울 양천구 목동동로12길 60 상가동 1층 101~106호,126.8774774,37.52208827
용호식자재마트,쌍문동 711,서울 도봉구 방학로5길 33 1층 1호,127.0381323,37.66141943
한두레마트 대치점,대치동 316,서울 강남구 삼성로 212,127.0640314,37.49597231
곰식자재마트,창동 581-81,서울 도봉구 덕릉로59가길 9,127.0386004,37.64004179
풍기인삼농협 하나로미니,홍파동 199,서울 종로구 송월길 99 경희궁자이2단지 상가 1층 2109호,126.9629281,37.56996171
세이러스 본사,상계동 624,서울 노원구 동일로227길 26 1층,127.054087,37.66752468
초록마을 고덕역점,명일동 48-14,서울 강동구 동남로71길 24,127.1547744,37.55196587
정현마트,도림동 32-11,서울 영등포구 신길로 215,126.9097479,37.5113593
금강대형마트,등촌동 700,서울 강서구 공항대로41길 34,126.8457147,37.55928299
홍은후레쉬대형마트 반찬코너,홍은동 455,서울 서대문구 세검정로1길 93,126.9455657,37.59446902
