주소,위도,경도
 등촌동 660-9,37.5573251186067,126.849976084728
 화곡동 102-301,37.5385797328656,126.844509884549
 화곡동 1075-27,37.5408107267802,126.840580410941
 봉천동 180-547,37.4696543389783,126.96540826209
 내발산동 691-2,37.5530904285188,126.829760457942
 제기동 148-20,37.5825022265959,127.030466990479
 봉천동 196-148,37.4733412819984,126.962541758958
 양재동 280-2,37.4749654808553,127.045976213461
 상봉동 103-12,37.595637439911,127.088237881628
 봉천동 180-32,37.4710961452642,126.965255526343
 장안동 105-13,37.57792233145,127.069221937085
 화곡동 972-11,37.5480512544617,126.848121258357
 화곡동 367-40,37.5375499048416,126.841132453963
 반포동 733-35,37.5054555269283,127.020592873164
 중화동 131-34,37.6009253668947,127.085751576708
 화곡동 24-620,37.5443865243553,126.844667416823
 화곡동 1083-16,37.5395512829409,126.83759847851
 장안동 445-2,37.5643525564298,127.069274460883
 봉천동 877-7,37.4796837255931,126.950110059354
 봉천동 180-402,37.4704444601094,126.965480775555
 양재동 280-11,37.4750904130626,127.04559355277
 구로동 448-81,37.4963060516357,126.884777534501
 화곡동 392-62,37.5325840764661,126.848890575547
 궁동 197-1,37.494528980659,126.836509527075
 양재동 209-1,37.4649137001481,127.034656799124
 장안동 167-7,37.5694845231932,127.06666447003
 신림동 97-5,37.4748892806771,126.938562754788
 고척동 48-10,37.5054490697418,126.865085972999
 장안동 466-4,37.5614045498232,127.069561118764
 화곡동 111-73,37.5454712968568,126.843937255372
 화곡동 51-80,37.5433149954846,126.848715099837
 휘경동 294-249,37.5866007678269,127.060254528009
 화곡동 804-15,37.5334179836509,126.862248995436
 양재동 383-1,37.4700500848666,127.0462665979
 청량리동 206-7,37.5910642076732,127.04583915058
 화곡동 410-43,37.537488985107,126.848882045254
 신당동 333-18,37.556764809963,127.014881533973
 신림동 1659-7,37.4816786295224,126.904899896733
 화곡동 394-2,37.5343898761301,126.849460817514
 방배동 824-8,37.4903692541802,126.985187049326
 오류동 9-65,37.4965415912512,126.840163310832
 구로동 252-4,37.4851215321832,126.892106786297
 신당동 333-46,37.5570626608231,127.014083373564
 방배동 750-9,37.4981275771138,126.985953694591
 양재동 339-5,37.4693199679885,127.043409905148
 공항동 61-40,37.5581540200728,126.809724810244
 청량리동 886,37.5876567411603,127.046354540581
 구로동 112-43,37.5001951643139,126.887432508695
 휘경동 294-217,37.5866664841247,127.060620446084
 방배동 978-14,37.4815218612573,126.992422916646
 등촌동 518-19,37.5466704424018,126.858695287033
 장안동 326-2,37.0589293254534,127.082097358835
 전농동 103-281,37.5869354603324,127.053722195317
 등촌동 365-142,37.550150659262,126.858243538342
 남현동 1067-6,37.475301515392,126.976667339384
 방배동 830-7,37.489017613428,126.987245440803
 양재동 65-1,37.4786150878776,127.037090089712
 화곡동 155-30,37.5352370624371,126.850544417575
 봉천동 715-32,37.492459893485,126.930426807527
 상봉동 235,35.2088043901478,128.075571267718
 신림동 685-66,37.4657185150608,126.918434245341
 신림동 1409-8,37.4855940005629,126.933992286637
 봉천동 180-176,37.4706118502759,126.969725391105
 등촌동 721,37.5358158661925,126.863032623447
 반포동 84-9,37.4942160297285,127.001177886019
 화곡동 963-9,37.5475458498296,126.851051766828
 내발산동 703-29,37.5523452451011,126.838778058774
 봉천동 178-85,37.4715669523149,126.969157145705
 휘경동 286-12,37.5880722902944,127.062448226886
 봉천동 673-58,37.4902666344354,126.933721754993
 면목동 1342-17,37.5713040294992,127.086651367071
 외발산동 217-25,37.5463990854121,126.822573436868
 내발산동 709-10,37.5512773892881,126.834627891234
 방배동 890-4,37.4871466516628,126.997241324645
 방배동 925-11,37.4843283292967,126.99522101978
 화곡동 395-5,37.5343757423762,126.849882017662
 묵동 155-19,37.6179035028709,127.080514827514
 방화동 619-5,37.5631729901356,126.80729327762
 반포동 728-17,37.5058409597978,127.018657492555
 오류동 13-135,37.4970271465625,126.840839788281
 봉천동 1516-9,37.4840041908715,126.951466073825
 반포동 718-2,37.5088329595724,127.019485680002
 이문동 89-28,37.5955942708507,127.06693731273
 방배동 841-15,37.4916222517855,126.994028653101
 방배동 856-28,37.4882016407919,126.989865481702
 화곡동 343-29,37.5316438825371,126.845714626644
 방배동 901-11,37.4864253313038,126.996027107319
 화곡동 105-142,37.5402442741208,126.842123456535
 봉천동 909-19,37.4837129524578,126.945456648064
 상봉동 116-17,37.5960794077992,127.083109082531
 남현동 602-60,37.4736343379174,126.980154921936
 방배동 779-28,37.4930406004378,126.985536779646
 봉천동 649-2,37.4886761610608,126.935805702078
 신당동 308-2,37.5600016404706,127.012953194042
 오류동 81-123,37.4953870457729,126.838111106619
 구로동 112-7,37.5009210629708,126.88758009484
 장충동2가 193-159,37.5590555504208,127.000759670691
 방배동 867-17,37.4863990199414,126.9875203363
 장안동 183-4,37.5681212606907,127.065325403237
 화곡동 996-4,37.5523327781319,126.84845020716
 장충동2가 193-477,37.5591177026767,127.001148844402
 화곡동 1115-34,37.5529725111457,126.853146422911
 신림동 92-219,37.4778038964289,126.937018655651
 휘경동 312-3,37.5880352168333,127.056675753845
 화곡동 457-23,37.5343503496037,126.854808079162
 서초동 1490-20,37.4830647509609,127.003415830249
