소재지번,위도,경도
서울특별시 강동구 암사동495-39,37.5498487345447,127.130495191749
서울특별시 강동구 천호동326-7,37.5463600155195,127.123131993057
서울특별시 강북구 번동458-64,37.6382890892686,127.033036445277
서울특별시 강서구 내발산동718-3,37.5505204146369,126.835368562076
서울특별시 강서구 등촌동719,37.5457992368953,126.862059678212
서울특별시 강북구 수유동530-61,37.6426175682601,127.009043778469
서울특별시 강동구 암사동490-13,37.5488988386037,127.132375867245
서울특별시 강북구 미아동87-16,37.6156949503057,127.032571096792
서울특별시 강남구 개포동1181-7,37.4749917558248,127.053969734686
서울특별시 강북구 번동148-193,37.6265334993225,127.034772059563
서울특별시 강서구 방화동564-36,37.5703067780571,126.811157949072
서울특별시 강동구 암사동482-32,37.5511300313399,127.133269302933
서울특별시 강북구 미아동715,37.6208941292789,127.032804392976
서울특별시 강서구 등촌동574-7,37.5373543141896,126.861490686029
서울특별시 강동구 암사동449-7,37.5570105811621,127.137798457551
서울특별시 강북구 미아동302-49,37.6250435789441,127.02418809875
서울특별시 강서구 공항동21-9,37.5628476196563,126.813007069126
서울특별시 강북구 미아동258-474,37.6232555277477,127.033182743699
서울특별시 강북구 미아동258-118,37.6244941178823,127.032949724106
서울특별시 강서구 내발산동676-8,37.5530383801859,126.837814939919
서울특별시 강서구 염창동283,37.5477834372854,126.876832220401
서울특별시 강서구 방화동323-14,37.5775569802636,126.815760939343
서울특별시 강북구 미아동791-2806,37.6238512495367,127.015238864169
서울특별시 강북구 미아동258-664,37.6275023606072,127.031087407457
서울특별시 강동구 길동382-2,37.5392250167354,127.137184873299
서울특별시 강동구 천호동220-13,37.5459424859484,127.135465480026
서울특별시 강북구 수유동252-119,37.6445435154091,127.022800403662
서울특별시 강서구 화곡동56-74,37.540731848962,126.851454517102
서울특별시 강서구 화곡동856-4,37.530338017149,126.854410329199
서울특별시 강북구 미아동319-45,37.6216410664334,127.025144114461
서울특별시 강서구 내발산동714,37.5491096100223,126.832046789568
서울특별시 강동구 상일동312-4,37.5465334901381,127.169822712562
서울특별시 강북구 수유동46-37,37.641097312355,127.020553943151
서울특별시 강북구 수유동468-26,37.6316920306602,127.015274454876
서울특별시 강남구 논현동191-4,37.5085948465827,127.032617241237
서울특별시 강서구 등촌동517-16,37.5460681704742,126.859540321217
서울특별시 강서구 화곡동408-54,37.5369951362186,126.84549026893
서울특별시 강서구 화곡동424-30,37.5311245745563,126.841599599989
서울특별시 강남구 논현동250,37.5134109166472,127.03646336724
서울특별시 강남구 대치동909-9,37.5009069376781,127.053405776023
서울특별시 강서구 등촌동643-47,37.5549363017775,126.859355356326
서울특별시 강북구 번동148-32,37.6270737990913,127.037993990264
서울특별시 강북구 번동415-39,37.636891574499,127.027708355591
서울특별시 강북구 미아동258-99,37.6267597515784,127.032110659236
서울특별시 강남구 삼성동98-12,37.5174913220753,127.063569255129
서울특별시 강북구 미아동258-207,37.6235440369076,127.032628318374
서울특별시 강북구 미아동258-220,37.6229065272412,127.033104056989
서울특별시 강북구 우이동115-55,37.6581207953384,127.011324850292
서울특별시 강서구 내발산동689-10,37.5523966681807,126.830733378065
서울특별시 강북구 미아동137-14,37.6191138404099,127.030679487537
서울특별시 강서구 내발산동710-38,37.550901574801,126.833567094794
서울특별시 강서구 화곡동367-28,37.5371397007662,126.840572987584
서울특별시 강동구 암사동485-31,37.5497948576798,127.134258481403
서울특별시 강북구 번동148-107,37.6275930112968,127.036535527327
서울특별시 강동구 천호동167-160,37.5393302605892,127.132759481357
