지역코드,건물명,주소,층,거래일,거래금액,면적,건축년도,평,보증금,월세
11530,비즈트위트 레인보우, 구로동 44-5,15층,2020 2 21,"1,000/50",19.61,2012,5.9,"1,000",50
11530,신도림포스빌, 구로동 26,20층,2020 2 21,"1,000/60",28.52,2004,8.6,"1,000",60
11530,비즈트위트 블루, 구로동 107-4,14층,2020 2 22,"3,000/40",18.67,2012,5.6,"3,000",40
11590,태영 오피스텔, 노량진동 56-11,6층,2020 2 4,"1,000/55",14.45,2015,4.4,"1,000",55
11590,메가스터디타워, 노량진동 57-1,10층,2020 2 5,"1,000/70",19.28,2015,5.8,"1,000",70
11590,메가스터디타워, 노량진동 57-1,13층,2020 2 7,"2,000/63",19.28,2015,5.8,"2,000",63
11590,메가스터디타워, 노량진동 57-1,10층,2020 2 8,"1,000/67",20.26,2015,6.1,"1,000",67
11590,메가스터디타워, 노량진동 57-1,19층,2020 2 9,"2,500/82",25.52,2015,7.7,"2,500",82
11590,태영 오피스텔, 노량진동 56-11,6층,2020 2 15,"1,000/55",14.45,2015,4.4,"1,000",55
11590,메가스터디타워, 노량진동 57-1,13층,2020 2 15,"1,000/67",19.28,2015,5.8,"1,000",67
11590,메가스터디타워, 노량진동 57-1,14층,2020 2 18,"2,000/100",41.89,2015,12.7,"2,000",100
11590,메가스터디타워, 노량진동 57-1,10층,2020 2 22,"2,000/65",19.28,2015,5.8,"2,000",65
11590,아카데미하우스, 상도동 183-15,4층,2020 2 1,"5,000/0",13.86,2003,4.2,"5,000",0
11590,그린시티, 상도동 183-28,5층,2020 2 8,"19,000/0",21.87,2018,6.6,"19,000",0
11590,아카데미하우스, 상도동 183-15,3층,2020 2 13,"6,000/0",13.86,2003,4.2,"6,000",0
11590,이수오피스텔, 사당동 1007-29,6층,2020 2 1,"6,500/10",12.75,2002,3.9,"6,500",10
11590,	(142-1)	, 사당동 142-1,4층,2020 2 9,"1,000/60",18.81,2012,5.7,"1,000",60
11590,남성오피스텔, 사당동 212-1,4층,2020 2 19,"2,000/35",15.98,2002,4.8,"2,000",35
