가게,주소,도로명주소,경도,위도
크린토피아 코인워시 성신여대점,동선동2가 185,서울 성북구 보문로30나길 2 1층,127.0203192,37.58941396
크린토피아 코인워시 사당두성점,사당동 120-1,서울 동작구 동작대로29길 69 110호,126.9780937,37.4884403
크린토피아 코인워시365 대흥역점,대흥동 330-2,서울 마포구 독막로38길 22 105-107호,126.9409499,37.54556098
크린토피아 코인워시 응암점,응암동 124-29,서울 은평구 응암로21가길 12 1층,126.917437,37.59478702
크린토피아 코인워시 성산시장점,망원동 517,서울 마포구 월드컵로25길 26 영화블렌하임 1층,126.906357,37.55854818
크린토피아 코인워시 잠실본동점,잠실동 312-18,서울 송파구 백제고분로12길 7,127.081113,37.50549864
크린토피아 코인워시 당산공원점,당산동3가 558-3,서울 영등포구 선유동1로 50 원일빌딩 102호,126.8932343,37.52651855
크린토피아 코인워시 중랑제일시장점,묵동 250-13,서울 중랑구 중랑역로 142,127.077072,37.60613517
크린토피아 코인워시 금천롯데캐슬점,독산동 1156,서울 금천구 시흥대로 315 지하1층,126.896258,37.46098065
크린토피아 코인워시 송파1동점,송파동 112-14,서울 송파구 백제고분로42길 15 1층,127.1103056,37.5052617
크린토피아 코인워시365 상도스위트점,상도동 351-5,서울 동작구 상도로15길 23,126.9333507,37.50194931
크린토피아 코인워시 성북장위동점,장위동 237-143,서울 성북구 돌곶이로 171,127.0499735,37.61617598
크린토피아 코인워시 쌍문중앙점,창동 658-2,서울 도봉구 도봉로110나길 62 1층,127.0359207,37.64866723
크린토피아 코인워시365 석계역점,석관동 130-22,서울 성북구 한천로80길 46,127.0643668,37.6126469
크린토피아 코인워시 GS신길주유소점,신길동 3632-2,서울 영등포구 신길로 74,126.9088533,37.49906701
크린토피아 코인워시 사당역점,사당동 1037-11,서울 동작구 사당로26길 130-3,126.9780409,37.47794684
크린토피아 코인워시365 이촌2동점,이촌동 203-52,서울 용산구 이촌로18길 21 101동 1302호,126.9548016,37.52594148
크린토피아 코인워시 삼전배명점,삼전동 165-18,서울 송파구 백제고분로32길 20 1층,127.0948548,37.50075472
크린토피아 코인워시 강북구청점,수유동 192-10,서울 강북구 한천로139나길 11,127.0248264,37.63936618
크린토피아 코인워시 마포보건소점,성산동 590-2,서울 마포구 월드컵로36길 18 삼라마이다스 1층,126.9032965,37.56626131
크린토피아 코인워시 화곡6동점,화곡동 975-31,서울 강서구 화곡로50길 16 1층,126.8486763,37.54940836
크린토피아 코인워시 합정역점,합정동 370-26,서울 마포구 성지길 49 1층,126.9130681,37.54650274
크린토피아 코인워시 숭실대역점,상도동 493-5,서울 동작구 상도로62길 13,126.9538037,37.49488078
크린토피아 코인워시 화곡보람점,화곡동 98-101,서울 강서구 까치산로4길 36 1층,126.8450043,37.54121387
크린토피아 코인워시 성북장위루첸점,장위동 317,서울 성북구 월계로36길 27,127.0463164,37.6214352
크린토피아 코인워시 마들점,상계동 649,서울 노원구 동일로 1538 12단지종합상가 지하2호,127.0578983,37.66581839
크린토피아 코인워시 왕십리텐즈힐점,하왕십리동 1066,서울 성동구 무학로 33 텐즈힐 117동 B108호,127.0272825,37.56771895
크린토피아 코인워시365 성북종암동점,종암동 3-377,서울 성북구 월곡로 58,127.0394685,37.59749142
크린토피아 코인워시 서초상문고점,서초동 1487-132,서울 서초구 명달로 32 유니빌 102호,127.0057467,37.48046505
크린토피아 코인워시 강서점,화곡동 773-2,서울 강서구 곰달래로59길 67 1층,126.8626804,37.53538286
크린토피아 코인워시 방화신안점,방화동 553-30,서울 강서구 양천로14길 52 신성미술학원 105호,126.8094391,37.57097298
크린토피아 코인워시 송파삼전호수점,삼전동 113-8,"서울 송파구 백제고분로31길 31 104,105호",127.0955448,37.50546741
크린토피아 코인워시 난향점,신림동 1735-9,서울 관악구 난곡로 42 파크프라자 103호,126.920648,37.46058451
크린토피아 코인워시 돈암초교점,동소문동4가 222,서울 성북구 동소문로13길 21 1층,127.0122847,37.59267571
크린토피아 코인워시 방학점,방학동 263-75,서울 도봉구 도당로 36 재인상가 101호,127.0350038,37.66127261
크린토피아 코인워시 마포구청역점,성산동 261-28,서울 마포구 성미산로1길 66 1층,126.9068778,37.56070253
크린토피아 코인워시 쌍문점,쌍문동 306-9,서울 도봉구 노해로41길 22 1층,127.0262189,37.64976448
크린토피아 코인워시 목사랑점,,서울 양천구 목동 725-5,126.9937921,37.42425824
크린토피아 코인워시 방배롯데캐슬점,방배동 457-33,서울 서초구 청두곶9길 22 1층,126.9841641,37.481156
크린토피아 코인워시 독립문현대점,무악동 82,서울 종로구 통일로 246-10 무악현대프라자 1층 106호,126.9590975,37.57435321
크린토피아 코인워시 문정로데오점,문정동 28-17,서울 송파구 송이로28길 20 1층,127.1254229,37.48969567
크린토피아 코인워시 서울숲힐스테이트점,성수동1가 33-5,서울 성동구 뚝섬로5길 11 1층,127.0506392,37.5411133
크린토피아 코인워시 내방역점,방배동 850-25,서울 서초구 서초대로25길 40,126.9934942,37.48957665
크린토피아 코인워시 상계7단지점,상계동 581-51,서울 노원구 상계로1길 62-40 1층,127.0623012,37.65880656
크린토피아 코인워시 강동구청점,성내동 542-5,서울 강동구 성내로 73 한양수자인A 정문 대로변,127.1282653,37.52775662
크린토피아 코인워시 방배3동점,방배동 1020-9,서울 서초구 효령로34길 62,127.0006312,37.47899858
크린토피아 코인워시 문정엠스테이트점,문정동 337-1,서울 송파구 법원로 114 엠스테이트오피스텔 지하1층 E-B152호,127.1210217,37.48606832
크린토피아 코인워시 송파장지점,문정동 99-7,서울 송파구 새말로 154 1층,127.1306109,37.48439224
크린토피아 코인워시 강서마곡벨리오점,마곡동 727-1229,서울 강서구 강서로 439 벨리오 110호,126.8398027,37.56479489
크린토피아 코인워시 마곡역점,마곡동 727-1084,서울 강서구 마곡중앙6로 10 센트럴푸르지오시티 1층 118호,126.8282606,37.56040591
크린토피아 코인워시365 청담경원점,청담동 5,서울 강남구 도산대로 446 경원하이츠텔 1층,127.0450526,37.52359323
크린토피아 코인워시 송파고분로점,석촌동 215-14,서울 송파구 백제고분로34길 20,127.0986499,37.50077011
크린토피아 코인워시365 독산제일점,,서울 금천구 독산동 1016-22 1층,126.9937921,37.42425824
크린토피아 코인워시 강동둔촌역점,성내동 427-51,서울 강동구 풍성로54길 41 1층,127.1333621,37.52771476
크린토피아 코인워시 당산삼성점,당산동 121-41,서울 영등포구 버드나루로22길 5 강변한솔그라치아 1층 크린토피아 당산삼성점,126.9075929,37.53095183
크린토피아 코인워시 강서송정역점,공항동 53-62,서울 강서구 공항대로4길 23 1층,126.8106472,37.56010406
크린토피아 코인워시365 동대문전농배봉초교점,전농동 4-3,서울 동대문구 한천로39길 27,127.0667155,37.57822902
크린토피아 코인워시 송파오금공원점,오금동 72-6,서울 송파구 마천로 144,127.1353067,37.50435605
크린토피아 코인워시365 노원인덕대점,월계동 274-50,서울 노원구 초안산로2라길 23,127.0578137,37.63137627
크린토피아 코인워시 신림문화의거리점,신림동 1457-19,서울 관악구 신림동길 42 101호,126.9241648,37.48686646
크린토피아 코인워시 목2동주민센터점,목동 555-2,서울 양천구 목동중앙본로 88-1 윤순빌딩 1층,126.8704734,37.54353819
크린토피아 코인워시 수유역점,수유동 169-5,서울 강북구 도봉로97길 26 1층,127.0281916,37.64235607
크린토피아 코인워시 마곡나루역점,마곡동 282-1,서울 강서구 마곡중앙로 161-1 마곡나루역캐슬파크 131호,126.8274571,37.56789063
크린토피아 코인워시 영등포양평역점,양평동3가 17-1,서울 영등포구 양산로7길 3 1층 106호,126.8871576,37.52581319
크린토피아 코인워시 남가좌파크뷰자이점,남가좌동 384,서울 서대문구 가재울미래로 2 202동상가 105호,126.9162593,37.57483858
크린토피아 코인워시365 강북미아해링턴점,미아동 1369,서울 강북구 오현로 45 꿈의숲해링턴플레이스상가동 2-10B호,127.033597,37.62005449
크린토피아 코인워시 신월4점,신월동 513-5,서울 양천구 월정로 14,126.8438656,37.52127846
크린토피아 코인워시 강서등촌주민센터점,등촌동 641-12,서울 강서구 양천로60길 60 이수빌딩  1층,126.8577122,37.55631441
크린토피아 코인워시 수락파르코점,상계동 1267,서울 노원구 동일로 1700 토마토파르코 205호,127.0558296,37.68018911
크린토피아 코인워시 송파방이시장점,방이동 111-10,서울 송파구 오금로19길 17 1층,127.1139493,37.51128899
크린토피아 코인워시365 남가좌래미안1차점,북가좌동 286-18,서울 서대문구 증가로 201 1층,126.915914,37.57997076
크린토피아 코인워시 강북우이시장점,수유동 254-4,서울 강북구 한천로160길 9 1층,127.0202755,37.64532051
크린토피아 코인워시365 롯데수퍼홍제점,홍제동 469,서울 서대문구 통일로 397,126.9474163,37.58518188
크린토피아 코인워시 송파마천공원점,마천동 19-14,서울 송파구 마천로33길 11-14,127.1446571,37.50112309
크린토피아 코인워시 마포애오개역점,아현동 733,서울 마포구 마포대로 208 효성인텔리안오피스텔 1층,126.956846,37.55251354
크린토피아 코인워시365 도봉신화초교점,창동 504-16,서울 도봉구 우이천로4라길 37 1층,127.0423286,37.63249085
크린토피아 코인워시 서초푸르지오써밋점,서초동 1311-7,서울 서초구 서운로 207 서초삼호종합상가 1층,127.0217532,37.50151997
크린토피아 코인워시 수유벽산점,수유동 208-80,서울 강북구 삼양로112길 29 1층,127.0178838,37.64276568
크린토피아 코인워시 이수극동점,사당동 105,서울 동작구 동작대로29길 119 극동아파트 106동 17번18번,126.973739,37.49176066
크린토피아 코인워시 개롱역점,가락동 170-10,서울 송파구 오금로42길 7,127.1345126,37.49729243
크린토피아 코인워시 강서마곡6단지점,마곡동 743,서울 강서구 마곡서1로 100 601동 상가 1층,126.8201689,37.56465052
크린토피아 코인워시365 수유1동주민센터점,수유동 605-646,서울 강북구 삼양로77길 20,127.0169782,37.63000347
크린토피아 코인워시 목동시장점,목동 718-2,서울 양천구 목동중앙남로 72 공덕빌라 1층 104호,126.8658331,37.54010098
크린토피아 코인워시 목3동주민센터점,목동 646-12,서울 양천구 목동중앙북로8길 64,126.8649619,37.54583333
크린토피아 코인워시 방학초교점,방학동 304-30,서울 도봉구 도당로9길 46,127.0320238,37.66296847
크린토피아 코인워시365 덕성여대점,쌍문동 492-23,서울 도봉구 우이천로 481-1 덕성블루빌 1층,127.0154964,37.6560919
크린토피아 코인워시365 신창초교점,창동 537-15,서울 도봉구 우이천로12길 29,127.039725,37.63627153
크린토피아 코인워시 방학동도깨비시장점,방학동 634-34,서울 도봉구 도당로15길 27 1층,127.0359664,37.66659412
크린토피아 코인워시365 신정대림아크로빌점,신정동 324-8,서울 양천구 목동서로 397 대림아크로빌 B동 126호,126.8601143,37.51558478
크린토피아 코인워시 서초GS자이점,서초동 1442-1,서울 서초구 서초중앙로2길 84,127.0211871,37.48540009
크린토피아 코인워시365 자곡더미라클점,자곡동 634,서울 강남구 자곡로 108 지하1층 104호,127.0953656,37.4720008
크린토피아 코인워시 노원상계푸르지오점,상계동 140-147,서울 노원구 수락산로 17-1,127.0739105,37.66452901
크린토피아 코인워시365 화곡신정점,화곡동 818-12,서울 강서구 등촌로13바길 37 1층,126.8578072,37.53599957
크린토피아 코인워시 구로항동한양수자인점,,서울 구로구 항동 158-1 수자인 근린생활시설 1층 10호,126.9937921,37.42425824
크린토피아 코인워시 신길센트럴자이점,신길동 337-214,서울 영등포구 신길로29길 17 108동상가 1층 A104호,126.9070393,37.50216617
크린토피아 코인워시365 등촌진로아파트점,등촌동 663-3,서울 강서구 화곡로63길 133 1층,126.8456482,37.55883514
크린토피아 코인워시365 신촌그랑자이점,,서울 마포구 대흥동 17-5 신촌그랑자이 단지내 상가 4동102호,126.9937921,37.42425824
코인워시24빨래터 연희점,연희동 353-76,서울 서대문구 연희로4길 9,126.9279353,37.56171347
크린토피아 코인워시365 경성고교점,성산동 210-1,서울 마포구 성미산로11길 32 1층,126.9163937,37.56194506
크린토피아 코인워시365 대치4동주민센터점,대치동 915-22,서울 강남구 역삼로78길 23 1층 101호,127.0575839,37.50097385
크린토피아 코인워시 봉천중앙시장점,봉천동 32-2,서울 관악구 관악로 211 1층,126.9544684,37.48418521
크린토피아 코인워시 홈플러스EX마포용강점,용강동 122-16,서울 마포구 토정로32길 4,126.941275,37.5410757
크린토피아 코인워시 개봉한진아파트점,,서울 구로구 개봉동 357-18,126.9937921,37.42425824
셀프 코인 빨래방,도림동 206-4,서울 영등포구 도영로 45-1,126.8977956,37.51001849
크린토피아 코인워시365 마포건영월드컵점,성산동 600,서울 마포구 성암로1길 12,126.9123973,37.56808928
크린토피아 코인워시 목동강서고교점,목동 772-4,서울 양천구 목동중앙남로 7 1층,126.8690395,37.5350934
크린토피아 코인워시 홈플러스목동점,목동 919-7,서울 양천구 목동서로 170 2층 1호,126.8733039,37.53024888
크린토피아 코인워시 자곡푸르지오시티점,자곡동 600,서울 강남구 자곡로 191 푸르지오 1차 13-1호,127.1035828,37.47487037
크린토피아 코인워시 관악드림타운점,봉천동 480-3,서울 관악구 은천로25길 69 에이플러스프라자 1층 112호,126.9483989,37.48907372
크린토피아 코인워시 성북정릉청수점,정릉동 992-21,서울 성북구 보국문로 169,127.0023642,37.61702623
크린토피아 코인워시 송파파크하비오점,문정동 618,서울 송파구 송파대로 111 205동 104호,127.1226892,37.48148791
크린토피아 코인워시365 오류삼거리점,,서울 구로구 오류동 6-63 1층 101호,126.9937921,37.42425824
크린토피아 코인워시 염창한마음점,,서울 강서구 염창동 242-10 여명로얄페밀리 1층,126.9937921,37.42425824
크린토피아 코인워시 상계노원초교점,상계동 1019-22,서울 노원구 동일로232길 11 102호,127.0565165,37.67282166
코인워시24빨래터 창신점,창신동 647-16,서울 종로구 창신길 47,127.0104521,37.57375907
코인세탁,도봉동 631-21,서울 도봉구 마들로 732,127.0478219,37.6752148
크린토피아 코인워시 서초우면하나로마트점,우면동 763,서울 서초구 양재대로2길 116-19 농협하나로마트 2층 205호,127.0159854,37.45687406
크린토피아 코인워시 북아현이편한세상신촌점,북아현동 220-2,서울 서대문구 신촌로29길 26,126.9529735,37.55766952
크린토피아 코인워시 강서마곡11단지점,마곡동 730-431,서울 강서구 공항대로 124 11단지 상가,126.8207843,37.55985577
크린토피아 코인워시365 강서방화점,,서울 강서구 방화동 280-1 마곡라테라스 1층,126.9937921,37.42425824
크린토피아 코인워시365 방배아이파크점,방배동 789-46,서울 서초구 동광로 23 1층,126.9855605,37.49104366
크린토피아 코인워시365 노원초교점,,서울 노원구 상계동 1019-22 102호,126.9937921,37.42425824
크린토피아 코인워시 화곡초록마을점,,서울 강서구 화곡동 332-12 101호,126.9937921,37.42425824
크린토피아 코인워시365 상계주공11단지점,상계동 652-1,서울 노원구 동일로227길 43 상가1층,127.0545226,37.66695165
