가게,주소,도로명주소,경도,위도,입지요건
스타벅스 종암점,종암동 3-686,서울 성북구 종암로 122,127.03393659999999,37.60120195,스타벅스
스타벅스 당산점,당산동6가 338-11,서울 영등포구 양평로 64 1층,126.89997530000001,37.53514159,스타벅스
스타벅스 천호역점,성내동 62-4,서울 강동구 천호대로 1012 태승빌딩 1층,127.1243692,37.53788355,스타벅스
스타벅스 수유역점,번동 418-20,서울 강북구 도봉로 342,127.0261256,37.63803283,스타벅스
스타벅스 논현역사거리점,논현동 142-2,서울 강남구 강남대로 538,127.02226780000001,37.51022086,스타벅스
스타벅스 삼성역섬유센터R점,대치동 944-31,서울 강남구 테헤란로 518,127.0605742,37.5075898,스타벅스
스타벅스 여의도KBS R점,여의도동 17-9,서울 영등포구 의사당대로 26,126.91810670000001,37.52653714,스타벅스
스타벅스 강동역점,천호동 447-17,서울 강동구 천호대로 1089,127.13358810000001,37.53675867,스타벅스
스타벅스 서교동사거리,서교동 374-20,서울 마포구 양화로 105,126.91857240000002,37.5534125,스타벅스
스타벅스 여의도공원R점,여의도동 12,서울 영등포구 여의공원로 101,126.9249611,37.52929755,스타벅스
스타벅스 중랑역점,상봉동 130-3,서울 중랑구 망우로30길 3,127.07475659999999,37.59306852,스타벅스
스타벅스 올림픽공원북문점,성내동 468,서울 강동구 강동대로 171 스타벅스,127.1259439,37.5254523,스타벅스
스타벅스 영동2교점,양재동 4-3,서울 서초구 논현로 139 대흥빌딩,127.0426085,37.48199677,스타벅스
스타벅스 창동이마트점,창동 75-3,서울 도봉구 노해로65길 4,127.0474655,37.65198283,스타벅스
스타벅스 갤러리아팰리스점,잠실동 40,서울 송파구 올림픽로 212 갤리러아팰리스 1층,127.09355159999998,37.51138395,스타벅스
스타벅스 가락시장역점,가락동 79,서울 송파구 중대로 121 롯데캐슬 파인힐1층,127.1214048,37.49434787,스타벅스
스타벅스 광나루,광장동 329-1,서울 광진구 아차산로 607,127.1060155,37.54735771,스타벅스
스타벅스 마포아크로점,도화동 563,서울 마포구 마포대로 68 마포 아크로타워 118호,126.94888600000002,37.54133388,스타벅스
스타벅스 숭실대점,상도동 501-9,서울 동작구 사당로 4,126.95484599999999,37.49540078,스타벅스
스타벅스 학여울역점,대치동 994-10,서울 강남구 영동대로 215,127.0685123,37.49799741,스타벅스
스타벅스 남부터미널2점,서초동 1457-1,서울 서초구 효령로 274,127.0142134,37.48439387,스타벅스
스타벅스 국립중앙의료원점,을지로6가 18-131,서울 중구 을지로 251,127.0062514,37.56655498,스타벅스
스타벅스 우장산역점,내발산동 719-6,"서울 강서구 강서로 267 송화쇼핑센터 1층,지하층",126.83594120000001,37.54960009,스타벅스
스타벅스 내방역점,방배동 851-1,서울 서초구 방배로 184 1~2층,126.9924669,37.49001411,스타벅스
스타벅스 미아역점,미아동 121-19,서울 강북구 도봉로 196 1층,127.0265518,37.62613951,스타벅스
스타벅스 한성대입구역점,성북동1가 35-1,서울 성북구 성북로 11,127.00493190000002,37.58905017,스타벅스
스타벅스 여의도호성점,여의도동 44-22,서울 영등포구 여의대방로65길 24 호성빌딩1층,126.9292942,37.52044195,스타벅스
스타벅스 구로디지털로점,구로동 191-7,서울 구로구 디지털로33길 11 에이스테크노타워 8차 1층,126.89551159999999,37.48570493,스타벅스
스타벅스 은행사거리점,중계동 360-6,"서울 노원구 중계로 217 중흥빌딩 103,203호",127.0759914,37.65050261,스타벅스
스타벅스 선유도역점,양평동4가 98-5,서울 영등포구 양평로 115,126.8946072,37.53730956,스타벅스
스타벅스 스탈릿대치R점,대치동 599,서울 강남구 남부순환로 2947 대원빌딩,127.06266770000002,37.49457607,스타벅스
스타벅스 강남대로논현R점,반포동 736-2,서울 서초구 강남대로85길 5,127.0225949,37.50736613,스타벅스
스타벅스 을지로4가역점,을지로4가 323,"서울 중구 을지로 170 118,119호,202호",126.9973193,37.56613501,스타벅스
스타벅스 자양점,자양동 507-36,서울 광진구 능동로 50 이튼타워리버2차 상가 108호,127.06915520000001,37.53567927,스타벅스
스타벅스 서울교대점,서초동 1623-1,서울 서초구 서초중앙로 64 1층,127.0151741,37.48743698,스타벅스
스타벅스 송파아이파크,문정동 624,서울 송파구 법원로 55,127.12195729999999,37.47986017,스타벅스
스타벅스 삼청동점,삼청동 112,서울 종로구 삼청로 111-1 1층,126.9817896,37.58538405,스타벅스
스타벅스 양천향교역점,마곡동 727-26,서울 강서구 강서로 463,126.8403852,37.566944899999996,스타벅스
스타벅스 교대점,서초동 1657-5,서울 서초구 서초중앙로 118 KAIS빌딩,127.01423340000001,37.49239081,스타벅스
스타벅스 상암MBC점,상암동 1603,서울 마포구 성암로 267 MBC신사옥 C1 경영센터,126.8910127,37.58115806,스타벅스
스타벅스 서초법원,서초동 1572-5,서울 서초구 서초대로 274,127.0118967,37.49282258,스타벅스
스타벅스 압구정역점,신사동 580-2,"서울 강남구 압구정로 170 관영빌딩 지하1층, 1층",127.02810649999999,37.52675865,스타벅스
스타벅스 광운대점,월계동 410-1,서울 노원구 석계로 104,127.06074299999999,37.62318466,스타벅스
스타벅스 방배다이치빌딩점,방배동 907-1,서울 서초구 방배로 114,126.99609109999999,37.48433915,스타벅스
스타벅스 논현역점,잠원동 37-7,서울 서초구 강남대로 557,127.0206611,37.5115414,스타벅스
스타벅스 이촌점,이촌동 300-20,서울 용산구 이촌로 276,126.9772854,37.5186446,스타벅스
스타벅스 신당역점,흥인동 132,서울 중구 퇴계로 385 1층,127.01435459999999,37.56539994,스타벅스
스타벅스 올림픽대교북단,구의동 200-2,서울 광진구 광나루로 608,127.0952713,37.54115545,스타벅스
스타벅스 상왕십리역점,하왕십리동 1070-3,서울 성동구 왕십리로 382,127.02803759999999,37.56510996,스타벅스
스타벅스 신당역사거리점,흥인동 86,서울 중구 다산로 258,127.01662379999999,37.56579483,스타벅스
스타벅스 압구정,신사동 609,서울 강남구 압구정로30길 17,127.02956999999999,37.52632323,스타벅스
스타벅스 이수자이점,사당동 147-29,서울 동작구 사당로 300,126.98028240000001,37.48438038,스타벅스
스타벅스 서울대역,봉천동 861-6,서울 관악구 남부순환로 1817,126.95213759999999,37.48163742,스타벅스
스타벅스 올림픽평화의문점,방이동 180-13,서울 송파구 위례성대로 38,127.11649950000002,37.51568922,스타벅스
스타벅스 신촌역점,창천동 72-12,서울 서대문구 신촌로 73,126.9345183,37.55630725,스타벅스
스타벅스 을지병원사거리점,논현동 59-8,서울 강남구 논현로 752,127.0286456,37.51915855,스타벅스
스타벅스 코엑스몰점,삼성동 159,서울 강남구 영동대로 513 뉴코엑스몰 103호,127.0591223,37.51186417,스타벅스
스타벅스 도산가로수길점,논현동 5,서울 강남구 도산대로 134 2층,127.0233396,37.51735709,스타벅스
스타벅스 가산디지털점,가산동 371-28,서울 금천구 가산디지털1로 168 우림라이온스벨리 B동 1층,126.8826869,37.47999019,스타벅스
스타벅스 차병원사거리점,논현동 235-11,서울 강남구 봉은사로 213,127.035366,37.50805076,스타벅스
스타벅스 목동오목로점,목동 406-4,서울 양천구 오목로 279,126.8683649,37.52594217,스타벅스
스타벅스 명동길점,충무로2가 7-1,서울 중구 명동10길 41,126.9858688,37.56206378,스타벅스
스타벅스 서울역서부점,서계동 219-17,서울 용산구 만리재로 202 풍림아이원 1층,126.9684644,37.55493065,스타벅스
스타벅스 남성역점,사당동 252-15,서울 동작구 사당로 219,126.9726606,37.484160700000004,스타벅스
스타벅스 외대정문점,이문동 329-1,서울 동대문구 이문로 93,127.05922930000001,37.59538071,스타벅스
스타벅스 신촌명물거리점,창천동 13-19,서울 서대문구 명물길 24 1~5층,126.9381375,37.55780259,스타벅스
스타벅스 방배로점,방배동 1022-5,서울 서초구 방배로 52,126.99942649999998,37.47934719,스타벅스
스타벅스 대학로점,연건동 128-8,서울 종로구 대학로 57 홍익대학교 대학로캠퍼스 1층,127.00129650000001,37.57656075,스타벅스
스타벅스 강남교보타워R점,서초동 1303-22,서울 서초구 강남대로 465 1층,127.02412079999999,37.50374226,스타벅스
스타벅스 보라매대교점,봉천동 729-21,서울 관악구 보라매로3길 23 대교눈높이보라매 센터 1층,126.92553649999999,37.49104382,스타벅스
스타벅스 동대문두타점,을지로6가 18-12,서울 중구 장충단로 275,127.0087243,37.56885874,스타벅스
스타벅스 시청플러스점,을지로1가 50,서울 중구 을지로 19 삼성화재삼성빌딩 1층,126.97995790000002,37.56631168,스타벅스
스타벅스 역삼초교사거리점,역삼동 830-71,서울 강남구 역삼로 123,127.03301509999999,37.49416192,스타벅스
스타벅스 강남GT타워점,서초동 1317-25,서울 서초구 서초대로 411 GT타워,127.0259235,37.49810707,스타벅스
스타벅스 서초구청점,서초동 1365-23,서울 서초구 남부순환로 2557,127.0300592,37.4844424,스타벅스
스타벅스 국회의사당역,여의도동 17-3,서울 영등포구 의사당대로 8,126.91689509999999,37.52787083,스타벅스
스타벅스 중구저동점,저동2가 24-1,서울 중구 수표로 34,126.99036070000001,37.56436626,스타벅스
스타벅스 굽은다리역점,명일동 353-2,서울 강동구 양재대로 1568,127.14321770000001,37.54542052,스타벅스
스타벅스 서초우성사거리점,서초동 1329-7,서울 서초구 강남대로 343,127.02923020000001,37.49352075,스타벅스
스타벅스 강남대로신사점,잠원동 21-7,서울 서초구 강남대로 595,127.019544,37.5148593,스타벅스
스타벅스 미아점,하월곡동 89-7,서울 성북구 동소문로 314,127.0293207,37.60762257,스타벅스
스타벅스 자양사거리,자양동 779-5,서울 광진구 아차산로 355 타워 더 모스트 아크로텔 1층,127.0826244,37.53734003,스타벅스
스타벅스 문화일보점,충정로1가 68,"서울 중구 새문안로 22 문화일보 1, 2층",126.96862859999999,37.56712402,스타벅스
스타벅스 경희대점,회기동 16-41,서울 동대문구 경희대로 16-1,127.0528692,37.59290243,스타벅스
스타벅스 명일이마트점,명일동 47-7,서울 강동구 동남로75길 5 명일이마트별관 주차장,127.15599979999999,37.55400232,스타벅스
스타벅스 삼성교점,대치동 1001-8,서울 강남구 영동대로86길 12 동남유화빌딩1층,127.0651882,37.50782316,스타벅스
스타벅스 묵동점,묵동 169-12,서울 중랑구 동일로 952 로프트원오피스텔 1층,127.0768883,37.61535994,스타벅스
스타벅스 강남구청정문점,청담동 44-12,서울 강남구 학동로 419,127.04597679999999,37.5183054,스타벅스
스타벅스 금천구청역점,시흥동 1031,서울 금천구 시흥대로73길 67 엠타워 112~115호,126.89567620000001,37.45593459,스타벅스
스타벅스 잠실푸르지오월드점,신천동 11-4,서울 송파구 올림픽로35가길 9,127.1033414,37.51744424,스타벅스
스타벅스 독립문역점,교북동 126,서울 종로구 송월길 155,126.961547,37.5713895,스타벅스
스타벅스 현대디큐브2F점,신도림동 692,서울 구로구 경인로 662,126.88820790000001,37.5081329,스타벅스
스타벅스 현대디큐브B2점,신도림동 692,서울 구로구 경인로 662 지하2층,126.88820790000001,37.5081329,스타벅스
스타벅스 서울세관사거리점,논현동 238-5,서울 강남구 언주로 650 한국건설기술인협회,127.0357679,37.51492317,스타벅스
스타벅스 연세세브란스점,남대문로5가 84-11,서울 중구 통일로 10,126.97363390000001,37.55709637,스타벅스
스타벅스 서초역이화빌딩점,서초동 1538-10,서울 서초구 반포대로21길 3,127.0090295,37.48829824,스타벅스
스타벅스 연세종합관점,대신동 5,서울 서대문구 연세로 50-1 연세세브란스 종합관,126.94084129999999,37.56238424,스타벅스
스타벅스 남영동,갈월동 90-8,서울 용산구 한강대로 275,126.972255,37.54287092,스타벅스
스타벅스 아크로힐스논현점,역삼동 681,"서울 강남구 봉은사로 304 금강빌딩 1,2층",127.0402987,37.50898789,스타벅스
스타벅스 신림점,신림동 1432-71,서울 관악구 신림로 355-1,126.92916840000001,37.48610078,스타벅스
스타벅스 하이브랜드점,양재동 215,서울 서초구 매헌로 16 하이브랜드 리빙관 101호,127.0370138,37.46352034,스타벅스
스타벅스 마포경찰서후문점,아현동 618-19,서울 마포구 마포대로 173-14,126.95364099999999,37.55100634,스타벅스
스타벅스 강남에비뉴점,서초동 1303-16,서울 서초구 서초대로77길 62 강남역아이파크 1층 B102~B105호,127.02391589999999,37.50272056,스타벅스
스타벅스 숙대점,청파동3가 111-35,서울 용산구 청파로47길 57 1~3층,126.96722659999999,37.54466716,스타벅스
스타벅스 주얼리시티점,인의동 48-2,서울 종로구 종로 183 주얼리시티 1층,126.99832009999999,37.57144336,스타벅스
스타벅스 마포일진빌딩점,도화동 50-1,서울 마포구 마포대로 45 일진빌딩 1층,126.94637320000001,37.54047377,스타벅스
스타벅스 아크플레이스점,역삼동 736-1,서울 강남구 테헤란로 142,127.03495459999999,37.49974407,스타벅스
스타벅스 종로관수점,관수동 3-5,서울 종로구 삼일대로20길 13,126.98866890000001,37.56975138,스타벅스
스타벅스 서울아트센터점,서초동 1464-22,서울 서초구 남부순환로 2395 호경빌딩 1층,127.01237009999998,37.48065883,스타벅스
스타벅스 샛강역점,여의도동 55-2,서울 영등포구 여의대방로 376,126.9313511,37.51819211,스타벅스
스타벅스 발산역사거리점,마곡동 728-15,서울 강서구 공항대로 248,126.834901,37.55840266,스타벅스
스타벅스 북촌로점,계동 101-14,서울 종로구 북촌로4길 23 1층~3층,126.98647460000001,37.57944905,스타벅스
스타벅스 명동입구점,명동2가 85-6,서울 중구 남대문로 68-1,126.9822767,37.56323866,스타벅스
스타벅스 월곡역점,하월곡동 46-73,서울 성북구 화랑로 76 1층 101-1호,127.040567,37.60175341,스타벅스
스타벅스 구파발사거리점,진관동 65,서울 은평구 진관3로 21,126.9188922,37.63948352,스타벅스
스타벅스 천호이마트점,천호동 455-4,서울 강동구 천호대로 1015-14,127.1252162,37.53897492,스타벅스
스타벅스 구역삼사거리점,역삼동 747-21,서울 강남구 논현로 401,127.03891440000001,37.49592937,스타벅스
스타벅스 국기원사거리점,역삼동 648-22,서울 강남구 테헤란로 125,127.0316841,37.49960105,스타벅스
스타벅스 남부터미널점,서초동 1445-4,서울 서초구 서초중앙로 26 서초동 삼성 래미안 아파트 유니빌1층,127.01700179999999,37.48467334,스타벅스
스타벅스 가산에스케이점,가산동 371-41,서울 금천구 가산디지털1로 171,126.88069140000002,37.48076765,스타벅스
스타벅스 삼성현대힐점,삼성동 51,서울 강남구 삼성로 605,127.05271609999998,37.51348585,스타벅스
스타벅스 청계산입구역,신원동 203-5,서울 서초구 청계산로 203,127.05636609999999,37.44734017,스타벅스
스타벅스 여의도화재보험점,여의도동 35-4,서울 영등포구 국제금융로6길 38,126.9259943,37.52138395,스타벅스
스타벅스 서울타워점,용산동2가 산 1-3,서울 용산구 남산공원길 105 YTN서울타워 1층,126.98787140000002,37.55111626,스타벅스
스타벅스 대치은마사거리점,대치동 941-19,서울 강남구 도곡로 457,127.06019029999999,37.49900574,스타벅스
스타벅스 당산대로점,당산동6가 217-2,서울 영등포구 양평로 22,126.9039335,37.53315734,스타벅스
스타벅스 서강대흥역점,대흥동 111-1,서울 마포구 백범로 89,126.9415608,37.54826249,스타벅스
스타벅스 서강대점,신수동 63-14,서울 마포구 백범로 23 거구장컨벤션웨딩 1층,126.93755859999999,37.55243425,스타벅스
스타벅스 명동중앙로점,명동2가 2-16,서울 중구 명동길 60,126.98578559999999,37.56377021,스타벅스
스타벅스 역삼대로점,역삼동 678-41,서울 강남구 테헤란로 211 한국고등교육재단빌딩1층,127.03922959999998,37.50187622,스타벅스
스타벅스 목동점,목동 907-4,서울 양천구 목동서로 67,126.87852520000001,37.5364054,스타벅스
스타벅스 동대입구역점,장충동1가 62-35,서울 중구 장충단로 166,127.00617220000001,37.55964023,스타벅스
스타벅스 가양이마트점,가양3동 449-19,서울 강서구 양천로 559 1층,126.86178429999998,37.55822194,스타벅스
스타벅스 대한상공회의소R점,남대문로4가 45,서울 중구 세종대로 39,126.9737768,37.56071323,스타벅스
스타벅스 강남우성점,역삼동 832-3,서울 강남구 강남대로 328 강남역쉐르빌,127.0309051,37.49242485,스타벅스
스타벅스 청담영동대로점,청담동 132-1,서울 강남구 영동대로 720 원일빌딩 1층,127.0564676,37.52218838,스타벅스
스타벅스 애오개역점,아현동 738,서울 마포구 마포대로 201,126.95549220000001,37.55219428,스타벅스
스타벅스 구로에이스점,구로동 212-1,서울 구로구 디지털로 285 에이스트윈타워1 103호,126.8945054,37.48448616,스타벅스
스타벅스 성대입구점,명륜3가 154-3,서울 종로구 창경궁로 235,126.9983778,37.58297076,스타벅스
스타벅스 SSG마켓도곡R점,도곡동 467-17,서울 강남구 언주로30길 57 타워팰리스 F동 지하1층,127.05507959999998,37.48991533,스타벅스
스타벅스 신압구정점,신사동 639-7,서울 강남구 언주로174길 29,127.03643629999999,37.52811810000001,스타벅스
스타벅스 르네상스사거리점,역삼동 706-1,서울 강남구 테헤란로 306 카이트타워 1층,127.0441042,37.50258922,스타벅스
스타벅스 압구정로점,신사동 635-13,서울 강남구 압구정로42길 32 1층,127.0347347,37.52684199,스타벅스
스타벅스 적선점,적선동 66,서울 종로구 새문안로5길 55 노스게이트빌딩 1층,126.97396509999999,37.5751304,스타벅스
스타벅스 건국클래식,자양동 227-342,"서울 광진구 능동로 90 더클래식500 1층 C102,103호",127.0709081,37.53834665,스타벅스
스타벅스 종로관철점,관철동 12-15,서울 종로구 종로12길 21 2층,126.9859993,37.56908759,스타벅스
스타벅스 압구정미소점,신사동 583-3,서울 강남구 논현로 841 1층,127.0277631,37.52405056,스타벅스
스타벅스 광교점,관철동 43-9,서울 종로구 청계천로 59,126.984183,37.56893446,스타벅스
스타벅스 선릉로점,역삼동 697-45,서울 강남구 선릉로93길 22 대흥빌딩 1층,127.04673190000001,37.50499382,스타벅스
스타벅스 삼성점,삼성동 144-26,서울 강남구 테헤란로 443 애플트리타워 1층,127.0555969,37.50694941,스타벅스
스타벅스 서초동점,서초동 1439-14,서울 서초구 남부순환로339길 64 현우빌딩1층,127.0215899,37.48592432,스타벅스
스타벅스 동국대점,충무로5가 90,서울 중구 서애로1길 11,126.99860690000001,37.56134349,스타벅스
스타벅스 을지로2가점,을지로2가 205,서울 중구 삼일대로 358,126.98811040000001,37.56649302,스타벅스
스타벅스 상암YTN점,상암동 1607,서울 마포구 상암산로 76 YTN뉴스퀘어 1층,126.89231240000001,37.57919844,스타벅스
스타벅스 충무로역점,필동2가 10,서울 중구 퇴계로 197 충무빌딩 1층,126.9939328,37.56146401,스타벅스
스타벅스 성수낙낙점,성수동2가 281-18,서울 성동구 광나루로8길 31 성수SKV1 2동 1층 101~107호,127.0663257,37.54719134,스타벅스
스타벅스 국회대로점,여의도동 14,서울 영등포구 국회대로 786,126.91965400000001,37.53029598,스타벅스
스타벅스 이대ECC점,,서울 서대문구 대현동 11-1 이화여자대학교 B415호,126.94780779999999,37.56317434,스타벅스
스타벅스 대치점,대치동 988-17,서울 강남구 도곡로 511,127.0622385,37.49963193,스타벅스
스타벅스 연대동문점,대신동 115,서울 서대문구 성산로 565 연세재단 Y빌딩,126.94634109999998,37.56641085,스타벅스
스타벅스 논현힐탑점,논현동 216-5,서울 강남구 논현로 648,127.0322756,37.51159692,스타벅스
스타벅스 도곡역점,대치동 651,서울 강남구 남부순환로 2909,127.05741880000001,37.49218453,스타벅스
스타벅스 소공로북창점,소공동 112-4,"서울 중구 세종대로18길 32 1층,2층",126.97893700000002,37.56372498,스타벅스
스타벅스 반포역점,잠원동 58-24,서울 서초구 신반포로 257,127.0119384,37.5086135,스타벅스
스타벅스 외대점,이문동 305-60,서울 동대문구 휘경로 12-1,127.0614028,37.59572885,스타벅스
스타벅스 역삼아레나빌딩점,역삼동 721-17,서울 강남구 언주로 425,127.0430351,37.50111767,스타벅스
스타벅스 경희궁로점,당주동 128-27,서울 종로구 새문안로3길 15,126.9723011,37.57170478,스타벅스
스타벅스 교대법원점,서초동 1699-3,서울 서초구 서초중앙로 164 1층,127.0133615,37.49636144,스타벅스
스타벅스 건대스타시티,자양동 227-7,"서울 광진구 아차산로 272 1층 19,20,21호",127.0730372,37.53854294,스타벅스
스타벅스 경복궁사거리점,중학동 14,서울 종로구 율곡로 6 트윈트리타워 B동 101호,126.98053030000001,37.57549422,스타벅스
스타벅스 은평이마트점,응암동 90-1,서울 은평구 은평로 111,126.92022250000001,37.60038151,스타벅스
스타벅스 하이테크시티점,문래동3가 55-20,서울 영등포구 경인로 775 에이스하이테크시티 1-105호,126.89757820000001,37.51476283,스타벅스
스타벅스 여의도ABL타워점,여의도동 45-21,서울 영등포구 의사당대로 147 여의도ABL타워 1층,126.92786129999999,37.51882936,스타벅스
스타벅스 아현역점,북아현동 1015,서울 서대문구 신촌로35길 10 e편한세상신촌4단지 상가 1층,126.9558605,37.55862217,스타벅스
스타벅스 가든파이브점,문정동 628,서울 송파구 충민로 10 가든파이브툴,127.11869399999999,37.47872103,스타벅스
스타벅스 한국프레스센터점,태평로1가 25,서울 중구 세종대로 124 한국프레스센터 1층,126.97787360000001,37.56741988,스타벅스
스타벅스 충정타워점,충정로3가 464,서울 서대문구 서소문로 21 충정타워 1층,126.96409820000001,37.55989951,스타벅스
스타벅스 역삼럭키점,역삼동 798-30,서울 강남구 도곡로 183,127.03941429999999,37.49223972,스타벅스
스타벅스 을지로내외빌딩R점,을지로2가 6,서울 중구 을지로 51 내외빌딩 1층,126.98368190000001,37.56649293,스타벅스
스타벅스 숭례문북창점,남대문로4가 17-19,서울 중구 세종대로12길 12,126.9769606,37.561645399999996,스타벅스
스타벅스 여의도의사당점,여의도동 13-19,서울 영등포구 국회대로74길 12 남중빌딩 1층,126.9210621,37.53008911,스타벅스
스타벅스 올림픽훼미리점,문정동 150-26,서울 송파구 중대로 68 훼미리 샤르망 1층,127.11641809999999,37.49155505,스타벅스
스타벅스 코엑스사거리점,삼성동 91-34,서울 강남구 영동대로 616,127.06020459999999,37.51524618,스타벅스
스타벅스 삼선교점,동소문동2가 12,서울 성북구 동소문로 10 1~2층,127.0073274,37.58873109,스타벅스
스타벅스 무교동점,무교동 45,서울 중구 무교로 21 코오롱 빌딩 1층,126.9787445,37.56784526,스타벅스
스타벅스 구로NC,구로동 573,서울 구로구 구로중앙로 152,126.88278429999998,37.5011494,스타벅스
스타벅스 여의도일신점,여의도동 15-15,서울 영등포구 은행로 11,126.92023390000001,37.52791644,스타벅스
스타벅스 봉은사로선정릉점,삼성동 114-9,서울 강남구 봉은사로 446,127.0485128,37.51136939999999,스타벅스
스타벅스 황학캐슬점,황학동 2545,서울 중구 청계천로 400 이마트 1층,127.0198397,37.57075321,스타벅스
스타벅스 명동역점,충무로1가 25-52,서울 중구 퇴계로 101,126.9831045,37.56086318,스타벅스
스타벅스 을지로한국빌딩점,을지로2가 198,서울 중구 을지로 50 1층,126.98335290000001,37.56564929,스타벅스
스타벅스 종로수송점,청진동 19,서울 종로구 종로5길 30,126.98069199999999,37.57168283,스타벅스
스타벅스 용산파크타워점,용산동5가 24,서울 용산구 서빙고로 67,126.97039860000001,37.52485764,스타벅스
스타벅스 연세백양로점,신촌동 134,서울 서대문구 연세로 50 지하1층,126.9378481,37.56723181,스타벅스
스타벅스 서초중앙로점,반포동 52-6,"서울 서초구 서초중앙로 225 1,2층",127.0115459,37.50167318,스타벅스
스타벅스 동숭로아트점,동숭동 30,서울 종로구 동숭길 110,127.0039043,37.58296937,스타벅스
스타벅스 충정로역점,,서울 서대문구 충정로3가 470,126.95939969999999,37.56433409,스타벅스
스타벅스 큰길타워점,역삼동 677-25,서울 강남구 테헤란로 223 큰길타워 1층,127.040675,37.50239909,스타벅스
스타벅스 뉴코아강남점,잠원동 70-1,서울 서초구 잠원로 69 킴스클럽 1층,127.00696310000001,37.51026684,스타벅스
스타벅스 몽촌토성역점,방이동 44-3,서울 송파구 위례성대로 6,127.1131497,37.51684123,스타벅스
스타벅스 월계트레이더스점,월계동 333-1,서울 노원구 마들로3길 17,127.0613338,37.62796177,스타벅스
스타벅스 서초파라곤점,서초동 1327-29,서울 서초구 서초대로74길 29 서초파라곤 제1층 제106호,127.0274263,37.49494225,스타벅스
스타벅스 서울극장점,관수동 59-7,서울 종로구 돈화문로 13 서울극장 1층,126.9916287,37.56968895,스타벅스
스타벅스 역삼포스코점,역삼동 735-3,서울 강남구 테헤란로 134 포스코 P&S타워 1층,127.03380530000001,37.49937483,스타벅스
스타벅스 당산역사거리점,당산동5가 16-7,서울 영등포구 양평로 47,126.900967,37.53387198,스타벅스
스타벅스 신촌아트레온점,창천동 20-25,서울 서대문구 신촌로 129 1~2층,126.9402758,37.55656601,스타벅스
스타벅스 가산브이타워점,가산동 371-37,서울 금천구 가산디지털1로 128,126.883645,37.47725003,스타벅스
스타벅스 목동7단지점,목동 923,서울 양천구 목동서로 213 세션비전프라자 1층 107호,126.8706153,37.52801608,스타벅스
스타벅스 광화문우체국점,종로1가 89-3,서울 종로구 종로 6,126.97156969999999,37.57106296,스타벅스
스타벅스 대치사거리점,대치동 960-5,서울 강남구 삼성로 402,127.05883590000002,37.50337258,스타벅스
스타벅스 대치역점,대치동 507,서울 강남구 남부순환로 2936 윈플러스상가 107호,127.06191640000002,37.49334874,스타벅스
스타벅스 예술의전당점,서초동 1451-95,서울 서초구 남부순환로323길 1 1층,127.0135007,37.48114001,스타벅스
스타벅스 새문안로점,신문로1가 163,"서울 종로구 새문안로 92 광화문 오피시아빌딩 1, 2층",126.9749047,37.569702,스타벅스
스타벅스 광장점,광장동 582,서울 광진구 아차산로 537-17 광장힐스테이트아파트 상가동 14호,127.09895870000001,37.54318151,스타벅스
스타벅스 숭례문점,남대문로5가 6-1,서울 중구 세종대로 17 1층,126.973271,37.55863178,스타벅스
스타벅스 용산리첸시아점,원효로1가 133-3,서울 용산구 백범로 341 102동 1층,126.96796540000001,37.53794463,스타벅스
스타벅스 천호대로길동점,길동 457-4,서울 강동구 천호대로 1131 거산유팰리스,127.1372388,37.53479898,스타벅스
스타벅스 가산그레이트점,가산동 60-5,서울 금천구 디지털로9길 32 갑을 그레이트 밸리 1층,126.88738889999999,37.47952192,스타벅스
스타벅스 GS타워점,역삼동 679-1,서울 강남구 논현로 508 GS타워 지하 1층,127.0375186,37.50203032,스타벅스
스타벅스 목동5단지점,목동 908-34,서울 양천구 목동동로 411 부영그린타운3차 116호,126.88221259999999,37.53672735,스타벅스
스타벅스 압구정윤성빌딩점,신사동 592,서울 강남구 논현로 834,127.02861440000001,37.52283061,스타벅스
스타벅스 목동행복한점,목동 917-6,서울 양천구 목동동로 309,126.8759854,37.52920737,스타벅스
스타벅스 삼성도심공항점,삼성동 154-10,서울 강남구 테헤란로87길 33 지상 1층,127.05792579999999,37.50982525,스타벅스
스타벅스 이마빌딩점,수송동 146-1,서울 종로구 종로1길 42,126.97898329999998,37.57390411,스타벅스
스타벅스 서소문점,서소문동 90,서울 중구 서소문로 130 1층,126.97552420000001,37.56341717,스타벅스
스타벅스 W-mall점,가산동 60-27,서울 금천구 디지털로 188 B1,126.88768290000002,37.47732549,스타벅스
스타벅스 남산스테이트점,회현동2가 88,서울 중구 퇴계로 100 스테이트타워 남산 지하1층 B107호,126.9829322,37.56018553,스타벅스
스타벅스 서소문로점,서소문동 136,서울 중구 서소문로 120,126.9746581,37.56284836,스타벅스
스타벅스 스페이스본점,사직동 9,"서울 종로구 사직로8길 4 광화문 풍림 스페이스본 201동 109호,110호",126.96985190000001,37.57467562,스타벅스
스타벅스 신세계아이앤씨점,구로동 197-12,서울 구로구 디지털로31길 61 신세계 I&C 빌딩 1층,126.89154099999999,37.48591047,스타벅스
스타벅스 목동파라곤점,목동 917,서울 양천구 목동서로 155 지하2층,126.87516969999999,37.52891398,스타벅스
스타벅스 동숭길입구점,혜화동 90-18,서울 종로구 대학로 146 혜화동씨티밸리 101호,127.0020294,37.58425058,스타벅스
스타벅스 회현역점,회현동1가 206,서울 중구 퇴계로 72,126.98057730000001,37.55913052,스타벅스
